OID_,DEM_Large_S3_Clip,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1,-12,-3.347820811150472,19.641270167536479,-12.9961185,-0.1870474,5.5465789,0.3659686
2,-12,-3.340364171150472,19.641270167536479,-12.9968243,-0.2053908,5.6380911,0.2861135
3,-12,-3.332907531150472,19.641270167536479,-12.9975405,-0.2257017,5.7028675,0.2151595
4,-12,-3.325450891150472,19.641270167536479,-12.9982615,-0.2477315,5.7402072,0.1583617
5,-12,-3.317994251150472,19.641270167536479,-12.9989843,-0.2726897,5.7533126,0.1206697
6,-12,-3.310537611150472,19.641270167536479,-12.9997053,-0.2898608,5.7373457,0.1020269
7,-13,-3.303080971150472,19.641270167536479,-13.0004206,-0.2943379,5.7100573,0.0981850
8,-13,-3.295624331150472,19.641270167536479,-13.0011301,-0.2875503,5.6906261,0.1057887
9,-13,-3.288167691150472,19.641270167536479,-13.0018349,-0.2736498,5.6763515,0.1253223
10,-13,-3.280711051150472,19.641270167536479,-13.0025368,-0.2516347,5.6820660,0.1571814
11,-13,-3.273254411150472,19.641270167536479,-13.0032396,-0.2290589,5.7147031,0.1993038
12,-13,-3.265797771150472,19.641270167536479,-13.0039473,-0.2105674,5.7691865,0.2477795
13,-13,-3.258341131150472,19.641270167536479,-13.0046616,-0.1985941,5.8456106,0.2969017
14,-13,-3.250884491150472,19.641270167536479,-13.0053883,-0.1955815,5.9408641,0.3412845
15,-13,-3.243427851150471,19.641270167536479,-13.0061283,-0.2020260,6.0467944,0.3771937
16,-13,-3.235971211150471,19.641270167536479,-13.0068836,-0.2140401,6.1594758,0.4027747
17,-13,-3.228514571150471,19.641270167536479,-13.0076551,-0.2352808,6.2794747,0.4178183
18,-13,-3.221057931150471,19.641270167536479,-13.0084429,-0.2667494,6.3978090,0.4233525
19,-13,-3.213601291150471,19.641270167536479,-13.0092459,-0.3050723,6.5063529,0.4216150
20,-13,-3.206144651150471,19.641270167536479,-13.0100622,-0.3453967,6.6084909,0.4151921
21,-13,-3.198688011150471,19.641270167536479,-13.0108910,-0.3870170,6.6996884,0.4070113
22,-13,-3.191231371150471,19.641270167536479,-13.0117273,-0.4248550,6.7804446,0.3995830
23,-13,-3.183774731150471,19.641270167536479,-13.0125713,-0.4591402,6.8604889,0.3949075
24,-13,-3.176318091150471,19.641270167536479,-13.0134201,-0.4896547,6.9390044,0.3940115
25,-13,-3.168861451150471,19.641270167536479,-13.0142717,-0.5130020,7.0181494,0.3957281
26,-13,-3.161404811150471,19.641270167536479,-13.0151253,-0.5306132,7.1103144,0.3973190
27,-13,-3.153948171150471,19.641270167536479,-13.0159798,-0.5497452,7.2123218,0.3956021
28,-13,-3.146491531150471,19.641270167536479,-13.0168333,-0.5682198,7.3210592,0.3875791
29,-13,-3.139034891150471,19.641270167536479,-13.0176859,-0.5869428,7.4388709,0.3720787
30,-13,-3.131578251150472,19.641270167536479,-13.0185337,-0.6128786,7.5597692,0.3512854
31,-13,-3.124121611150472,19.641270167536479,-13.0193739,-0.6474159,7.6708803,0.3314284
32,-13,-3.116664971150472,19.641270167536479,-13.0202026,-0.6890650,7.7652831,0.3245218
33,-13,-3.109208331150472,19.641270167536479,-13.0210142,-0.7365619,7.8355742,0.3435310
34,-13,-3.101751691150472,19.641270167536479,-13.0218010,-0.7865117,7.8756742,0.3931790
35,-13,-3.094295051150472,19.641270167536479,-13.0225573,-0.8376788,7.8898211,0.4675008
36,-13,-3.086838411150472,19.641270167536479,-13.0232763,-0.8910264,7.8732839,0.5550184
37,-13,-3.079381771150472,19.641270167536479,-13.0239496,-0.9449249,7.8278799,0.6452510
38,-13,-3.071925131150472,19.641270167536479,-13.0245686,-0.9936229,7.7591248,0.7308533
39,-13,-3.064468491150472,19.641270167536479,-13.0251284,-1.0364671,7.6767511,0.8079051
40,-13,-3.057011851150472,19.641270167536479,-13.0256224,-1.0677531,7.5878544,0.8753591
41,-13,-3.049555211150472,19.641270167536479,-13.0260439,-1.0865573,7.5076675,0.9339722
42,-13,-3.042098571150472,19.641270167536479,-13.0263920,-1.0921522,7.4501324,0.9858100
43,-13,-3.034641931150472,19.641270167536479,-13.0266638,-1.0876474,7.4213986,1.0332432
44,-13,-3.027185291150472,19.641270167536479,-13.0268583,-1.0768872,7.4264584,1.0778251
45,-13,-3.019728651150472,19.641270167536479,-13.0269785,-1.0620337,7.4638939,1.1194611
46,-13,-3.012272011150471,19.641270167536479,-13.0270233,-1.0426184,7.5342460,1.1564043
47,-13,-3.004815371150471,19.641270167536479,-13.0269957,-1.0160451,7.6320257,1.1860130
48,-13,-2.997358731150471,19.641270167536479,-13.0268974,-0.9847212,7.7536478,1.2057419
49,-13,-2.989902091150471,19.641270167536479,-13.0267315,-0.9508286,7.8915734,1.2137600
50,-13,-2.982445451150471,19.641270167536479,-13.0265026,-0.9236912,8.0395660,1.2090385
51,-13,-2.974988811150471,19.641270167536479,-13.0262127,-0.9042800,8.1928930,1.1914288
52,-13,-2.967532171150471,19.641270167536479,-13.0258636,-0.8940113,8.3494377,1.1615866
53,-13,-2.960075531150471,19.641270167536479,-13.0254564,-0.8845335,8.5088577,1.1210603
54,-13,-2.952618891150472,19.641270167536479,-13.0249910,-0.8744134,8.6725273,1.0717921
55,-13,-2.945162251150472,19.641270167536479,-13.0244665,-0.8548536,8.8370008,1.0157171
56,-13,-2.937705611150472,19.641270167536479,-13.0238867,-0.8287340,8.9986000,0.9546183
57,-13,-2.930248971150472,19.641270167536479,-13.0232525,-0.8012991,9.1491642,0.8898761
58,-13,-2.922792331150472,19.641270167536479,-13.0225658,-0.7794228,9.2962770,0.8225400
59,-13,-2.915335691150472,19.641270167536479,-13.0218277,-0.7573940,9.4398298,0.7537761
60,-13,-2.907879051150472,19.641270167536479,-13.0210390,-0.7325874,9.5775137,0.6851040
61,-13,-2.900422411150472,19.641270167536479,-13.0202017,-0.7030927,9.7103338,0.6186816
62,-13,-2.892965771150472,19.641270167536479,-13.0193167,-0.6650884,9.8367958,0.5574456
63,-13,-2.885509131150472,19.641270167536479,-13.0183868,-0.6205169,9.9456787,0.5038915
64,-13,-2.878052491150472,19.641270167536479,-13.0174160,-0.5783810,10.0345840,0.4601883
65,-13,-2.870595851150472,19.641270167536479,-13.0164080,-0.5424299,10.1063280,0.4283971
66,-13,-2.863139211150472,19.641270167536479,-13.0153646,-0.5190383,10.1652651,0.4094115
67,-13,-2.855682571150472,19.641270167536479,-13.0142879,-0.5062243,10.2219582,0.4024424
68,-13,-2.848225931150472,19.641270167536479,-13.0131788,-0.4939470,10.2873755,0.4045166
69,-13,-2.840769291150472,19.641270167536479,-13.0120363,-0.4774040,10.3515339,0.4110508
70,-13,-2.833312651150472,19.641270167536479,-13.0108633,-0.4642163,10.4139566,0.4167377
71,-13,-2.825856011150472,19.641270167536479,-13.0096607,-0.4520380,10.4857101,0.4164701
72,-13,-2.818399371150472,19.641270167536479,-13.0084286,-0.4382165,10.5618877,0.4065273
73,-13,-2.810942731150472,19.641270167536479,-13.0071688,-0.4182828,10.6410780,0.3861661
74,-13,-2.803486091150472,19.641270167536479,-13.0058832,-0.3913087,10.7206717,0.3587489
75,-13,-2.796029451150472,19.641270167536479,-13.0045748,-0.3482641,10.7927399,0.3334519
76,-13,-2.788572811150472,19.641270167536479,-13.0032473,-0.2885318,10.8430233,0.3293716
77,-13,-2.781116171150471,19.641270167536479,-13.0019064,-0.2109822,10.8557663,0.3719531
78,-13,-2.773659531150471,19.641270167536479,-13.0005608,-0.1201837,10.8201675,0.4710327
79,-12,-2.766202891150471,19.641270167536479,-12.9992189,-0.0183125,10.7247324,0.6157182
80,-12,-2.758746251150471,19.641270167536479,-12.9978914,0.0930796,10.5651236,0.7892889
81,-12,-2.751289611150471,19.641270167536479,-12.9965887,0.2181713,10.3324518,0.9752398
82,-12,-2.743832971150471,19.641270167536479,-12.9953222,0.3453680,10.0085812,1.1589156
83,-12,-2.736376331150471,19.641270167536479,-12.9941072,0.4668522,9.6035843,1.3269918
84,-12,-2.728919691150471,19.641270167536479,-12.9929533,0.5711261,9.1245260,1.4682707
85,-12,-2.721463051150471,19.641270167536479,-12.9918728,0.6521391,8.5808754,1.5750785
86,-12,-2.714006411150471,19.641270167536479,-12.9908724,0.7012795,8.0044584,1.6408361
87,-12,-2.706549771150471,19.641270167536479,-12.9899569,0.7205537,7.4109507,1.6606377
88,-12,-2.699093131150471,19.641270167536479,-12.9891272,0.7107419,6.8277144,1.6341859
89,-12,-2.691636491150472,19.641270167536479,-12.9883833,0.6845657,6.2751822,1.5646451
90,-12,-2.684179851150472,19.641270167536479,-12.9877205,0.6397796,5.7510443,1.4588004
91,-12,-2.676723211150472,19.641270167536479,-12.9871378,0.5692548,5.2754998,1.3268946
92,-12,-2.669266571150472,19.641270167536479,-12.9866276,0.4773421,4.8728943,1.1806477
93,-12,-2.661809931150472,19.641270167536479,-12.9861813,0.3737895,4.5401301,1.0330027
94,-12,-2.654353291150472,19.641270167536479,-12.9857903,0.2635115,4.2838721,0.8967385
95,-12,-2.646896651150472,19.641270167536479,-12.9854441,0.1553249,4.1009078,0.7836579
96,-12,-2.639440011150472,19.641270167536479,-12.9851351,0.0614553,3.9757307,0.7047315
97,-12,-2.631983371150472,19.641270167536479,-12.9848528,-0.0151390,3.8974471,0.6643818
98,-12,-2.624526731150472,19.641270167536479,-12.9845943,-0.0695685,3.8516774,0.6566085
99,-12,-2.617070091150472,19.641270167536479,-12.9843540,-0.1081693,3.8251183,0.6696606
100,-12,-2.609613451150472,19.641270167536479,-12.9841318,-0.1404403,3.8108337,0.6916445
101,-12,-2.602156811150472,19.641270167536479,-12.9839268,-0.1653924,3.8078499,0.7140144
102,-12,-2.594700171150472,19.641270167536479,-12.9837360,-0.1793739,3.8092132,0.7320150
103,-12,-2.587243531150472,19.641270167536479,-12.9835587,-0.1814128,3.8088973,0.7434849
104,-12,-2.579786891150472,19.641270167536479,-12.9833975,-0.1736961,3.8049259,0.7477799
105,-12,-2.572330251150472,19.641270167536479,-12.9832506,-0.1535459,3.7919941,0.7450884
106,-12,-2.564873611150472,19.641270167536479,-12.9831219,-0.1241274,3.7701850,0.7359315
107,-12,-2.557416971150472,19.641270167536479,-12.9830141,-0.0915173,3.7380726,0.7210345
108,-12,-2.549960331150471,19.641270167536479,-12.9829302,-0.0630172,3.7020090,0.7013715
109,-12,-2.542503691150471,19.641270167536479,-12.9828711,-0.0439818,3.6658680,0.6782586
