OID_,DEM_Large_S3_Regm1b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1,-13,-2.997358731150472,19.790402967536480,-13.0014725,-0.3416673,10.9863901,0.5798552
2,-13,-2.989902091150472,19.790402967536480,-13.0012836,-0.3123624,10.9666758,0.5814539
3,-13,-2.982445451150472,19.790402967536480,-13.0010824,-0.2883814,10.9287119,0.5878080
4,-13,-2.974988811150472,19.790402967536480,-13.0008726,-0.2771596,10.8748827,0.5973368
5,-13,-2.967532171150472,19.790402967536480,-13.0006561,-0.2823730,10.8122082,0.6084106
6,-13,-2.960075531150472,19.790402967536480,-13.0004349,-0.3022700,10.7478018,0.6196609
7,-13,-2.952618891150472,19.790402967536480,-13.0002041,-0.3324260,10.6882343,0.6302386
8,-12,-2.945162251150472,19.790402967536480,-12.9999638,-0.3673205,10.6329737,0.6396716
9,-12,-2.937705611150472,19.790402967536480,-12.9997091,-0.4090413,10.5842361,0.6475673
10,-12,-2.930248971150472,19.790402967536480,-12.9994373,-0.4540844,10.5425062,0.6535696
11,-12,-2.922792331150472,19.790402967536480,-12.9991446,-0.4980291,10.5083389,0.6571853
12,-12,-2.915335691150472,19.790402967536480,-12.9988251,-0.5355421,10.4778509,0.6577931
13,-12,-2.907879051150472,19.790402967536480,-12.9984770,-0.5642068,10.4504576,0.6546980
14,-12,-2.900422411150472,19.790402967536480,-12.9980984,-0.5840359,10.4230642,0.6472254
15,-12,-2.892965771150472,19.790402967536480,-12.9976864,-0.5903445,10.3920965,0.6350243
16,-12,-2.885509131150472,19.790402967536480,-12.9972410,-0.5870792,10.3535347,0.6183679
17,-12,-2.878052491150472,19.790402967536480,-12.9967642,-0.5805264,10.3036957,0.5979412
18,-12,-2.870595851150472,19.790402967536480,-12.9962568,-0.5756118,10.2448139,0.5740955
19,-12,-2.863139211150472,19.790402967536480,-12.9957180,-0.5671755,10.1775923,0.5467754
20,-12,-2.855682571150472,19.790402967536480,-12.9951487,-0.5504713,10.1011648,0.5155371
21,-12,-2.848225931150472,19.790402967536480,-12.9945488,-0.5277977,10.0130091,0.4794462
22,-12,-2.840769291150472,19.790402967536480,-12.9939213,-0.5104392,9.9125195,0.4375969
23,-12,-2.833312651150472,19.790402967536480,-12.9932671,-0.5038025,9.8131618,0.3902350
24,-13,-3.042098571150472,19.782946327536482,-13.0034924,-0.5328643,10.4340706,0.5648353
25,-13,-3.034641931150472,19.782946327536482,-13.0034866,-0.5143549,10.5604229,0.5514681
26,-13,-3.027185291150472,19.782946327536482,-13.0034370,-0.4835474,10.6667719,0.5350876
27,-13,-3.019728651150472,19.782946327536482,-13.0033484,-0.4481187,10.7475653,0.5178289
28,-13,-3.012272011150471,19.782946327536482,-13.0032253,-0.4077633,10.8039684,0.5023228
29,-13,-3.004815371150471,19.782946327536482,-13.0030737,-0.3668805,10.8333702,0.4910966
30,-13,-2.997358731150472,19.782946327536482,-13.0028982,-0.3283982,10.8369246,0.4859010
31,-13,-2.989902091150472,19.782946327536482,-13.0027046,-0.2934535,10.8178854,0.4871756
32,-13,-2.982445451150472,19.782946327536482,-13.0024958,-0.2633637,10.7779636,0.4941195
33,-13,-2.974988811150472,19.782946327536482,-13.0022774,-0.2453495,10.7217598,0.5051180
34,-13,-2.967532171150472,19.782946327536482,-13.0020523,-0.2471025,10.6573992,0.5182984
35,-13,-2.960075531150472,19.782946327536482,-13.0018196,-0.2637888,10.5890017,0.5319270
36,-13,-2.952618891150472,19.782946327536482,-13.0015793,-0.2938257,10.5205097,0.5448362
37,-13,-2.945162251150472,19.782946327536482,-13.0013285,-0.3302571,10.4576445,0.5564224
38,-13,-2.937705611150472,19.782946327536482,-13.0010633,-0.3761252,10.4008532,0.5662714
39,-13,-2.930248971150472,19.782946327536482,-13.0007820,-0.4260369,10.3494177,0.5741228
40,-13,-2.922792331150472,19.782946327536482,-13.0004778,-0.4762717,10.3072538,0.5796220
41,-13,-2.915335691150472,19.782946327536482,-13.0001469,-0.5181395,10.2710285,0.5821984
42,-12,-2.907879051150472,19.782946327536482,-12.9997873,-0.5530342,10.2392769,0.5811184
43,-12,-2.900422411150472,19.782946327536482,-12.9993944,-0.5769317,10.2111664,0.5755576
44,-12,-2.892965771150472,19.782946327536482,-12.9989672,-0.5879537,10.1848907,0.5649799
45,-12,-2.885509131150472,19.782946327536482,-12.9985056,-0.5869965,10.1533089,0.5494295
46,-12,-2.878052491150472,19.782946327536482,-12.9980097,-0.5839140,10.1150494,0.5294465
47,-12,-2.870595851150472,19.782946327536482,-12.9974813,-0.5800947,10.0711823,0.5055061
48,-12,-2.863139211150472,19.782946327536482,-12.9969196,-0.5734473,10.0243998,0.4778115
49,-12,-2.855682571150472,19.782946327536482,-12.9963245,-0.5556847,9.9706345,0.4462515
50,-12,-2.848225931150472,19.782946327536482,-12.9956980,-0.5307832,9.9081850,0.4103580
51,-12,-2.840769291150472,19.782946327536482,-12.9950409,-0.5095665,9.8337679,0.3697686
52,-12,-2.833312651150472,19.782946327536482,-12.9943562,-0.4971865,9.7589502,0.3251674
53,-12,-2.825856011150472,19.782946327536482,-12.9936428,-0.4927326,9.6905851,0.2781815
54,-12,-2.818399371150472,19.782946327536482,-12.9928999,-0.4955045,9.6367817,0.2312104
55,-13,-3.049555211150472,19.775489687536481,-13.0047979,-0.5264688,10.2053690,0.4920850
56,-13,-3.042098571150472,19.775489687536481,-13.0048590,-0.5327166,10.3310366,0.4846840
57,-13,-3.034641931150472,19.775489687536481,-13.0048685,-0.5174418,10.4455242,0.4727915
58,-13,-3.027185291150472,19.775489687536481,-13.0048313,-0.4877290,10.5439196,0.4573562
59,-13,-3.019728651150472,19.775489687536481,-13.0047512,-0.4491765,10.6206026,0.4400705
60,-13,-3.012272011150471,19.775489687536481,-13.0046329,-0.4056968,10.6756630,0.4234167
61,-13,-3.004815371150471,19.775489687536481,-13.0044823,-0.3604957,10.7078686,0.4102066
62,-13,-2.997358731150472,19.775489687536481,-13.0043049,-0.3167787,10.7149820,0.4029341
63,-13,-2.989902091150472,19.775489687536481,-13.0041056,-0.2752131,10.6977539,0.4028688
64,-13,-2.982445451150472,19.775489687536481,-13.0038900,-0.2394742,10.6595688,0.4096842
65,-13,-2.974988811150472,19.775489687536481,-13.0036631,-0.2151081,10.6056356,0.4217737
66,-13,-2.967532171150472,19.775489687536481,-13.0034266,-0.2126769,10.5387239,0.4369324
67,-13,-2.960075531150472,19.775489687536481,-13.0031834,-0.2268555,10.4660139,0.4529029
68,-13,-2.952618891150472,19.775489687536481,-13.0029316,-0.2548684,10.3912563,0.4680109
69,-13,-2.945162251150472,19.775489687536481,-13.0026693,-0.2918717,10.3182278,0.4813445
70,-13,-2.937705611150472,19.775489687536481,-13.0023928,-0.3397433,10.2495079,0.4924152
71,-13,-2.930248971150472,19.775489687536481,-13.0020990,-0.3928661,10.1881742,0.5010932
72,-13,-2.922792331150472,19.775489687536481,-13.0017824,-0.4460817,10.1347904,0.5072957
73,-13,-2.915335691150472,19.775489687536481,-13.0014391,-0.4932645,10.0911341,0.5106828
74,-13,-2.907879051150472,19.775489687536481,-13.0010653,-0.5317976,10.0549917,0.5106381
75,-13,-2.900422411150472,19.775489687536481,-13.0006571,-0.5612099,10.0252857,0.5063144
76,-13,-2.892965771150472,19.775489687536481,-13.0002146,-0.5750855,9.9984646,0.4970680
77,-12,-2.885509131150472,19.775489687536481,-12.9997349,-0.5783412,9.9742298,0.4827861
78,-12,-2.878052491150472,19.775489687536481,-12.9992208,-0.5785108,9.9458513,0.4638214
79,-12,-2.870595851150472,19.775489687536481,-12.9986715,-0.5772178,9.9172697,0.4406126
80,-12,-2.863139211150472,19.775489687536481,-12.9980869,-0.5721191,9.8866596,0.4135015
81,-12,-2.855682571150472,19.775489687536481,-12.9974689,-0.5551752,9.8557119,0.3827059
82,-12,-2.848225931150472,19.775489687536481,-12.9968157,-0.5304004,9.8174648,0.3482096
83,-12,-2.840769291150472,19.775489687536481,-12.9961319,-0.5053055,9.7675438,0.3101928
