OID_,DEM_Large_S3_Regm2,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1,-13,-4.458860171150471,20.715026327536478,-13.0340538,0.9764851,22.3754368,3.0687258
2,-13,-4.451403531150471,20.715026327536478,-13.0341187,0.9699073,22.6698933,3.1295478
3,-13,-4.443946891150471,20.715026327536478,-13.0341673,0.9668577,22.9392967,3.1984112
4,-13,-4.436490251150471,20.715026327536478,-13.0341911,0.9699563,23.1814690,3.2745607
5,-13,-4.429033611150471,20.715026327536478,-13.0341854,0.9800580,23.3993473,3.3566632
6,-13,-4.421576971150471,20.715026327536478,-13.0341444,0.9964615,23.5960674,3.4429109
7,-13,-4.414120331150471,20.715026327536478,-13.0340624,1.0216297,23.7729588,3.5311668
8,-13,-4.406663691150471,20.715026327536478,-13.0339346,1.0594962,23.9305782,3.6190977
9,-13,-4.399207051150471,20.715026327536478,-13.0337591,1.1042053,24.0724506,3.7043304
10,-13,-4.391750411150471,20.715026327536478,-13.0335350,1.1492518,24.1992130,3.7846019
11,-13,-4.384293771150471,20.715026327536478,-13.0332632,1.1884617,24.3116913,3.8578653
12,-13,-4.376837131150471,20.715026327536478,-13.0329409,1.2236433,24.4126663,3.9223390
13,-13,-4.369380491150471,20.715026327536478,-13.0325689,1.2580959,24.5047760,3.9765358
14,-13,-4.361923851150471,20.715026327536478,-13.0321465,1.2949878,24.5879459,4.0192804
15,-13,-4.354467211150471,20.715026327536478,-13.0316753,1.3305711,24.6621990,4.0497379
16,-13,-4.347010571150471,20.715026327536478,-13.0311594,1.3615038,24.7258339,4.0674839
17,-13,-4.339553931150471,20.715026327536478,-13.0306005,1.3838642,24.7743397,4.0725193
18,-13,-4.332097291150471,20.715026327536478,-13.0300016,1.3943995,24.8057003,4.0653286
19,-13,-4.324640651150471,20.715026327536478,-13.0293665,1.3897334,24.8217945,4.0467114
20,-13,-4.317184011150471,20.715026327536478,-13.0286961,1.3738241,24.8214149,4.0176454
21,-13,-4.309727371150471,20.715026327536478,-13.0279913,1.3504342,24.8011513,3.9791701
22,-13,-4.302270731150471,20.715026327536478,-13.0272532,1.3215592,24.7599430,3.9323936
23,-13,-4.294814091150471,20.715026327536478,-13.0264816,1.2837995,24.6938210,3.8786492
24,-13,-4.473773451150471,20.707569687536481,-13.0369244,1.0604101,22.5392132,3.1935122
25,-13,-4.466316811150471,20.707569687536481,-13.0370598,1.0483584,22.8919048,3.2532141
26,-13,-4.458860171150471,20.707569687536481,-13.0371866,1.0419087,23.2282372,3.3217278
27,-13,-4.451403531150471,20.707569687536481,-13.0372992,1.0423913,23.5485897,3.3994393
28,-13,-4.443946891150471,20.707569687536481,-13.0373917,1.0509536,23.8494511,3.4860349
29,-13,-4.436490251150471,20.707569687536481,-13.0374565,1.0670449,24.1307983,3.5805123
30,-13,-4.429033611150471,20.707569687536481,-13.0374880,1.0931554,24.3896599,3.6813459
31,-13,-4.421576971150471,20.707569687536481,-13.0374804,1.1256462,24.6292801,3.7865911
32,-13,-4.414120331150471,20.707569687536481,-13.0374279,1.1685424,24.8504086,3.8939655
33,-13,-4.406663691150471,20.707569687536481,-13.0373268,1.2228569,25.0549831,4.0009675
34,-13,-4.399207051150471,20.707569687536481,-13.0371752,1.2854929,25.2404499,4.1050496
35,-13,-4.391750411150471,20.707569687536481,-13.0369711,1.3465680,25.4098206,4.2037568
36,-13,-4.384293771150471,20.707569687536481,-13.0367155,1.4028872,25.5630074,4.2948303
37,-13,-4.376837131150471,20.707569687536481,-13.0364084,1.4537188,25.6998062,4.3763208
38,-13,-4.369380491150471,20.707569687536481,-13.0360479,1.5026122,25.8223763,4.4465866
39,-13,-4.361923851150471,20.707569687536481,-13.0356340,1.5506541,25.9312878,4.5043249
40,-13,-4.354467211150471,20.707569687536481,-13.0351706,1.5945472,26.0234146,4.5486054
41,-13,-4.347010571150471,20.707569687536481,-13.0346584,1.6299709,26.0987759,4.5789185
42,-13,-4.339553931150471,20.707569687536481,-13.0341005,1.6550424,26.1555214,4.5951967
43,-13,-4.332097291150471,20.707569687536481,-13.0335007,1.6683617,26.1880302,4.5978727
44,-13,-4.324640651150471,20.707569687536481,-13.0328608,1.6642386,26.1957912,4.5877838
45,-13,-4.317184011150471,20.707569687536481,-13.0321817,1.6472118,26.1815224,4.5659938
46,-13,-4.309727371150471,20.707569687536481,-13.0314646,1.6210829,26.1432724,4.5336156
47,-13,-4.302270731150471,20.707569687536481,-13.0307102,1.5890019,26.0784187,4.4918008
48,-13,-4.294814091150471,20.707569687536481,-13.0299187,1.5464715,25.9845428,4.4419131
49,-13,-4.287357451150471,20.707569687536481,-13.0290928,1.4946309,25.8620663,4.3854146
50,-13,-4.279900811150471,20.707569687536481,-13.0282307,1.4318236,25.7114048,4.3239350
51,-13,-4.272444171150471,20.707569687536481,-13.0273333,1.3675175,25.5369892,4.2591295
52,-13,-4.488686731150471,20.700113047536480,-13.0396976,1.1692473,22.6458607,3.3247058
53,-13,-4.481230091150471,20.700113047536480,-13.0398884,1.1592342,23.0380802,3.3845754
54,-13,-4.473773451150471,20.700113047536480,-13.0400820,1.1526421,23.4217663,3.4518249
55,-13,-4.466316811150471,20.700113047536480,-13.0402727,1.1480354,23.7965717,3.5275733
56,-13,-4.458860171150471,20.700113047536480,-13.0404539,1.1523006,24.1607647,3.6124303
57,-13,-4.451403531150471,20.700113047536480,-13.0406199,1.1619524,24.5147629,3.7064681
58,-13,-4.443946891150471,20.700113047536480,-13.0407639,1.1794304,24.8568783,3.8091419
59,-13,-4.436490251150471,20.700113047536480,-13.0408773,1.2067354,25.1825047,3.9192727
60,-13,-4.429033611150471,20.700113047536480,-13.0409536,1.2464654,25.4921722,4.0352206
61,-13,-4.421576971150471,20.700113047536480,-13.0409889,1.2925928,25.7844734,4.1549878
62,-13,-4.414120331150471,20.700113047536480,-13.0409756,1.3488417,26.0600033,4.2762861
