OID_,DEM_Large_S3_Regm2b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1,-13,-4.421576971150471,20.536066967536478,-13.1903629,-1.6000699,49.5735207,1.7936873
2,-13,-4.414120331150471,20.536066967536478,-13.1925230,-1.7125190,49.2990570,1.9159522
3,-13,-4.406663691150471,20.536066967536478,-13.1944180,-1.8014871,49.0233421,2.0177672
4,-13,-4.399207051150471,20.536066967536478,-13.1960440,-1.8685222,48.7584686,2.0980508
5,-13,-4.391750411150471,20.536066967536478,-13.1974020,-1.9140197,48.5167046,2.1580892
6,-13,-4.384293771150471,20.536066967536478,-13.1984959,-1.9378074,48.3058701,2.2005968
7,-13,-4.376837131150471,20.536066967536478,-13.1993322,-1.9383234,48.1337509,2.2290075
8,-13,-4.369380491150471,20.536066967536478,-13.1999216,-1.9168998,48.0057335,2.2468736
9,-13,-4.361923851150471,20.536066967536478,-13.2002802,-1.8780245,47.9259987,2.2575672
10,-13,-4.354467211150471,20.536066967536478,-13.2004232,-1.8247682,47.8930626,2.2641716
11,-13,-4.347010571150471,20.536066967536478,-13.2003717,-1.7639189,47.9055252,2.2692041
12,-13,-4.339553931150471,20.536066967536478,-13.2001448,-1.7029551,47.9597855,2.2744050
13,-13,-4.332097291150471,20.536066967536478,-13.1997604,-1.6474369,48.0522881,2.2806902
14,-13,-4.324640651150471,20.536066967536478,-13.1992340,-1.6000490,48.1811066,2.2881942
15,-13,-4.481230091150471,20.528610327536480,-13.1738920,-0.5022608,49.9351501,1.5790503
16,-13,-4.473773451150471,20.528610327536480,-13.1774912,-0.6724410,50.1295624,1.4211773
17,-13,-4.466316811150471,20.528610327536480,-13.1810179,-0.8421581,50.2064438,1.3739549
18,-13,-4.458860171150471,20.528610327536480,-13.1844339,-1.0158846,50.1757126,1.4323035
19,-13,-4.451403531150471,20.528610327536480,-13.1877031,-1.1906732,50.0502129,1.5636514
20,-13,-4.443946891150471,20.528610327536480,-13.1907921,-1.3616567,49.8473282,1.7298938
21,-13,-4.436490251150471,20.528610327536480,-13.1936731,-1.5240092,49.5844269,1.9022032
22,-13,-4.429033611150471,20.528610327536480,-13.1963215,-1.6734899,49.2790413,2.0628433
23,-13,-4.421576971150471,20.528610327536480,-13.1987181,-1.8023448,48.9510727,2.2021997
24,-13,-4.414120331150471,20.528610327536480,-13.2008514,-1.9081072,48.6190834,2.3160994
25,-13,-4.406663691150471,20.528610327536480,-13.2027159,-1.9887165,48.2979927,2.4040310
26,-13,-4.399207051150471,20.528610327536480,-13.2043085,-2.0463610,48.0004539,2.4678545
27,-13,-4.391750411150471,20.528610327536480,-13.2056341,-2.0809789,47.7359352,2.5109010
28,-13,-4.384293771150471,20.528610327536480,-13.2066984,-2.0936966,47.5115356,2.5372705
29,-13,-4.376837131150471,20.528610327536480,-13.2075090,-2.0822458,47.3339272,2.5512710
30,-13,-4.369380491150471,20.528610327536480,-13.2080784,-2.0503764,47.2068443,2.5569797
31,-13,-4.361923851150471,20.528610327536480,-13.2084236,-2.0027826,47.1295128,2.5580282
32,-13,-4.354467211150471,20.528610327536480,-13.2085619,-1.9429317,47.1021996,2.5575407
33,-13,-4.347010571150471,20.528610327536480,-13.2085133,-1.8777820,47.1203842,2.5579512
34,-13,-4.339553931150471,20.528610327536480,-13.2082987,-1.8163108,47.1789742,2.5608532
35,-13,-4.332097291150471,20.528610327536480,-13.2079344,-1.7620809,47.2746239,2.5669551
36,-13,-4.324640651150471,20.528610327536480,-13.2074375,-1.7189385,47.4054947,2.5761709
37,-13,-4.317184011150472,20.528610327536480,-13.2068167,-1.6890192,47.5691223,2.5876944
38,-13,-4.309727371150472,20.528610327536480,-13.2060804,-1.6712120,47.7627068,2.6001549
39,-13,-4.302270731150472,20.528610327536480,-13.2052298,-1.6658798,47.9813576,2.6117120
40,-13,-4.294814091150472,20.528610327536480,-13.2042637,-1.6769482,48.2188072,2.6200864
41,-13,-4.287357451150472,20.528610327536480,-13.2031765,-1.7026696,48.4697609,2.6226072
42,-13,-4.279900811150472,20.528610327536480,-13.2019539,-1.7430674,48.7277451,2.6164446
