OID_,DEM_Large_S3_Clip5,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1,-13,-5.010651531150472,17.650347287536476,-13.0639267,0.6151129,7.1796918,1.5683340
2,-13,-5.003194891150472,17.650347287536476,-13.0642843,0.6081129,6.9025407,1.5894245
3,-13,-4.995738251150472,17.650347287536476,-13.0646315,0.5811314,6.6158247,1.6232767
4,-13,-4.988281611150472,17.650347287536476,-13.0649662,0.5410589,6.3083348,1.6705424
5,-13,-4.980824971150472,17.650347287536476,-13.0652800,0.4989381,5.9765649,1.7306416
6,-13,-4.973368331150472,17.650347287536476,-13.0655689,0.4641674,5.6219220,1.8018736
7,-13,-4.965911691150472,17.650347287536476,-13.0658264,0.4377459,5.2506151,1.8817810
8,-13,-4.958455051150472,17.650347287536476,-13.0660477,0.4245513,4.8706307,1.9671055
9,-13,-4.950998411150472,17.650347287536476,-13.0662298,0.4270790,4.4969387,2.0537376
10,-13,-4.943541771150472,17.650347287536476,-13.0663700,0.4483258,4.1459293,2.1364641
11,-13,-4.936085131150472,17.650347287536476,-13.0664673,0.4883648,3.8371694,2.2122538
12,-13,-4.928628491150472,17.650347287536476,-13.0665236,0.5450625,3.5892248,2.2880399
13,-13,-4.921171851150472,17.650347287536476,-13.0665407,0.6223399,3.4182928,2.3761575
14,-13,-4.913715211150472,17.650347287536476,-13.0665226,0.7289768,3.3324966,2.4875965
15,-13,-4.906258571150472,17.650347287536476,-13.0664759,0.8654397,3.3322637,2.6292057
16,-13,-4.898801931150473,17.650347287536476,-13.0664110,1.0238518,3.4123375,2.8028209
17,-13,-4.891345291150473,17.650347287536476,-13.0663395,1.1960374,3.5680451,3.0055671
18,-13,-4.883888651150473,17.650347287536476,-13.0662756,1.3747206,3.7990746,3.2310205
19,-13,-4.876432011150473,17.650347287536476,-13.0662308,1.5544746,4.1174574,3.4709005
20,-13,-4.868975371150473,17.650347287536476,-13.0662222,1.7205280,4.5347123,3.7169535
21,-13,-4.861518731150473,17.650347287536476,-13.0662594,1.8683155,5.0593300,3.9637117
22,-13,-4.854062091150473,17.650347287536476,-13.0663538,2.0041640,5.6889930,4.2083473
23,-13,-5.025564811150472,17.642890647536479,-13.0622864,0.6063975,7.3001990,1.4857390
24,-13,-5.018108171150472,17.642890647536479,-13.0626974,0.6191905,7.0254188,1.4727812
25,-13,-5.010651531150472,17.642890647536479,-13.0630989,0.6207342,6.7541094,1.4684658
26,-13,-5.003194891150472,17.642890647536479,-13.0634928,0.6071140,6.4819455,1.4751563
27,-13,-4.995738251150472,17.642890647536479,-13.0638762,0.5724859,6.1988640,1.4946017
28,-13,-4.988281611150472,17.642890647536479,-13.0642481,0.5237664,5.8934169,1.5279584
29,-13,-4.980824971150472,17.642890647536479,-13.0646000,0.4708184,5.5588212,1.5750016
30,-13,-4.973368331150472,17.642890647536479,-13.0649281,0.4218476,5.1979952,1.6341225
31,-13,-4.965911691150472,17.642890647536479,-13.0652256,0.3790416,4.8097682,1.7027138
32,-13,-4.958455051150472,17.642890647536479,-13.0654869,0.3448420,4.4041696,1.7772524
33,-13,-4.950998411150472,17.642890647536479,-13.0657082,0.3236886,3.9921355,1.8531833
34,-13,-4.943541771150472,17.642890647536479,-13.0658865,0.3195496,3.5919743,1.9238137
35,-13,-4.936085131150472,17.642890647536479,-13.0660181,0.3324976,3.2262206,1.9796003
36,-13,-4.928628491150472,17.642890647536479,-13.0661039,0.3633264,2.9180052,2.0269587
37,-13,-4.921171851150472,17.642890647536479,-13.0661449,0.4181715,2.6903212,2.0832257
38,-13,-4.913715211150472,17.642890647536479,-13.0661411,0.5038845,2.5622578,2.1641221
39,-13,-4.906258571150472,17.642890647536479,-13.0661001,0.6238849,2.5350788,2.2799459
40,-13,-4.898801931150473,17.642890647536479,-13.0660295,0.7732612,2.5928981,2.4344366
41,-13,-4.891345291150473,17.642890647536479,-13.0659409,0.9431585,2.7168298,2.6253562
42,-13,-4.883888651150473,17.642890647536479,-13.0658474,1.1266334,2.9036162,2.8461201
43,-13,-4.876432011150473,17.642890647536479,-13.0657635,1.3154502,3.1538267,3.0877230
44,-13,-4.868975371150473,17.642890647536479,-13.0657015,1.4954264,3.4840543,3.3407168
45,-13,-4.861518731150473,17.642890647536479,-13.0656776,1.6637713,3.9137797,3.5986652
46,-13,-4.854062091150473,17.642890647536479,-13.0657005,1.8239430,4.4503584,3.8622220
47,-13,-4.846605451150473,17.642890647536479,-13.0657816,1.9746680,5.0905461,4.1272650
48,-13,-4.839148811150473,17.642890647536479,-13.0659313,2.1052296,5.8323731,4.3832226
49,-13,-4.831692171150473,17.642890647536479,-13.0661602,2.2036693,6.6621809,4.6187272
50,-13,-4.824235531150473,17.642890647536479,-13.0664730,2.2628086,7.5599022,4.8235030
51,-13,-5.047934731150472,17.635434007536478,-13.0600491,0.5628438,7.7697597,1.4848953
52,-13,-5.040478091150472,17.635434007536478,-13.0605373,0.5779092,7.4660201,1.4558837
53,-13,-5.033021451150472,17.635434007536478,-13.0610085,0.5932528,7.1720572,1.4255465
54,-13,-5.025564811150472,17.635434007536478,-13.0614662,0.6079167,6.8926082,1.3968518
55,-13,-5.018108171150472,17.635434007536478,-13.0619125,0.6168438,6.6243553,1.3728465
56,-13,-5.010651531150472,17.635434007536478,-13.0623493,0.6132653,6.3650861,1.3566685
57,-13,-5.003194891150472,17.635434007536478,-13.0627785,0.5947150,6.1062498,1.3511533
58,-13,-4.995738251150472,17.635434007536478,-13.0631990,0.5534182,5.8375244,1.3585857
59,-13,-4.988281611150472,17.635434007536478,-13.0636072,0.4984971,5.5449171,1.3806583
60,-13,-4.980824971150472,17.635434007536478,-13.0639973,0.4357103,5.2212725,1.4175564
61,-13,-4.973368331150472,17.635434007536478,-13.0643635,0.3747328,4.8661857,1.4676780
62,-13,-4.965911691150472,17.635434007536478,-13.0647011,0.3162769,4.4778972,1.5279484
63,-13,-4.958455051150472,17.635434007536478,-13.0650034,0.2637547,4.0631423,1.5942333
64,-13,-4.950998411150472,17.635434007536478,-13.0652657,0.2193981,3.6280761,1.6612656
65,-13,-4.943541771150472,17.635434007536478,-13.0654831,0.1903349,3.1880314,1.7214315
66,-13,-4.936085131150472,17.635434007536478,-13.0656509,0.1785959,2.7684994,1.7584633
67,-13,-4.928628491150472,17.635434007536478,-13.0657692,0.1847340,2.3946164,1.7744249
