OID_,Clips_DEM_Large_S3_Regm6,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1,-13,-4.950998411150471,18.694276887536478,-13.2241077,0.5043117,13.1498442,1.8623841
2,-13,-4.943541771150471,18.694276887536478,-13.2234087,0.5891135,13.3420305,1.8710901
3,-13,-4.936085131150471,18.694276887536478,-13.2226830,0.6798609,13.4893770,1.8888634
4,-13,-4.995738251150471,18.686820247536478,-13.2289152,0.4316432,12.2378139,1.9065437
5,-13,-4.988281611150471,18.686820247536478,-13.2285109,0.3817342,12.4475622,1.8895359
6,-13,-4.980824971150471,18.686820247536478,-13.2280598,0.3482114,12.6859732,1.8737082
7,-13,-4.973368331150471,18.686820247536478,-13.2275581,0.3428347,12.9448252,1.8585625
8,-13,-4.965911691150471,18.686820247536478,-13.2270041,0.3667244,13.2098026,1.8438027
9,-13,-4.958455051150471,18.686820247536478,-13.2264013,0.4107193,13.4663095,1.8300301
10,-13,-4.950998411150471,18.686820247536478,-13.2257557,0.4692312,13.7042561,1.8190542
11,-13,-4.943541771150471,18.686820247536478,-13.2250729,0.5394061,13.9093628,1.8137014
12,-13,-4.936085131150471,18.686820247536478,-13.2243605,0.6163076,14.0704041,1.8172392
13,-13,-4.928628491150471,18.686820247536478,-13.2236290,0.6984383,14.1794157,1.8323121
14,-13,-4.921171851150472,18.686820247536478,-13.2228870,0.7812600,14.2302246,1.8596665
15,-13,-4.913715211150471,18.686820247536478,-13.2221441,0.8584582,14.2157488,1.8979990
16,-13,-5.025564811150471,18.679363607536480,-13.2317352,0.6440720,12.3750877,1.9983791
17,-13,-5.018108171150471,18.679363607536480,-13.2314768,0.6038486,12.4604206,1.9791358
18,-13,-5.010651531150471,18.679363607536480,-13.2311916,0.5629892,12.5638094,1.9567293
19,-13,-5.003194891150471,18.679363607536480,-13.2308779,0.5137759,12.6927452,1.9328030
20,-13,-4.995738251150471,18.679363607536480,-13.2305307,0.4567385,12.8505859,1.9084525
21,-13,-4.988281611150471,18.679363607536480,-13.2301445,0.3992332,13.0402641,1.8841653
22,-13,-4.980824971150471,18.679363607536480,-13.2297134,0.3562482,13.2606316,1.8599317
23,-13,-4.973368331150471,18.679363607536480,-13.2292318,0.3385135,13.5056982,1.8354737
24,-13,-4.965911691150471,18.679363607536480,-13.2286987,0.3473673,13.7590151,1.8104982
25,-13,-4.958455051150471,18.679363607536480,-13.2281179,0.3783187,14.0096741,1.7854491
26,-13,-4.950998411150471,18.679363607536480,-13.2274914,0.4212026,14.2467794,1.7620933
27,-13,-4.943541771150471,18.679363607536480,-13.2268257,0.4764964,14.4561367,1.7433968
28,-13,-4.936085131150471,18.679363607536480,-13.2261286,0.5392916,14.6260281,1.7331034
29,-13,-4.928628491150471,18.679363607536480,-13.2254066,0.6094318,14.7469692,1.7348262
30,-13,-4.921171851150472,18.679363607536480,-13.2246695,0.6814705,14.8113203,1.7506070
31,-13,-4.913715211150471,18.679363607536480,-13.2239275,0.7519474,14.8110018,1.7803501
32,-13,-4.906258571150472,18.679363607536480,-13.2231894,0.8143232,14.7459965,1.8219109
33,-13,-4.898801931150472,18.679363607536480,-13.2224636,0.8577210,14.6166801,1.8713356
34,-13,-5.040478091150471,18.671906967536479,-13.2338438,0.7130487,12.9554701,1.9966600
35,-13,-5.033021451150471,18.671906967536479,-13.2336311,0.6819466,13.0035973,1.9930401
36,-13,-5.025564811150471,18.671906967536479,-13.2334003,0.6473193,13.0612068,1.9819239
37,-13,-5.018108171150471,18.671906967536479,-13.2331486,0.6109861,13.1315556,1.9643098
38,-13,-5.010651531150471,18.671906967536479,-13.2328730,0.5746791,13.2200794,1.9417388
39,-13,-5.003194891150471,18.671906967536479,-13.2325706,0.5252246,13.3299274,1.9157866
40,-13,-4.995738251150471,18.671906967536479,-13.2322369,0.4661429,13.4660959,1.8876218
41,-13,-4.988281611150471,18.671906967536479,-13.2318668,0.4038729,13.6332350,1.8579558
42,-13,-4.980824971150471,18.671906967536479,-13.2314539,0.3522212,13.8314257,1.8270534
43,-13,-4.973368331150471,18.671906967536479,-13.2309923,0.3215532,14.0567083,1.7948601
44,-13,-4.965911691150471,18.671906967536479,-13.2304802,0.3180349,14.2958241,1.7611847
45,-13,-4.958455051150471,18.671906967536479,-13.2299194,0.3353544,14.5357990,1.7263908
46,-13,-4.950998411150471,18.671906967536479,-13.2293129,0.3625011,14.7648811,1.6921434
47,-13,-4.943541771150471,18.671906967536479,-13.2286654,0.4022533,14.9730043,1.6614747
48,-13,-4.936085131150471,18.671906967536479,-13.2279816,0.4523644,15.1481476,1.6385150
49,-13,-4.928628491150471,18.671906967536479,-13.2272701,0.5096521,15.2753773,1.6276892
50,-13,-4.921171851150472,18.671906967536479,-13.2265387,0.5716594,15.3485661,1.6322391
51,-13,-4.913715211150471,18.671906967536479,-13.2257957,0.6353586,15.3606472,1.6533799
52,-13,-4.906258571150472,18.671906967536479,-13.2250509,0.6945102,15.3058996,1.6899750
53,-13,-4.898801931150472,18.671906967536479,-13.2243118,0.7360967,15.1861181,1.7385511
54,-13,-4.891345291150472,18.671906967536479,-13.2235880,0.7560535,15.0075617,1.7938827
55,-13,-4.883888651150472,18.671906967536479,-13.2228813,0.7522054,14.7785892,1.8504107
56,-13,-5.062848011150471,18.664450327536478,-13.2361431,0.6664878,13.4706259,1.8890947
57,-13,-5.055391371150471,18.664450327536478,-13.2359715,0.6886653,13.5344028,1.9130356
58,-13,-5.047934731150471,18.664450327536478,-13.2357893,0.6928421,13.5882759,1.9299781
59,-13,-5.040478091150471,18.664450327536478,-13.2355947,0.6803196,13.6369686,1.9393115
60,-13,-5.033021451150471,18.664450327536478,-13.2353859,0.6586534,13.6832037,1.9406205
61,-13,-5.025564811150471,18.664450327536478,-13.2351608,0.6325235,13.7327356,1.9338580
62,-13,-5.018108171150471,18.664450327536478,-13.2349148,0.6035125,13.7925701,1.9195490
63,-13,-5.010651531150471,18.664450327536478,-13.2346468,0.5693898,13.8664837,1.8988285
64,-13,-5.003194891150471,18.664450327536478,-13.2343531,0.5235882,13.9560595,1.8730394
65,-13,-4.995738251150471,18.664450327536478,-13.2340317,0.4647589,14.0697079,1.8432970
66,-13,-4.988281611150471,18.664450327536478,-13.2336750,0.3991238,14.2124195,1.8104155
67,-13,-4.980824971150471,18.664450327536478,-13.2332783,0.3383431,14.3863945,1.7748435
68,-13,-4.973368331150471,18.664450327536478,-13.2328358,0.2975856,14.5896397,1.7367622
69,-13,-4.965911691150471,18.664450327536478,-13.2323427,0.2801771,14.8088932,1.6962055
