OID_,DEM_Large_S3_Clip6b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1,-13,-5.107587851150471,18.776299927536478,-13.2197390,0.0136997,5.6845064,0.5936410
2,-13,-5.100131211150471,18.776299927536478,-13.2196226,0.0195488,5.6918554,0.6084622
3,-13,-5.092674571150471,18.776299927536478,-13.2194853,0.0217888,5.7149730,0.6253434
4,-13,-5.085217931150471,18.776299927536478,-13.2193251,0.0225963,5.7555308,0.6449454
5,-13,-5.077761291150471,18.776299927536478,-13.2191420,0.0255976,5.8131022,0.6677694
6,-13,-5.070304651150471,18.776299927536478,-13.2189350,0.0310365,5.8859305,0.6941612
7,-13,-5.062848011150471,18.776299927536478,-13.2187042,0.0374442,5.9730368,0.7243074
8,-13,-5.055391371150471,18.776299927536478,-13.2184477,0.0484259,6.0711441,0.7583135
9,-13,-5.047934731150471,18.776299927536478,-13.2181673,0.0613130,6.1723175,0.7963077
10,-13,-5.040478091150471,18.776299927536478,-13.2178621,0.0758518,6.2768021,0.8385526
11,-13,-5.033021451150471,18.776299927536478,-13.2175303,0.0896016,6.3825803,0.8852881
12,-13,-5.025564811150471,18.776299927536478,-13.2171726,0.1042358,6.4838595,0.9365749
13,-13,-5.018108171150471,18.776299927536478,-13.2167883,0.1189916,6.5800076,0.9921837
14,-13,-5.010651531150471,18.776299927536478,-13.2163763,0.1365277,6.6666455,1.0511484
15,-13,-5.003194891150471,18.776299927536478,-13.2159357,0.1553894,6.7448344,1.1120234
16,-13,-4.995738251150471,18.776299927536478,-13.2154646,0.1750891,6.8119140,1.1731752
17,-13,-4.988281611150471,18.776299927536478,-13.2149639,0.1973297,6.8675370,1.2330941
18,-13,-4.980824971150471,18.776299927536478,-13.2144337,0.2279192,6.9130607,1.2906414
19,-13,-4.973368331150471,18.776299927536478,-13.2138720,0.2715089,6.9430490,1.3450683
20,-13,-4.965911691150471,18.776299927536478,-13.2132826,0.3277310,6.9494858,1.3958205
21,-13,-4.958455051150471,18.776299927536478,-13.2126703,0.3860581,6.9318738,1.4427001
22,-13,-4.950998411150471,18.776299927536478,-13.2120371,0.4501431,6.8945198,1.4861828
23,-13,-4.943541771150471,18.776299927536478,-13.2113895,0.5231957,6.8333783,1.5273336
24,-13,-4.936085131150471,18.776299927536478,-13.2107315,0.6050426,6.7397032,1.5677601
25,-13,-4.928628491150471,18.776299927536478,-13.2100716,0.6869896,6.6156425,1.6092778
26,-13,-4.921171851150471,18.776299927536478,-13.2094164,0.7728924,6.4608908,1.6535625
27,-13,-4.913715211150471,18.776299927536478,-13.2087727,0.8615332,6.2729650,1.7022655
28,-13,-4.906258571150471,18.776299927536478,-13.2081490,0.9540953,6.0539055,1.7564938
29,-13,-4.898801931150471,18.776299927536478,-13.2075520,1.0435126,5.8003078,1.8160793
30,-13,-4.891345291150471,18.776299927536478,-13.2069902,1.1243671,5.5184054,1.8800093
31,-13,-4.883888651150471,18.776299927536478,-13.2064714,1.1967847,5.2215934,1.9465824
32,-13,-4.876432011150471,18.776299927536478,-13.2060003,1.2624221,4.9109044,2.0127277
33,-13,-4.868975371150471,18.776299927536478,-13.2055817,1.3112582,4.5912404,2.0721166
34,-13,-4.861518731150471,18.776299927536478,-13.2052202,1.3385670,4.2796440,2.1106923
35,-13,-4.854062091150471,18.776299927536478,-13.2049160,1.3445506,3.9810798,2.1203024
36,-13,-4.846605451150471,18.776299927536478,-13.2046700,1.3333197,3.7011275,2.1056833
37,-13,-4.839148811150471,18.776299927536478,-13.2044783,1.3017032,3.4366364,2.0725486
38,-13,-4.831692171150471,18.776299927536478,-13.2043381,1.2497149,3.1792617,2.0266154
39,-13,-4.824235531150471,18.776299927536478,-13.2042446,1.1724579,2.9225307,1.9724183
40,-13,-4.816778891150471,18.776299927536478,-13.2041903,1.0725899,2.6543264,1.9116313
41,-13,-4.809322251150471,18.776299927536478,-13.2041655,0.9517733,2.3639774,1.8382355
42,-13,-4.801865611150471,18.776299927536478,-13.2041597,0.8170654,2.0403066,1.7393966
43,-13,-4.794408971150471,18.776299927536478,-13.2041616,0.6730951,1.6735997,1.6160862
44,-13,-4.786952331150471,18.776299927536478,-13.2041578,0.5321118,1.2690926,1.4785755
45,-13,-4.779495691150471,18.776299927536478,-13.2041368,0.4076488,0.8643062,1.3497829
46,-13,-4.772039051150471,18.776299927536478,-13.2040892,0.3022575,0.6037226,1.2571038
47,-13,-4.764582411150471,18.776299927536478,-13.2040081,0.2111316,0.7793170,1.2164299
48,-13,-4.757125771150471,18.776299927536478,-13.2038879,0.1392424,1.2629522,1.2271736
49,-13,-4.749669131150471,18.776299927536478,-13.2037230,0.0888338,1.8337848,1.2690718
50,-13,-4.742212491150472,18.776299927536478,-13.2035122,0.0596527,2.4287717,1.3109500
51,-13,-5.122501131150471,18.768843287536480,-13.2206621,0.0565167,5.9095092,0.7089069
52,-13,-5.115044491150471,18.768843287536480,-13.2205849,0.0685981,5.8910770,0.7232989
53,-13,-5.107587851150471,18.768843287536480,-13.2204866,0.0768273,5.8859005,0.7361834
54,-13,-5.100131211150471,18.768843287536480,-13.2203684,0.0814511,5.8946028,0.7481759
55,-13,-5.092674571150471,18.768843287536480,-13.2202291,0.0815019,5.9173045,0.7601620
56,-13,-5.085217931150471,18.768843287536480,-13.2200699,0.0793998,5.9569621,0.7731853
57,-13,-5.077761291150471,18.768843287536480,-13.2198887,0.0790066,6.0136771,0.7881824
58,-13,-5.070304651150471,18.768843287536480,-13.2196856,0.0791121,6.0874052,0.8060629
59,-13,-5.062848011150471,18.768843287536480,-13.2194595,0.0797161,6.1754827,0.8275973
60,-13,-5.055391371150471,18.768843287536480,-13.2192097,0.0829758,6.2770190,0.8532902
61,-13,-5.047934731150471,18.768843287536480,-13.2189350,0.0888784,6.3876162,0.8836195
62,-13,-5.040478091150471,18.768843287536480,-13.2186346,0.0962024,6.5047445,0.9190893
63,-13,-5.033021451150471,18.768843287536480,-13.2183084,0.1034695,6.6232629,0.9601340
64,-13,-5.025564811150471,18.768843287536480,-13.2179546,0.1116331,6.7431126,1.0069441
65,-13,-5.018108171150471,18.768843287536480,-13.2175722,0.1223293,6.8616071,1.0592951
66,-13,-5.010651531150471,18.768843287536480,-13.2171583,0.1365081,6.9727378,1.1162320
67,-13,-5.003194891150471,18.768843287536480,-13.2167139,0.1531987,7.0755143,1.1762332
68,-13,-4.995738251150471,18.768843287536480,-13.2162371,0.1740596,7.1700592,1.2376333
69,-13,-4.988281611150471,18.768843287536480,-13.2157269,0.1993549,7.2545362,1.2987585
70,-13,-4.980824971150471,18.768843287536480,-13.2151823,0.2343723,7.3293800,1.3582984
71,-13,-4.973368331150471,18.768843287536480,-13.2146044,0.2852077,7.3855758,1.4155447
72,-13,-4.965911691150471,18.768843287536480,-13.2139959,0.3515190,7.4169364,1.4699639
73,-13,-4.958455051150471,18.768843287536480,-13.2133608,0.4208896,7.4169793,1.5213655
74,-13,-4.950998411150471,18.768843287536480,-13.2127056,0.4965180,7.3933353,1.5701785
75,-13,-4.943541771150471,18.768843287536480,-13.2120333,0.5801701,7.3404808,1.6172467
76,-13,-4.936085131150471,18.768843287536480,-13.2113523,0.6704898,7.2510910,1.6638802
77,-13,-4.928628491150471,18.768843287536480,-13.2106695,0.7604889,7.1274042,1.7112920
78,-13,-4.921171851150471,18.768843287536480,-13.2099934,0.8540237,6.9703965,1.7603632
79,-13,-4.913715211150471,18.768843287536480,-13.2093306,0.9455364,6.7779679,1.8120825
80,-13,-4.906258571150471,18.768843287536480,-13.2086906,1.0378578,6.5555830,1.8670197
81,-13,-4.898801931150471,18.768843287536480,-13.2080803,1.1236732,6.3028374,1.9248366
82,-13,-4.891345291150471,18.768843287536480,-13.2075100,1.1965706,6.0266018,1.9847653
83,-13,-4.883888651150471,18.768843287536480,-13.2069826,1.2544374,5.7458153,2.0458825
84,-13,-4.876432011150471,18.768843287536480,-13.2065058,1.3027939,5.4599028,2.1071124
85,-13,-4.868975371150471,18.768843287536480,-13.2060823,1.3335868,5.1743207,2.1669114
86,-13,-4.861518731150471,18.768843287536480,-13.2057152,1.3416284,4.9016132,2.2144809
87,-13,-4.854062091150471,18.768843287536480,-13.2054043,1.3285912,4.6453028,2.2397773
88,-13,-4.846605451150471,18.768843287536480,-13.2051477,1.2973969,4.4028463,2.2450602
89,-13,-4.839148811150471,18.768843287536480,-13.2049427,1.2500103,4.1656971,2.2340868
90,-13,-4.831692171150471,18.768843287536480,-13.2047834,1.1857260,3.9226522,2.2110789
91,-13,-4.824235531150471,18.768843287536480,-13.2046652,1.1008735,3.6631112,2.1795046
92,-13,-4.816778891150471,18.768843287536480,-13.2045794,0.9975901,3.3787334,2.1400776
93,-13,-4.809322251150471,18.768843287536480,-13.2045174,0.8794711,3.0617995,2.0855832
94,-13,-4.801865611150471,18.768843287536480,-13.2044678,0.7491363,2.7075245,2.0023072
95,-13,-4.794408971150471,18.768843287536480,-13.2044191,0.6141205,2.3209500,1.8908589
96,-13,-4.786952331150471,18.768843287536480,-13.2043610,0.4866717,1.9196373,1.7593640
97,-13,-4.779495691150471,18.768843287536480,-13.2042799,0.3783800,1.5524997,1.6268326
98,-13,-4.772039051150471,18.768843287536480,-13.2041693,0.2925616,1.3141978,1.5173082
99,-13,-4.764582411150471,18.768843287536480,-13.2040224,0.2232098,1.3265485,1.4454638
100,-13,-4.757125771150471,18.768843287536480,-13.2038345,0.1701443,1.6178839,1.4140227
101,-13,-4.749669131150471,18.768843287536480,-13.2036028,0.1368249,2.0761321,1.4094849
102,-13,-4.742212491150472,18.768843287536480,-13.2033262,0.1256783,2.6049244,1.4063387
103,-13,-4.734755851150471,18.768843287536480,-13.2030039,0.1366322,3.1569352,1.3763095
104,-13,-4.727299211150472,18.768843287536480,-13.2026386,0.1771572,3.6970778,1.3054686
105,-13,-5.137414411150471,18.761386647536479,-13.2215481,0.0993550,6.2091756,0.8201308
106,-13,-5.129957771150471,18.761386647536479,-13.2215080,0.1109738,6.1711135,0.8418584
107,-13,-5.122501131150471,18.761386647536479,-13.2214460,0.1230510,6.1439819,0.8602602
108,-13,-5.115044491150471,18.761386647536479,-13.2213640,0.1356035,6.1281176,0.8753122
109,-13,-5.107587851150471,18.761386647536479,-13.2212629,0.1452743,6.1238232,0.8872548
110,-13,-5.100131211150471,18.761386647536479,-13.2211428,0.1493969,6.1324220,0.8966460
111,-13,-5.092674571150471,18.761386647536479,-13.2210035,0.1479860,6.1569285,0.9043517
112,-13,-5.085217931150471,18.761386647536479,-13.2208452,0.1449052,6.1961470,0.9115589
113,-13,-5.077761291150471,18.761386647536479,-13.2206669,0.1415977,6.2522650,0.9195067
114,-13,-5.070304651150471,18.761386647536479,-13.2204676,0.1361305,6.3222089,0.9294399
115,-13,-5.062848011150471,18.761386647536479,-13.2202473,0.1309339,6.4101443,0.9425492
116,-13,-5.055391371150471,18.761386647536479,-13.2200041,0.1284102,6.5122366,0.9597553
117,-13,-5.047934731150471,18.761386647536479,-13.2197361,0.1263724,6.6261005,0.9819094
118,-13,-5.040478091150471,18.761386647536479,-13.2194433,0.1248002,6.7502313,1.0097930
119,-13,-5.033021451150471,18.761386647536479,-13.2191238,0.1256091,6.8803086,1.0440667
120,-13,-5.025564811150471,18.761386647536479,-13.2187767,0.1268378,7.0154929,1.0850886
121,-13,-5.018108171150471,18.761386647536479,-13.2183981,0.1318144,7.1525102,1.1327240
122,-13,-5.010651531150471,18.761386647536479,-13.2179871,0.1417166,7.2863345,1.1861154
123,-13,-5.003194891150471,18.761386647536479,-13.2175417,0.1572376,7.4155908,1.2436792
124,-13,-4.995738251150471,18.761386647536479,-13.2170610,0.1781075,7.5390682,1.3037416
125,-13,-4.988281611150471,18.761386647536479,-13.2165442,0.2045541,7.6516161,1.3645957
126,-13,-4.980824971150471,18.761386647536479,-13.2159901,0.2435380,7.7553740,1.4247957
127,-13,-4.973368331150471,18.761386647536479,-13.2153988,0.3028124,7.8423829,1.4836718
128,-13,-4.965911691150471,18.761386647536479,-13.2147741,0.3772303,7.8989506,1.5408320
129,-13,-4.958455051150471,18.761386647536479,-13.2141209,0.4570692,7.9242525,1.5961629
130,-13,-4.950998411150471,18.761386647536479,-13.2134457,0.5434047,7.9173350,1.6500729
131,-13,-4.943541771150471,18.761386647536479,-13.2127523,0.6373022,7.8772054,1.7032232
132,-13,-4.936085131150471,18.761386647536479,-13.2120504,0.7362130,7.7960439,1.7564967
133,-13,-4.928628491150471,18.761386647536479,-13.2113485,0.8346472,7.6766429,1.8104337
134,-13,-4.921171851150471,18.761386647536479,-13.2106533,0.9320949,7.5221648,1.8650019
135,-13,-4.913715211150471,18.761386647536479,-13.2099743,1.0266318,7.3302970,1.9202247
136,-13,-4.906258571150471,18.761386647536479,-13.2093201,1.1179256,7.1074595,1.9758703
137,-13,-4.898801931150471,18.761386647536479,-13.2086992,1.1981537,6.8582349,2.0310724
138,-13,-4.891345291150471,18.761386647536479,-13.2081194,1.2603956,6.5913491,2.0848010
139,-13,-4.883888651150471,18.761386647536479,-13.2075872,1.3042126,6.3241839,2.1361628
140,-13,-4.876432011150471,18.761386647536479,-13.2071047,1.3346002,6.0589328,2.1844120
141,-13,-4.868975371150471,18.761386647536479,-13.2066774,1.3471594,5.8005247,2.2285688
142,-13,-4.861518731150471,18.761386647536479,-13.2063055,1.3357713,5.5571785,2.2663457
143,-13,-4.854062091150471,18.761386647536479,-13.2059879,1.3018696,5.3284550,2.2943053
144,-13,-4.846605451150471,18.761386647536479,-13.2057219,1.2503175,5.1108518,2.3108137
145,-13,-4.839148811150471,18.761386647536479,-13.2055016,1.1862578,4.8899231,2.3170195
146,-13,-4.831692171150471,18.761386647536479,-13.2053232,1.1104475,4.6534023,2.3153498
147,-13,-4.824235531150471,18.761386647536479,-13.2051773,1.0199512,4.3899283,2.3079910
148,-13,-4.816778891150471,18.761386647536479,-13.2050581,0.9156730,4.0932016,2.2945478
149,-13,-4.809322251150471,18.761386647536479,-13.2049551,0.8002042,3.7609034,2.2661080
150,-13,-4.801865611150471,18.761386647536479,-13.2048588,0.6783369,3.3938372,2.2070668
151,-13,-4.794408971150471,18.761386647536479,-13.2047567,0.5556489,3.0037260,2.1176834
152,-13,-4.786952331150471,18.761386647536479,-13.2046385,0.4438917,2.6180232,2.0064161
153,-13,-4.779495691150471,18.761386647536479,-13.2044945,0.3541882,2.2806549,1.8871452
154,-13,-4.772039051150471,18.761386647536479,-13.2043161,0.2893922,2.0547137,1.7765023
155,-13,-4.764582411150471,18.761386647536479,-13.2040997,0.2415544,2.0063787,1.6880862
156,-13,-4.757125771150471,18.761386647536479,-13.2038422,0.2104856,2.1658237,1.6258062
157,-13,-4.749669131150471,18.761386647536479,-13.2035408,0.1971718,2.4931071,1.5806524
158,-13,-4.742212491150472,18.761386647536479,-13.2031965,0.2037790,2.9170909,1.5327468
159,-13,-4.734755851150471,18.761386647536479,-13.2028084,0.2277857,3.3853014,1.4582109
160,-13,-4.727299211150472,18.761386647536479,-13.2023792,0.2830210,3.8597033,1.3458087
161,-13,-4.719842571150471,18.761386647536479,-13.2019138,0.3713135,4.2982354,1.2130238
162,-13,-4.712385931150472,18.761386647536479,-13.2014217,0.4827916,4.6735687,1.0763203
163,-13,-5.152327691150471,18.753930007536479,-13.2224064,0.1502950,6.5487318,0.9103290
164,-13,-5.144871051150471,18.753930007536479,-13.2224016,0.1573975,6.5092697,0.9409948
165,-13,-5.137414411150471,18.753930007536479,-13.2223759,0.1671219,6.4758186,0.9686706
166,-13,-5.129957771150471,18.753930007536479,-13.2223301,0.1804315,6.4502969,0.9927725
167,-13,-5.122501131150471,18.753930007536479,-13.2222633,0.1963729,6.4303055,1.0128343
168,-13,-5.115044491150471,18.753930007536479,-13.2221775,0.2110893,6.4183550,1.0286256
169,-13,-5.107587851150471,18.753930007536479,-13.2220736,0.2212226,6.4159231,1.0401998
