OID_,Clips_DEM_Large_S3_Regm8b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1,-13,-5.279090571150472,20.498783767536480,-13.2151251,-0.3685201,25.1060104,1.4248706
2,-13,-5.271633931150472,20.498783767536480,-13.2150269,-0.3501867,25.5192242,1.3796433
3,-13,-5.264177291150472,20.498783767536480,-13.2149029,-0.3407558,25.9099674,1.3340893
4,-13,-5.256720651150472,20.498783767536480,-13.2147551,-0.3363112,26.2803268,1.2903730
5,-13,-5.249264011150472,20.498783767536480,-13.2145834,-0.3373090,26.6297245,1.2504627
6,-13,-5.241807371150472,20.498783767536480,-13.2143888,-0.3427118,26.9644070,1.2159379
7,-13,-5.234350731150472,20.498783767536480,-13.2141705,-0.3539990,27.2833767,1.1877712
8,-13,-5.226894091150472,20.498783767536480,-13.2139263,-0.3758303,27.5912266,1.1661317
9,-13,-5.219437451150473,20.498783767536480,-13.2136555,-0.4102425,27.8913631,1.1503316
10,-13,-5.211980811150473,20.498783767536480,-13.2133503,-0.4523359,28.1880112,1.1390749
11,-13,-5.204524171150473,20.498783767536480,-13.2130060,-0.4972147,28.4823418,1.1307847
12,-13,-5.197067531150473,20.498783767536480,-13.2126141,-0.5371690,28.7775154,1.1236889
13,-13,-5.189610891150473,20.498783767536480,-13.2121677,-0.5651826,29.0705929,1.1159438
14,-13,-5.182154251150473,20.498783767536480,-13.2116642,-0.5807880,29.3596382,1.1057560
15,-13,-5.174697611150473,20.498783767536480,-13.2110996,-0.5901807,29.6414642,1.0915562
16,-13,-5.167240971150473,20.498783767536480,-13.2104721,-0.5961141,29.9139767,1.0721792
17,-13,-5.159784331150473,20.498783767536480,-13.2097807,-0.5973568,30.1732483,1.0469733
18,-13,-5.152327691150473,20.498783767536480,-13.2090244,-0.5885914,30.4183445,1.0159992
19,-13,-5.144871051150472,20.498783767536480,-13.2082043,-0.5693906,30.6431980,0.9799265
20,-13,-5.137414411150472,20.498783767536480,-13.2073212,-0.5411373,30.8428364,0.9398067
21,-13,-5.294003851150472,20.491327127536483,-13.2185774,-0.5011800,24.0510750,1.5218672
22,-13,-5.286547211150472,20.491327127536483,-13.2186089,-0.4801854,24.5007076,1.4878412
