OID_,DEM_Large_S3_Regm8c,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1,-13,-5.264177291150471,20.528610327536477,-13.2003059,-0.1192036,26.3221512,1.2471786
2,-13,-5.256720651150471,20.528610327536477,-13.1999178,-0.1189471,26.7081566,1.1912855
3,-13,-5.249264011150471,20.528610327536477,-13.1995173,-0.1272345,27.0744190,1.1371530
4,-13,-5.241807371150471,20.528610327536477,-13.1991043,-0.1385399,27.4204903,1.0860944
5,-13,-5.234350731150471,20.528610327536477,-13.1986761,-0.1565399,27.7500629,1.0387836
6,-13,-5.226894091150471,20.528610327536477,-13.1982317,-0.1798729,28.0661812,0.9953171
7,-13,-5.219437451150471,20.528610327536477,-13.1977654,-0.2092873,28.3707371,0.9552548
8,-13,-5.211980811150471,20.528610327536477,-13.1972704,-0.2379004,28.6658115,0.9178241
9,-13,-5.204524171150471,20.528610327536477,-13.1967411,-0.2610221,28.9535637,0.8822641
10,-13,-5.197067531150471,20.528610327536477,-13.1961708,-0.2717341,29.2335281,0.8478112
11,-13,-5.294003851150471,20.521153687536476,-13.2051067,-0.2291304,24.5014381,1.4680614
12,-13,-5.286547211150471,20.521153687536476,-13.2048540,-0.2013949,24.9646893,1.4244305
13,-13,-5.279090571150471,20.521153687536476,-13.2045784,-0.1776301,25.4079704,1.3749588
14,-13,-5.271633931150471,20.521153687536476,-13.2042828,-0.1616482,25.8308258,1.3217131
15,-13,-5.264177291150471,20.521153687536476,-13.2039709,-0.1556870,26.2329235,1.2667798
16,-13,-5.256720651150471,20.521153687536476,-13.2036438,-0.1578100,26.6153107,1.2122445
17,-13,-5.249264011150471,20.521153687536476,-13.2033024,-0.1665196,26.9779453,1.1599472
18,-13,-5.241807371150471,20.521153687536476,-13.2029448,-0.1788308,27.3237171,1.1112295
19,-13,-5.234350731150471,20.521153687536476,-13.2025700,-0.1956069,27.6529446,1.0667809
20,-13,-5.226894091150471,20.521153687536476,-13.2021761,-0.2203122,27.9695911,1.0265986
21,-13,-5.219437451150471,20.521153687536476,-13.2017584,-0.2514426,28.2785568,0.9900659
22,-13,-5.211980811150471,20.521153687536476,-13.2013111,-0.2832097,28.5811005,0.9562026
23,-13,-5.204524171150471,20.521153687536476,-13.2008266,-0.3103290,28.8786259,0.9239140
24,-13,-5.197067531150471,20.521153687536476,-13.2002993,-0.3277813,29.1705990,0.8920875
25,-13,-5.189610891150471,20.521153687536476,-13.1997223,-0.3286454,29.4556503,0.8596314
26,-13,-5.182154251150471,20.521153687536476,-13.1990929,-0.3160407,29.7277489,0.8255220
27,-13,-5.174697611150471,20.521153687536476,-13.1984091,-0.2986201,29.9868603,0.7889910
28,-13,-5.167240971150471,20.521153687536476,-13.1976719,-0.2785005,30.2304821,0.7496331
29,-13,-5.159784331150471,20.521153687536476,-13.1968803,-0.2562662,30.4576302,0.7074823
30,-13,-5.152327691150471,20.521153687536476,-13.1960344,-0.2297170,30.6657372,0.6630986
31,-13,-5.144871051150471,20.521153687536476,-13.1951351,-0.1982132,30.8550282,0.6173424
32,-13,-5.308917131150471,20.513697047536478,-13.2087650,-0.3146248,23.4592342,1.5428591
33,-13,-5.301460491150471,20.513697047536478,-13.2086449,-0.2927332,23.9516430,1.5172585
34,-13,-5.294003851150471,20.513697047536478,-13.2084932,-0.2699845,24.4305916,1.4820882
35,-13,-5.286547211150471,20.513697047536478,-13.2083120,-0.2438027,24.8907185,1.4393265
36,-13,-5.279090571150471,20.513697047536478,-13.2081041,-0.2200195,25.3294621,1.3910491
37,-13,-5.271633931150471,20.513697047536478,-13.2078753,-0.2033637,25.7475319,1.3393779
38,-13,-5.264177291150471,20.513697047536478,-13.2076263,-0.1975565,26.1453571,1.2864316
39,-13,-5.256720651150471,20.513697047536478,-13.2073603,-0.1990342,26.5227852,1.2343435
40,-13,-5.249264011150471,20.513697047536478,-13.2070761,-0.2067102,26.8813705,1.1849868
41,-13,-5.241807371150471,20.513697047536478,-13.2067738,-0.2183500,27.2231712,1.1397617
42,-13,-5.234350731150471,20.513697047536478,-13.2064514,-0.2346099,27.5497150,1.0994527
43,-13,-5.226894091150471,20.513697047536478,-13.2061090,-0.2597545,27.8646049,1.0640346
44,-13,-5.219437451150471,20.513697047536478,-13.2057400,-0.2932635,28.1721630,1.0327643
45,-13,-5.211980811150471,20.513697047536478,-13.2053404,-0.3293771,28.4769630,1.0045238
46,-13,-5.204524171150471,20.513697047536478,-13.2049026,-0.3638464,28.7783203,0.9779852
47,-13,-5.197067531150471,20.513697047536478,-13.2044201,-0.3889214,29.0767250,0.9517097
48,-13,-5.189610891150471,20.513697047536478,-13.2038860,-0.3987833,29.3703518,0.9243249
49,-13,-5.182154251150471,20.513697047536478,-13.2032976,-0.3948434,29.6565285,0.8945460
50,-13,-5.174697611150471,20.513697047536478,-13.2026520,-0.3858275,29.9298115,0.8613433
51,-13,-5.167240971150471,20.513697047536478,-13.2019501,-0.3724587,30.1886158,0.8241183
52,-13,-5.159784331150471,20.513697047536478,-13.2011900,-0.3555585,30.4316273,0.7827883
53,-13,-5.152327691150471,20.513697047536478,-13.2003717,-0.3325502,30.6571293,0.7378982
54,-13,-5.144871051150471,20.513697047536478,-13.1994963,-0.3034659,30.8607063,0.6904444
55,-13,-5.137414411150471,20.513697047536478,-13.1985683,-0.2682225,31.0404758,0.6416872
56,-13,-5.129957771150471,20.513697047536478,-13.1975908,-0.2340227,31.1934128,0.5929287
57,-13,-5.122501131150471,20.513697047536478,-13.1965694,-0.2043463,31.3209209,0.5455902
58,-13,-5.115044491150471,20.513697047536478,-13.1955099,-0.1826793,31.4225769,0.5012853
59,-13,-5.107587851150472,20.513697047536478,-13.1944160,-0.1732018,31.5029259,0.4617349
