OID_,RegA,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.995738251150471,17.605607447536478,-13.0612011,-0.0025620,0.0000000,-0.4232041,0.4223479,4.0000000,0.2379087,1.0038319,5.0032592,0.6067871,1.5815192
2,-13,-4.988281611150471,17.605607447536478,-13.0617332,-0.0019008,0.0000000,-0.4638158,0.3598837,4.0000000,0.2089836,1.0035508,4.8197551,0.5107839,1.4647739
3,-13,-5.010651531150471,17.598150807536481,-13.0597172,0.0052893,52.8925629,-0.4175208,0.4340970,4.0000000,0.3477416,1.0041996,5.2302437,0.5204523,1.6142820
4,-13,-5.003194891150471,17.598150807536481,-13.0602942,-0.0038843,0.0000000,-0.3739544,0.4146750,4.0000000,0.3715272,1.0039417,5.0707974,0.4578229,1.4578691
5,-13,-4.995738251150471,17.598150807536481,-13.0608606,-0.0030579,0.0000000,-0.3657196,0.3750668,4.0000000,0.3710462,1.0037011,4.9195399,0.3790874,1.3133490
6,-13,-4.988281611150471,17.598150807536481,-13.0614157,-0.0023140,0.0000000,-0.3867809,0.3157609,4.0000000,0.3437183,1.0034548,4.7567067,0.2878036,1.1889254
7,-13,-4.980824971150471,17.598150807536481,-13.0619555,-0.0016529,0.0000000,-0.4214820,0.2437976,4.0000000,0.2934918,1.0031902,4.5730324,0.1941034,1.0949006
8,-13,-4.973368331150471,17.598150807536481,-13.0624771,-0.0010744,0.0000000,-0.4615098,0.1608394,4.0000000,0.2252476,1.0028980,4.3613858,0.0964312,1.0387175
9,-13,-5.018108171150471,17.590694167536480,-13.0587797,0.0037190,37.1900826,-0.4731452,0.3671449,4.0000000,0.3964646,1.0043766,5.3380518,0.3378253,1.5119144
10,-13,-5.010651531150471,17.590694167536480,-13.0593910,0.0046281,46.2809906,-0.3969001,0.3654803,4.0000000,0.4383889,1.0040908,5.1638451,0.2925717,1.3507757
11,-13,-5.003194891150471,17.590694167536480,-13.0599899,0.0055372,55.3719025,-0.3441048,0.3487509,4.0000000,0.4593109,1.0038465,5.0101070,0.2381908,1.1940509
12,-13,-4.995738251150471,17.590694167536480,-13.0605764,-0.0035537,0.0000000,-0.3200904,0.3142654,4.0000000,0.4570480,1.0036236,4.8675547,0.1714829,1.0516238
13,-13,-4.988281611150471,17.590694167536480,-13.0611496,-0.0027273,0.0000000,-0.3214152,0.2615372,4.0000000,0.4296241,1.0033991,4.7185750,0.0934503,0.9301822
14,-13,-4.980824971150471,17.590694167536480,-13.0617075,-0.0019835,0.0000000,-0.3354655,0.1949357,4.0000000,0.3787476,1.0031593,4.5530324,0.0111237,0.8343213
15,-13,-4.973368331150471,17.590694167536480,-13.0622463,-0.0013223,0.0000000,-0.3549563,0.1156424,4.0000000,0.3080739,1.0028989,4.3640437,-0.0767891,0.7728478
