OID_,RegB,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-3.989091851150471,18.038092567536481,-13.0784693,0.0029752,43.8016510,-0.2579779,0.0024712,4.0000000,0.1113586,1.0404139,16.0261841,-0.1064161,0.6048241
2,-13,-3.981635211150471,18.038092567536481,-13.0763416,0.0011570,34.7107430,-0.2268990,0.0296319,4.0000000,0.1299200,1.0410103,16.1377850,-0.0706562,0.5382974
3,-13,-3.974178571150471,18.038092567536481,-13.0742035,-0.0006612,25.6198349,-0.2022636,0.0365006,4.0000000,0.1488070,1.0415690,16.2420921,-0.0758057,0.4840599
4,-13,-3.966721931150471,18.038092567536481,-13.0720539,-0.0027273,16.5289249,-0.1815847,0.0320156,4.0000000,0.1682606,1.0421863,16.3575497,-0.1042293,0.4351357
5,-13,-3.959265291150472,18.038092567536481,-13.0698900,0.0047934,49.5867767,-0.1628501,0.0228970,4.0000000,0.1908148,1.0428538,16.4825153,-0.1450208,0.3894720
6,-13,-3.951808651150472,18.038092567536481,-13.0677109,0.0023140,40.4958687,-0.1468236,0.0138208,4.0000000,0.2169197,1.0435812,16.6161633,-0.1892782,0.3506789
7,-13,-3.944352011150472,18.038092567536481,-13.0655136,0.0004132,31.4049587,-0.1341854,0.0054516,4.0000000,0.2470972,1.0443636,16.7607613,-0.2361940,0.3204739
8,-13,-3.936895371150472,18.038092567536481,-13.0632982,-0.0014050,22.3140488,-0.1260366,0.0008333,4.0000000,0.2814269,1.0451570,16.9058533,-0.2797604,0.3016314
9,-13,-3.929438731150471,18.038092567536481,-13.0610628,-0.0038017,13.2231407,-0.1261859,0.0012851,4.0000000,0.3211835,1.0459752,17.0542736,-0.3186133,0.3032829
10,-13,-3.921982091150471,18.038092567536481,-13.0588064,0.0034711,45.4545441,-0.1328918,0.0110261,4.0000000,0.3658268,1.0467930,17.2013874,-0.3437746,0.3227439
11,-13,-3.914525451150471,18.038092567536481,-13.0565281,0.0012397,36.3636360,-0.1449956,0.0322122,4.0000000,0.4142526,1.0475513,17.3353710,-0.3498282,0.3613037
12,-13,-3.996548491150471,18.030635927536480,-13.0808611,-0.0040496,9.0909090,-0.3287432,-0.0346140,4.0000000,0.1119357,1.0387130,15.6967087,-0.1811638,0.7693723
13,-13,-3.989091851150471,18.030635927536480,-13.0787764,0.0033058,45.4545441,-0.2916295,0.0016074,4.0000000,0.1239193,1.0394872,15.8473644,-0.1207046,0.6812314
14,-13,-3.981635211150471,18.030635927536480,-13.0766764,0.0014876,36.3636360,-0.2551670,0.0229409,4.0000000,0.1357619,1.0401618,15.9744263,-0.0898800,0.6009169
15,-13,-3.974178571150471,18.030635927536480,-13.0745630,-0.0003306,27.2727280,-0.2278375,0.0225551,4.0000000,0.1480950,1.0408161,16.0968342,-0.1029849,0.5383028
16,-13,-3.966721931150471,18.030635927536480,-13.0724354,-0.0023140,18.1818180,-0.2046765,0.0101150,4.0000000,0.1609614,1.0415405,16.2344666,-0.1407315,0.4829549
17,-13,-3.959265291150472,18.030635927536480,-13.0702906,-0.0047107,9.0909090,-0.1838023,-0.0059761,4.0000000,0.1763908,1.0423189,16.3817444,-0.1883430,0.4338971
18,-13,-3.951808651150472,18.030635927536480,-13.0681286,0.0027273,42.1487617,-0.1650279,-0.0235651,4.0000000,0.1934910,1.0431718,16.5399532,-0.2406213,0.3918235
19,-13,-3.944352011150472,18.030635927536480,-13.0659447,0.0007438,33.0578499,-0.1499436,-0.0397163,4.0000000,0.2147017,1.0441035,16.7121735,-0.2941342,0.3603272
20,-13,-3.936895371150472,18.030635927536480,-13.0637379,-0.0010744,23.9669418,-0.1393688,-0.0507200,4.0000000,0.2407698,1.0450637,16.8882408,-0.3422099,0.3393485
21,-13,-3.929438731150471,18.030635927536480,-13.0615072,-0.0033884,14.8760328,-0.1365610,-0.0566431,4.0000000,0.2724403,1.0460632,17.0679398,-0.3857265,0.3354393
22,-13,-3.921982091150471,18.030635927536480,-13.0592499,0.0038843,47.1074371,-0.1398939,-0.0532121,4.0000000,0.3078288,1.0470581,17.2470875,-0.4142530,0.3427783
23,-13,-3.914525451150471,18.030635927536480,-13.0569677,0.0015702,38.0165291,-0.1486953,-0.0358907,4.0000000,0.3494021,1.0479984,17.4142647,-0.4211835,0.3603199
24,-13,-3.907068811150471,18.030635927536480,-13.0546608,-0.0003306,28.9256191,-0.1635678,-0.0076376,4.0000000,0.3950403,1.0488483,17.5622005,-0.4103154,0.3966042
25,-13,-3.899612171150471,18.030635927536480,-13.0523319,-0.0023967,19.8347111,-0.1797229,0.0382920,4.0000000,0.4452033,1.0495529,17.6872139,-0.3686194,0.4526297
26,-13,-3.996548491150471,18.023179287536479,-13.0811558,-0.0037190,9.9173555,-0.3654956,-0.0345229,4.0000000,0.1241312,1.0377125,15.4975777,-0.1931769,0.8515275
27,-13,-3.989091851150471,18.023179287536479,-13.0791006,0.0037190,47.1074371,-0.3214400,-0.0042260,4.0000000,0.1314844,1.0385591,15.6646643,-0.1399365,0.7479668
28,-13,-3.981635211150471,18.023179287536479,-13.0770283,0.0018182,38.0165291,-0.2791069,0.0114491,4.0000000,0.1378420,1.0393106,15.8093090,-0.1149437,0.6525531
29,-13,-3.974178571150471,18.023179287536479,-13.0749407,0.0000000,28.9256191,-0.2475691,0.0040304,4.0000000,0.1435729,1.0400603,15.9510679,-0.1355121,0.5797658
30,-13,-3.966721931150471,18.023179287536479,-13.0728359,-0.0019008,19.8347111,-0.2206402,-0.0163575,4.0000000,0.1494817,1.0408936,16.1102657,-0.1821966,0.5184206
31,-13,-3.959265291150472,18.023179287536479,-13.0707111,-0.0042149,10.7438021,-0.1961951,-0.0400649,4.0000000,0.1563002,1.0417918,16.2810516,-0.2364300,0.4670295
32,-13,-3.951808651150472,18.023179287536479,-13.0685654,0.0031405,43.8016510,-0.1739112,-0.0648055,4.0000000,0.1656878,1.0427649,16.4634209,-0.2952988,0.4256423
33,-13,-3.944352011150472,18.023179287536479,-13.0663948,0.0010744,34.7107430,-0.1554998,-0.0878151,4.0000000,0.1786974,1.0438299,16.6620197,-0.3543275,0.3969729
34,-13,-3.936895371150472,18.023179287536479,-13.0641975,-0.0007438,25.6198349,-0.1420250,-0.1056327,4.0000000,0.1963430,1.0449501,16.8661232,-0.4076084,0.3794325
35,-13,-3.929438731150471,18.023179287536479,-13.0619707,-0.0029752,16.5289249,-0.1350308,-0.1178129,4.0000000,0.2183955,1.0461117,17.0747452,-0.4540213,0.3740200
36,-13,-3.921982091150471,18.023179287536479,-13.0597143,0.0043802,48.7603302,-0.1343609,-0.1181143,4.0000000,0.2456998,1.0472729,17.2846260,-0.4819284,0.3727802
37,-13,-3.914525451150471,18.023179287536479,-13.0574284,0.0019835,39.6694221,-0.1395972,-0.1036163,4.0000000,0.2796984,1.0483854,17.4812355,-0.4869311,0.3727380
38,-13,-3.907068811150471,18.023179287536479,-13.0551138,0.0000000,30.5785122,-0.1525748,-0.0794355,4.0000000,0.3189283,1.0494165,17.6592884,-0.4777993,0.3877762
39,-13,-3.899612171150471,18.023179287536479,-13.0527725,-0.0019835,21.4876041,-0.1693731,-0.0403979,4.0000000,0.3621632,1.0503224,17.8164158,-0.4429590,0.4144123
40,-13,-3.892155531150471,18.023179287536479,-13.0504074,-0.0046281,12.3966942,-0.1877825,0.0208110,4.0000000,0.4126778,1.0509979,17.9353828,-0.3710558,0.4663335
41,-13,-4.004005131150471,18.015722647536478,-13.0834703,-0.0013223,19.8347111,-0.4474992,-0.0750630,4.0000000,0.1254894,1.0357056,15.0927229,-0.2756154,1.0512452
42,-13,-3.996548491150471,18.015722647536478,-13.0814686,-0.0033884,10.7438021,-0.3968136,-0.0400590,4.0000000,0.1295052,1.0367103,15.2953854,-0.2096232,0.9221135
43,-13,-3.989091851150471,18.015722647536478,-13.0794439,0.0041322,48.7603302,-0.3443745,-0.0154872,4.0000000,0.1328898,1.0376402,15.4811831,-0.1638643,0.7989390
44,-13,-3.981635211150471,18.015722647536478,-13.0773993,0.0021488,39.6694221,-0.2964293,-0.0071268,4.0000000,0.1336045,1.0384793,15.6449366,-0.1478581,0.6895145
45,-13,-3.974178571150471,18.015722647536478,-13.0753374,0.0003306,30.5785122,-0.2600323,-0.0204631,4.0000000,0.1341050,1.0393227,15.8073978,-0.1750313,0.6077576
46,-13,-3.966721931150471,18.015722647536478,-13.0732555,-0.0014876,21.4876041,-0.2294785,-0.0472152,4.0000000,0.1345328,1.0402598,15.9893503,-0.2289632,0.5449427
47,-13,-3.959265291150472,18.015722647536478,-13.0711508,-0.0037190,12.3966942,-0.2002539,-0.0765587,4.0000000,0.1360159,1.0412827,16.1831703,-0.2891333,0.4925692
48,-13,-3.951808651150472,18.015722647536478,-13.0690203,0.0036364,45.4545441,-0.1750887,-0.1078289,4.0000000,0.1397075,1.0423806,16.3905315,-0.3553652,0.4584170
49,-13,-3.944352011150472,18.015722647536478,-13.0668621,0.0014876,36.3636360,-0.1536926,-0.1361537,4.0000000,0.1470261,1.0435753,16.6134586,-0.4193335,0.4377267
50,-13,-3.936895371150472,18.015722647536478,-13.0646725,-0.0003306,27.2727280,-0.1374092,-0.1586911,4.0000000,0.1569711,1.0448321,16.8437595,-0.4743534,0.4277264
51,-13,-3.929438731150471,18.015722647536478,-13.0624514,-0.0024793,18.1818180,-0.1269221,-0.1732521,4.0000000,0.1721538,1.0461310,17.0792160,-0.5186580,0.4233942
52,-13,-3.921982091150471,18.015722647536478,-13.0601959,-0.0050413,9.0909090,-0.1228770,-0.1772899,4.0000000,0.1920495,1.0474563,17.3144608,-0.5466294,0.4196469
53,-13,-3.914525451150471,18.015722647536478,-13.0579062,0.0024793,42.1487617,-0.1244048,-0.1671356,4.0000000,0.2168967,1.0487283,17.5388336,-0.5511680,0.4084800
54,-13,-3.907068811150471,18.015722647536478,-13.0555840,0.0004132,33.0578499,-0.1348390,-0.1469150,4.0000000,0.2485819,1.0499126,17.7441349,-0.5424120,0.4071330
55,-13,-3.899612171150471,18.015722647536478,-13.0532312,-0.0014876,23.9669418,-0.1515244,-0.1117573,4.0000000,0.2867259,1.0509977,17.9296646,-0.5102406,0.4111852
56,-13,-3.892155531150471,18.015722647536478,-13.0508509,-0.0040496,14.8760328,-0.1715683,-0.0585206,4.0000000,0.3288303,1.0518798,18.0809784,-0.4458715,0.4276248
57,-13,-3.884698891150471,18.015722647536478,-13.0484495,0.0032231,43.8016510,-0.1984848,0.0104217,4.0000000,0.3766991,1.0524498,18.1780739,-0.3558557,0.4913712
