OID_,RegC,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.608803211150471,18.642080407536479,-12.9877615,0.0030579,39.6694221,-0.2373682,0.5790088,4.0000000,-0.1433462,1.0301658,13.9180393,1.3013637,1.9366305
2,-12,-3.616259851150471,18.634623767536478,-12.9888430,0.0040496,45.4545441,-0.0829221,0.5626295,4.0000000,-0.0177951,1.0322468,14.3812723,1.1430540,1.5350181
3,-12,-3.608803211150471,18.634623767536478,-12.9894981,0.0046281,48.7603302,-0.3797150,0.4694766,4.0000000,-0.2542529,1.0312551,14.1622400,1.1932061,1.7649329
4,-12,-3.601346571150471,18.634623767536478,-12.9901600,-0.0047934,2.4793389,-0.6839514,0.3815629,4.0000000,-0.4759406,1.0299505,13.8696299,1.2390662,2.1115501
5,-12,-3.593889931150471,18.634623767536478,-12.9908171,-0.0042975,3.3057852,-0.9853509,0.3002437,4.0000000,-0.6789221,1.0283649,13.5055304,1.2794094,2.5378861
6,-12,-3.586433291150471,18.634623767536478,-12.9914618,-0.0037190,4.1322312,-1.2706672,0.2263069,4.0000000,-0.8599029,1.0265626,13.0760107,1.3125167,2.9968479
7,-12,-3.623716491150471,18.627167127536481,-12.9900541,-0.0047107,4.1322312,0.0407696,0.5315598,4.0000000,0.1110153,1.0341265,14.7856054,0.9521043,1.1333191
8,-12,-3.616259851150471,18.627167127536481,-12.9906645,-0.0041322,5.7851238,-0.2232409,0.4321356,4.0000000,-0.1365939,1.0333209,14.6141872,1.0008651,1.2899538
9,-12,-3.608803211150471,18.627167127536481,-12.9912834,-0.0035537,7.4380164,-0.5044127,0.3376305,4.0000000,-0.3720032,1.0321685,14.3658333,1.0472642,1.5969249
10,-12,-3.601346571150471,18.627167127536481,-12.9919004,-0.0029752,9.0909090,-0.7899903,0.2515258,4.0000000,-0.5863017,1.0307012,14.0411720,1.0893533,2.0149190
11,-12,-3.593889931150471,18.627167127536481,-12.9925060,-0.0024793,10.7438021,-1.0683634,0.1759289,4.0000000,-0.7744510,1.0289720,13.6460848,1.1263087,2.4953220
12,-12,-3.586433291150471,18.627167127536481,-12.9930925,-0.0019008,12.3966942,-1.3292581,0.1094509,4.0000000,-0.9364309,1.0270382,13.1893606,1.1553328,2.9881382
13,-12,-3.578976651150471,18.627167127536481,-12.9936543,-0.0013223,14.0495872,-1.5750873,0.0476962,4.0000000,-1.0814263,1.0249585,12.6811094,1.1768186,3.4789779
14,-12,-3.571520011150471,18.627167127536481,-12.9941845,-0.0008264,14.8760328,-1.8030339,-0.0076045,4.0000000,-1.2074565,1.0227855,12.1220036,1.1922475,3.9517112
15,-12,-3.638629771150471,18.619710487536480,-12.9908390,-0.0038017,8.2644625,0.2894453,0.5800838,4.0000000,0.4722913,1.0359126,15.1564960,0.6878762,0.8653906
16,-12,-3.631173131150471,18.619710487536480,-12.9913807,-0.0033058,9.9173555,0.1130036,0.4851476,4.0000000,0.2345749,1.0356719,15.1086836,0.7357204,0.7858553
17,-12,-3.623716491150471,18.619710487536480,-12.9919481,-0.0028099,11.5702477,-0.1004271,0.3818899,4.0000000,-0.0161805,1.0350791,14.9885826,0.7799604,0.8539607
18,-12,-3.616259851150471,18.619710487536480,-12.9925280,-0.0022314,14.0495872,-0.3391713,0.2806534,4.0000000,-0.2626598,1.0341274,14.7886667,0.8239665,1.0915922
19,-12,-3.608803211150471,18.619710487536480,-12.9931087,-0.0016529,16.5289249,-0.5945096,0.1847254,4.0000000,-0.4938967,1.0328259,14.5107479,0.8633474,1.4743726
20,-12,-3.601346571150471,18.619710487536480,-12.9936790,-0.0011570,18.1818180,-0.8519220,0.1040167,4.0000000,-0.6929979,1.0312201,14.1581659,0.9010313,1.9561807
21,-12,-3.593889931150471,18.619710487536480,-12.9942322,-0.0006612,19.8347111,-1.1030383,0.0350415,4.0000000,-0.8619720,1.0293660,13.7378302,0.9320551,2.4780242
22,-12,-3.586433291150471,18.619710487536480,-12.9947596,-0.0000826,21.4876041,-1.3383247,-0.0222982,4.0000000,-1.0005909,1.0273266,13.2607050,0.9559944,2.9928102
23,-12,-3.578976651150471,18.619710487536480,-12.9952555,0.0004132,23.1404953,-1.5563192,-0.0744050,4.0000000,-1.1203429,1.0251706,12.7334919,0.9715328,3.4832556
24,-12,-3.571520011150471,18.619710487536480,-12.9957170,0.0008264,23.9669418,-1.7557061,-0.1203845,4.0000000,-1.2205673,1.0229418,12.1652508,0.9797983,3.9379714
25,-12,-3.564063371150471,18.619710487536480,-12.9961367,0.0012397,24.7933884,-1.9370315,-0.1588733,4.0000000,-1.2984643,1.0206965,11.5616293,0.9807177,4.3493500
26,-12,-3.556606731150471,18.619710487536480,-12.9965124,0.0015702,25.6198349,-2.0899117,-0.1812443,4.0000000,-1.3372849,1.0184832,10.9300070,0.9747963,4.6737709
27,-12,-3.549150091150471,18.619710487536480,-12.9968405,0.0019008,26.4462814,-2.2124953,-0.1795266,4.0000000,-1.3245246,1.0163342,10.2804508,0.9654715,4.8883696
28,-12,-3.646086411150471,18.612253847536479,-12.9923067,-0.0022314,15.7024794,0.2433316,0.5181006,4.0000000,0.5745448,1.0367923,15.3377008,0.4616564,0.6901670
29,-12,-3.638629771150471,18.612253847536479,-12.9928045,-0.0018182,17.3553715,0.1244167,0.4225555,4.0000000,0.3444868,1.0367697,15.3350468,0.5006242,0.5280565
30,-12,-3.631173131150471,18.612253847536479,-12.9933310,-0.0014050,19.0082645,-0.0279064,0.3191491,4.0000000,0.1008297,1.0364015,15.2626495,0.5374684,0.5125520
31,-12,-3.623716491150471,18.612253847536479,-12.9938736,-0.0009917,20.6611576,-0.2089524,0.2115108,4.0000000,-0.1500698,1.0356693,15.1118937,0.5730914,0.6632686
