OID_,DEM_Large_S3_Clip18,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.213601291150471,17.270058647536480,-12.9357090,-0.0003306,22.3140488,3.3509660,-2.2606483,4.0000000,-1.7782822,1.0390650,15.7851629,-2.7430143,15.6694031
2,-12,-3.206144651150471,17.270058647536480,-12.9342098,-0.0017355,18.1818180,2.1968005,-1.9558706,5.0000000,-1.2607969,1.0432086,16.5870724,-2.6509442,12.4179716
3,-12,-3.198688011150471,17.270058647536480,-12.9325266,-0.0033058,14.0495872,1.1070987,-1.6010708,4.0000000,-0.7547043,1.0471580,17.3117695,-2.4474373,9.1056318
4,-12,-3.191231371150471,17.270058647536480,-12.9306860,-0.0049587,9.9173555,0.1868386,-1.2118156,4.0000000,-0.2674661,1.0505148,17.8992081,-2.1561651,6.1812291
5,-12,-3.183774731150470,17.270058647536480,-12.9287214,0.0033058,40.4958687,-0.4995176,-0.7990642,4.0000000,0.1997088,1.0529157,18.3083954,-1.7978373,3.9863913
6,-12,-3.176318091150470,17.270058647536480,-12.9266691,0.0014050,32.2314034,-0.9108583,-0.3756960,4.0000000,0.6424378,1.0541184,18.5070419,-1.3938297,2.7661345
7,-12,-3.168861451150470,17.270058647536480,-12.9245653,-0.0004132,24.7933884,-1.0336130,0.0447177,4.0000000,1.0551364,1.0539737,18.4804230,-0.9657011,2.6026073
8,-12,-3.161404811150471,17.270058647536480,-12.9224482,-0.0021488,18.1818180,-0.8855495,0.4505807,4.0000000,1.4336118,1.0524549,18.2264042,-0.5324504,3.4135144
9,-12,-3.153948171150471,17.270058647536480,-12.9203539,-0.0039669,12.3966942,-0.5109099,0.8274544,4.0000000,1.7729219,1.0496904,17.7499790,-0.1180130,4.9605622
10,-12,-3.221057931150471,17.262602007536483,-12.9385662,0.0021488,33.8842964,5.5005403,-2.6304286,4.0000000,-2.4637654,1.0333529,14.6006584,-2.7970915,18.9181843
11,-12,-3.213601291150471,17.262602007536483,-12.9372511,0.0010744,28.9256191,4.3654294,-2.3849056,5.0000000,-2.0171192,1.0377504,15.5203905,-2.7526920,16.0007687
12,-12,-3.206144651150471,17.262602007536483,-12.9357271,-0.0002479,23.9669418,3.1680820,-2.0862908,5.0000000,-1.5657603,1.0424093,16.4342117,-2.6068213,12.6944723
13,-12,-3.198688011150471,17.262602007536483,-12.9340153,-0.0017355,19.0082645,2.0125945,-1.7391701,4.0000000,-1.1094280,1.0469348,17.2687321,-2.3689120,9.2578363
14,-12,-3.191231371150471,17.262602007536483,-12.9321423,-0.0034711,14.0495872,1.0032520,-1.3567986,4.0000000,-0.6551586,1.0509114,17.9671745,-2.0584388,6.1057596
15,-12,-3.183774731150470,17.262602007536483,-12.9301414,-0.0052893,9.9173555,0.2097419,-0.9491918,4.0000000,-0.2060343,1.0539759,18.4820499,-1.6923493,3.5857861
16,-12,-3.176318091150470,17.262602007536483,-12.9280462,0.0027273,38.8429756,-0.3193805,-0.5299318,4.0000000,0.2303469,1.0558438,18.7875824,-1.2902104,1.9862138
17,-12,-3.168861451150470,17.262602007536483,-12.9258938,0.0008264,30.5785122,-0.5694981,-0.1084273,4.0000000,0.6500720,1.0563164,18.8625832,-0.8669266,1.4426017
18,-12,-3.161404811150471,17.262602007536483,-12.9237213,-0.0009917,23.1404953,-0.5481352,0.3036263,4.0000000,1.0482050,1.0553321,18.7019081,-0.4409525,1.9516177
19,-12,-3.153948171150471,17.262602007536483,-12.9215660,-0.0028926,16.5289249,-0.2964152,0.6875183,4.0000000,1.4167686,1.0529803,18.3104954,-0.0417319,3.3276608
20,-12,-3.146491531150471,17.262602007536483,-12.9194603,0.0052066,47.9338837,0.1117768,1.0240799,4.0000000,1.7469702,1.0494875,17.7104301,0.3011896,5.1904550
21,-12,-3.139034891150471,17.262602007536483,-12.9174328,0.0032231,38.8429756,0.6045404,1.3074814,4.0000000,2.0341344,1.0451956,16.9445133,0.5808285,7.1469417
22,-12,-3.131578251150471,17.262602007536483,-12.9155045,0.0013223,29.7520657,1.1161863,1.5368248,4.0000000,2.2762392,1.0404274,16.0447350,0.7974104,8.9031878
23,-12,-3.124121611150471,17.262602007536483,-12.9136915,-0.0004959,21.4876041,1.5798395,1.7066693,4.0000000,2.4665611,1.0354646,15.0452480,0.9467774,10.1984653
24,-12,-3.228514571150471,17.255145367536482,-12.9411469,-0.0057851,0.0000000,7.1985941,-2.8875275,4.0000000,-2.9523616,1.0271095,13.1740141,-2.8226936,21.1587734
25,-12,-3.221057931150471,17.255145367536482,-12.9400425,-0.0066942,0.0000000,6.2725596,-2.7142973,4.0000000,-2.6062403,1.0311863,14.1235905,-2.8223541,19.0854092
26,-12,-3.213601291150471,17.255145367536482,-12.9387140,0.0022314,35.5371895,5.1391153,-2.4780231,5.0000000,-2.2338698,1.0359128,15.1442251,-2.7221763,16.2919407
27,-12,-3.206144651150471,17.255145367536482,-12.9371767,0.0009917,29.7520657,3.9304626,-2.1917875,4.0000000,-1.8457787,1.0409623,16.1568336,-2.5377960,13.0908890
28,-12,-3.198688011150471,17.255145367536482,-12.9354506,-0.0004132,23.9669418,2.7418864,-1.8583002,4.0000000,-1.4403678,1.0459540,17.0894852,-2.2762325,9.6772223
29,-12,-3.191231371150471,17.255145367536482,-12.9335623,-0.0021488,18.1818180,1.6807597,-1.4911976,4.0000000,-1.0249994,1.0504730,17.8891754,-1.9573958,6.4388919
30,-12,-3.183774731150470,17.255145367536482,-12.9315414,-0.0039669,13.2231407,0.8072258,-1.0953333,4.0000000,-0.6011295,1.0541431,18.5078926,-1.5895370,3.6734841
31,-12,-3.176318091150470,17.255145367536482,-12.9294205,0.0040496,45.4545441,0.1783062,-0.6849552,4.0000000,-0.1776035,1.0566522,18.9163685,-1.1923070,1.7161015
32,-12,-3.168861451150470,17.255145367536482,-12.9272356,0.0020661,36.3636360,-0.1880538,-0.2679838,4.0000000,0.2409993,1.0577636,19.0946503,-0.7769668,0.7596048
