OID_,RegF2,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.958455051150471,18.619710487536480,-13.2445040,-0.0004959,28.0991745,-0.6472082,0.0121088,4.0000000,-0.7091036,1.0481960,17.4462242,0.7333212,1.5650321
2,-13,-4.950998411150471,18.619710487536480,-13.2439709,-0.0009917,25.6198349,-0.6116468,-0.0241206,4.0000000,-0.6980271,1.0485891,17.5158253,0.6497859,1.4943731
3,-13,-4.943541771150471,18.619710487536480,-13.2433853,-0.0015702,23.1404953,-0.5705967,-0.0573951,4.0000000,-0.6758739,1.0489751,17.5827808,0.5610837,1.4186085
4,-13,-4.936085131150471,18.619710487536480,-13.2427492,-0.0021488,20.6611576,-0.5218102,-0.0836909,4.0000000,-0.6349661,1.0493389,17.6457081,0.4675843,1.3245863
5,-13,-4.928628491150471,18.619710487536480,-13.2420607,-0.0028926,17.3553715,-0.4693059,-0.0951378,4.0000000,-0.5657213,1.0496525,17.7007961,0.3754458,1.2072798
6,-13,-4.921171851150472,18.619710487536480,-13.2413225,-0.0036364,14.8760328,-0.4168150,-0.0919955,4.0000000,-0.4689902,1.0498635,17.7382812,0.2849993,1.0722744
7,-13,-4.913715211150471,18.619710487536480,-13.2405376,-0.0044628,12.3966942,-0.3769492,-0.0746885,4.0000000,-0.3504659,1.0499277,17.7505493,0.2010888,0.9541730
8,-13,-5.010651531150471,18.612253847536483,-13.2493334,0.0043802,47.1074371,-0.3801320,0.1884489,4.0000000,-0.4562564,1.0480049,17.4195843,0.8331543,1.0383794
9,-13,-5.003194891150471,18.612253847536483,-13.2490759,0.0040496,45.4545441,-0.3940603,0.1948227,4.0000000,-0.4598022,1.0483863,17.4855843,0.8494475,1.0823978
10,-13,-4.995738251150471,18.612253847536483,-13.2487898,0.0037190,43.8016510,-0.4229598,0.1856831,4.0000000,-0.4807743,1.0486873,17.5364895,0.8521405,1.1382953
11,-13,-4.988281611150471,18.612253847536483,-13.2484741,0.0033884,42.9752083,-0.4757186,0.1555831,4.0000000,-0.5308869,1.0489419,17.5793266,0.8420531,1.2252022
12,-13,-4.980824971150471,18.612253847536483,-13.2481251,0.0030579,42.1487617,-0.5397204,0.1071072,4.0000000,-0.6003395,1.0491914,17.6188869,0.8145540,1.3341564
13,-13,-4.973368331150471,18.612253847536483,-13.2477350,0.0026446,40.4958687,-0.5929071,0.0526809,4.0000000,-0.6661183,1.0494527,17.6625061,0.7714801,1.4400425
14,-13,-4.965911691150471,18.612253847536483,-13.2473001,0.0021488,38.8429756,-0.6138603,0.0048010,4.0000000,-0.7030193,1.0497262,17.7101345,0.7126213,1.4951299
15,-13,-4.958455051150471,18.612253847536483,-13.2468147,0.0016529,37.1900826,-0.6080557,-0.0341822,4.0000000,-0.7121711,1.0500082,17.7584534,0.6438066,1.5004264
16,-13,-4.950998411150471,18.612253847536483,-13.2462778,0.0011570,34.7107430,-0.5813830,-0.0684114,4.0000000,-0.7000285,1.0502919,17.8052616,0.5632057,1.4632107
17,-13,-4.943541771150471,18.612253847536483,-13.2456875,0.0005785,32.2314034,-0.5505925,-0.1007718,4.0000000,-0.6788633,1.0505639,17.8506565,0.4773197,1.4230630
18,-13,-4.936085131150471,18.612253847536483,-13.2450447,0.0000000,29.7520657,-0.5111992,-0.1270234,4.0000000,-0.6408591,1.0508121,17.8933430,0.3868124,1.3603342
