OID_,RegG,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.220247691150472,19.372831127536479,-13.1315699,-0.0033884,28.9256191,-2.5146742,-0.0217767,4.0000000,1.5281169,1.1355964,28.2911701,-1.5716704,8.5710392
2,-13,-4.212791051150472,19.372831127536479,-13.1277561,0.0028926,45.4545441,-2.3522415,0.0914971,4.0000000,1.5481431,1.1369324,28.4152813,-1.3651488,8.3850622
3,-13,-4.205334411150472,19.372831127536479,-13.1238966,-0.0009091,36.3636360,-2.1505375,0.2126950,4.0000000,1.5610374,1.1375897,28.4787846,-1.1356474,8.2181921
4,-13,-4.197877771150472,19.372831127536479,-13.1200037,-0.0046281,27.2727280,-1.8767879,0.3535731,4.0000000,1.5717245,1.1375297,28.4753284,-0.8645783,8.0572615
5,-13,-4.190421131150472,19.372831127536479,-13.1160936,0.0014876,41.3223152,-1.5159956,0.5174922,4.0000000,1.5814148,1.1365678,28.3882637,-0.5464305,7.9567428
6,-13,-4.324640651150472,19.365374487536478,-13.1761417,0.0013223,37.1900826,-2.9111488,0.1148287,4.0000000,0.1343572,1.0805629,22.2594185,0.0953002,8.0107498
7,-13,-4.317184011150472,19.365374487536478,-13.1738968,-0.0009917,29.7520657,-3.1174386,-0.0177209,4.0000000,0.2345964,1.0845391,22.7659397,-0.2700382,8.6244297
8,-13,-4.309727371150472,19.365374487536478,-13.1715355,-0.0034711,23.1404953,-3.2876120,-0.1417128,4.0000000,0.3438576,1.0888659,23.3010197,-0.6272831,9.2979717
9,-13,-4.302270731150472,19.365374487536478,-13.1690483,0.0039669,46.2809906,-3.3990514,-0.2457293,4.0000000,0.4685991,1.0935266,23.8624916,-0.9600576,9.9099760
10,-13,-4.294814091150472,19.365374487536478,-13.1664276,0.0012397,37.1900826,-3.4397740,-0.3248629,4.0000000,0.6053166,1.0985136,24.4454193,-1.2550424,10.3486071
11,-13,-4.287357451150472,19.365374487536478,-13.1636667,-0.0015702,28.9256191,-3.4356821,-0.3819551,4.0000000,0.7462503,1.1036783,25.0278473,-1.5101606,10.6340322
12,-13,-4.279900811150472,19.365374487536478,-13.1607666,-0.0045455,21.4876041,-3.4144430,-0.4242229,4.0000000,0.8828792,1.1089500,25.6069965,-1.7313250,10.8389921
13,-13,-4.272444171150472,19.365374487536478,-13.1577253,0.0023967,42.1487617,-3.3900030,-0.4500496,4.0000000,1.0131170,1.1143140,26.1772213,-1.9132161,10.9856710
14,-13,-4.264987531150472,19.365374487536478,-13.1545448,-0.0007438,33.0578499,-3.3374715,-0.4529510,4.0000000,1.1353636,1.1196395,26.7269917,-2.0412655,10.9677391
15,-13,-4.257530891150472,19.365374487536478,-13.1512289,-0.0040496,24.7933884,-3.2695286,-0.4325062,4.0000000,1.2462119,1.1247708,27.2448025,-2.1112244,10.8278666
16,-13,-4.250074251150472,19.365374487536478,-13.1477852,0.0025620,42.9752083,-3.1838613,-0.3872871,4.0000000,1.3443991,1.1295875,27.7175732,-2.1189733,10.5762682
17,-13,-4.242617611150472,19.365374487536478,-13.1442223,-0.0009091,33.8842964,-3.0680897,-0.3160824,4.0000000,1.4276986,1.1339667,28.1372280,-2.0598633,10.2123594
18,-13,-4.235160971150472,19.365374487536478,-13.1405516,-0.0045455,24.7933884,-2.9212785,-0.2223478,4.0000000,1.4952974,1.1376985,28.4883690,-1.9399930,9.7908087
19,-13,-4.227704331150472,19.365374487536478,-13.1367874,0.0018182,42.1487617,-2.7507553,-0.1115340,4.0000000,1.5498865,1.1406935,28.7650738,-1.7729545,9.3944721
20,-13,-4.220247691150472,19.365374487536478,-13.1329460,-0.0019835,33.0578499,-2.5564680,0.0090530,4.0000000,1.5917675,1.1429155,28.9683647,-1.5736617,9.0613317
21,-13,-4.212791051150472,19.365374487536478,-13.1290417,0.0042149,48.7603302,-2.3339646,0.1361534,4.0000000,1.6235623,1.1443266,29.0950413,-1.3512555,8.7933626
22,-13,-4.205334411150472,19.365374487536478,-13.1250906,0.0003306,39.6694221,-2.0702524,0.2707605,4.0000000,1.6486518,1.1449655,29.1537857,-1.1071308,8.5762320
23,-13,-4.197877771150472,19.365374487536478,-13.1211071,-0.0034711,30.5785122,-1.7402083,0.4210933,4.0000000,1.6709092,1.1447992,29.1406479,-0.8287226,8.4103947
24,-13,-4.190421131150472,19.365374487536478,-13.1171074,0.0026446,43.8016510,-1.3257591,0.5928692,4.0000000,1.6933717,1.1436595,29.0405312,-0.5076331,8.3539915
25,-13,-4.182964491150472,19.365374487536478,-13.1131115,-0.0012397,34.7107430,-0.8637460,0.7722475,4.0000000,1.7178967,1.1414143,28.8372116,-0.1734017,8.4922342
26,-13,-4.175507851150472,19.365374487536478,-13.1091394,0.0048760,48.7603302,-0.3991897,0.9431165,4.0000000,1.7430390,1.1381514,28.5334244,0.1431939,8.8123875
27,-13,-4.168051211150472,19.365374487536478,-13.1052084,0.0009091,39.6694221,0.0326468,1.0946916,4.0000000,1.7672164,1.1340082,28.1441364,0.4221670,9.2340555
28,-13,-4.160594571150471,19.365374487536478,-13.1013355,-0.0028099,30.5785122,0.4076968,1.2231513,4.0000000,1.7894331,1.1291567,27.6759644,0.6568695,9.6845636
29,-13,-4.354467211150472,19.357917847536481,-13.1863279,0.0016529,36.3636360,-2.2182710,0.4979193,4.0000000,-0.3931074,1.0703468,20.8982220,1.3889461,6.8337188
30,-13,-4.347010571150472,19.357917847536481,-13.1844511,-0.0003306,28.9256191,-2.3142071,0.3780019,4.0000000,-0.3087472,1.0737351,21.3651981,1.0647509,6.7326226
31,-13,-4.339553931150472,19.357917847536481,-13.1824999,-0.0022314,23.1404953,-2.4872603,0.2485290,4.0000000,-0.2257808,1.0772064,21.8295422,0.7228388,6.9454188
32,-13,-4.332097291150472,19.357917847536481,-13.1804628,-0.0042975,18.1818180,-2.6918514,0.1171802,4.0000000,-0.1344498,1.0808660,22.3069687,0.3688102,7.4010153
33,-13,-4.324640651150472,19.357917847536481,-13.1783247,0.0034711,45.4545441,-2.9077587,-0.0114785,4.0000000,-0.0311438,1.0847659,22.8011513,0.0081867,8.0535736
34,-13,-4.317184011150472,19.357917847536481,-13.1760740,0.0011570,37.1900826,-3.1034493,-0.1311158,4.0000000,0.0864698,1.0889530,23.3183212,-0.3487014,8.7995348
35,-13,-4.309727371150472,19.357917847536481,-13.1736994,-0.0012397,29.7520657,-3.2750447,-0.2403321,4.0000000,0.2164759,1.0934792,23.8603134,-0.6971402,9.5933962
36,-13,-4.302270731150472,19.357917847536481,-13.1711912,-0.0038017,23.1404953,-3.3999517,-0.3324057,4.0000000,0.3568293,1.0983407,24.4268875,-1.0216408,10.3163204
37,-13,-4.294814091150472,19.357917847536481,-13.1685419,0.0034711,44.6280975,-3.4684203,-0.4014385,4.0000000,0.5097268,1.1035304,25.0152016,-1.3126037,10.8695908
