OID_,RegH,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.332907531150472,19.134218647536478,-12.9816284,-0.0019008,21.4876041,1.7158282,1.7388406,4.0000000,2.7448919,1.0482756,17.4762077,0.7327893,11.3088560
2,-12,-3.325450891150472,19.134218647536478,-12.9839716,-0.0000826,30.5785122,0.5789021,1.4761469,4.0000000,2.6373706,1.0492522,17.6522732,0.3149233,10.0097275
3,-12,-3.317994251150472,19.134218647536478,-12.9863291,0.0018182,39.6694221,-0.5681493,1.1886333,4.0000000,2.5153220,1.0492638,17.6608849,-0.1380554,9.0094566
4,-12,-3.347820811150472,19.126762007536477,-12.9775219,0.0037190,43.8016510,4.1144819,2.3148675,4.0000000,2.9780848,1.0446907,16.8218555,1.6516503,16.4234428
5,-12,-3.340364171150472,19.126762007536477,-12.9797449,0.0061983,52.8925629,3.0710075,2.1105182,4.0000000,2.8922398,1.0470926,17.2588882,1.3287965,14.8216057
6,-12,-3.332907531150472,19.126762007536477,-12.9820299,-0.0014876,23.1404953,1.9209569,1.8713124,4.0000000,2.7896812,1.0488945,17.5821934,0.9529437,13.1551313
7,-12,-3.325450891150472,19.126762007536477,-12.9843569,0.0003306,32.2314034,0.6963596,1.5987345,4.0000000,2.6698692,1.0498779,17.7591496,0.5275998,11.5931902
8,-12,-3.317994251150472,19.126762007536477,-12.9867020,0.0023140,41.3223152,-0.5313194,1.2997924,4.0000000,2.5326910,1.0499128,17.7713089,0.0668938,10.3105669
9,-12,-3.310537611150472,19.126762007536477,-12.9890385,0.0044628,50.4132233,-1.7089230,0.9809607,4.0000000,2.3798454,1.0489014,17.6029549,-0.4179241,9.4749937
10,-12,-3.303080971150472,19.126762007536477,-12.9913397,-0.0030579,14.8760328,-2.7351203,0.6585869,4.0000000,2.2121871,1.0467939,17.2347393,-0.8950133,9.1401300
11,-12,-3.295624331150472,19.126762007536477,-12.9935751,-0.0007438,23.9669418,-3.5155532,0.3531293,4.0000000,2.0326421,1.0437092,16.6761036,-1.3263836,9.2101955
12,-12,-3.288167691150472,19.126762007536477,-12.9957199,0.0010744,33.0578499,-4.0205846,0.0757715,4.0000000,1.8424636,1.0398731,15.9496717,-1.6909207,9.5070763
13,-12,-3.370190731150472,19.119305367536480,-12.9721117,-0.0012397,19.8347111,6.3671508,2.7836154,4.0000000,3.0464633,1.0375881,15.4421129,2.5207677,21.4512959
14,-12,-3.362734091150472,19.119305367536480,-12.9740353,0.0005785,28.9256191,5.9537148,2.7091358,4.0000000,3.0151103,1.0405457,16.0287437,2.4031615,20.8128910
15,-12,-3.355277451150472,19.119305367536480,-12.9760609,0.0024793,38.0165291,5.2100635,2.5807679,4.0000000,2.9611239,1.0434470,16.5851250,2.2004120,19.6810055
16,-12,-3.347820811150472,19.119305367536480,-12.9781771,0.0044628,47.1074371,4.2532134,2.4107432,4.0000000,2.8880470,1.0460668,17.0674801,1.9334394,18.2059689
17,-12,-3.340364171150472,19.119305367536480,-12.9803715,-0.0031405,16.5289249,3.1816416,2.2078969,4.0000000,2.7974250,1.0482972,17.4677773,1.6183690,16.5172577
18,-12,-3.332907531150472,19.119305367536480,-12.9826298,-0.0009091,25.6198349,1.9854432,1.9670386,4.0000000,2.6889994,1.0499514,17.7630424,1.2450778,14.7156839
19,-12,-3.325450891150472,19.119305367536480,-12.9849310,0.0009917,34.7107430,0.6986055,1.6880368,4.0000000,2.5586884,1.0508156,17.9178066,0.8173851,12.9588928
20,-12,-3.317994251150472,19.119305367536480,-12.9872522,0.0029752,43.8016510,-0.5923507,1.3802608,4.0000000,2.4090648,1.0507537,17.9144230,0.3514569,11.4672956
21,-12,-3.310537611150472,19.119305367536480,-12.9895687,0.0051240,52.8925629,-1.8310732,1.0509142,4.0000000,2.2427607,1.0496492,17.7303486,-0.1409324,10.4386015
22,-12,-3.303080971150472,19.119305367536480,-12.9918499,-0.0024793,17.3553715,-2.9151802,0.7159534,4.0000000,2.0605164,1.0474274,17.3475094,-0.6286095,9.9504938
23,-12,-3.295624331150472,19.119305367536480,-12.9940662,-0.0002479,26.4462814,-3.7379491,0.3960619,4.0000000,1.8636181,1.0442241,16.7723255,-1.0714945,9.9040184
24,-12,-3.288167691150472,19.119305367536480,-12.9961929,0.0015702,35.5371895,-4.2651396,0.1065817,4.0000000,1.6583537,1.0402693,16.0247517,-1.4451902,10.1282511
25,-12,-3.280711051150472,19.119305367536480,-12.9982061,0.0033058,44.6280975,-4.4783616,-0.1394577,4.0000000,1.4470085,1.0357852,15.1290054,-1.7259239,10.3461628
26,-13,-3.273254411150472,19.119305367536480,-13.0000877,-0.0051240,0.0000000,-4.4356990,-0.3435969,4.0000000,1.2301530,1.0311151,14.1291008,-1.9173467,10.4259768
27,-13,-3.265797771150472,19.119305367536480,-13.0018291,-0.0036364,0.8264463,-4.2049713,-0.5095689,4.0000000,1.0105195,1.0264826,13.0548286,-2.0296574,10.3195019
28,-12,-3.392560651150472,19.111848727536479,-12.9679985,0.0047107,47.9338837,5.6819768,2.7669337,4.0000000,2.7558465,1.0339003,14.6769419,2.7780206,22.0219784
29,-12,-3.385104011150472,19.111848727536479,-12.9696007,0.0062810,56.1983490,6.0758195,2.8116801,4.0000000,2.7904034,1.0359089,15.0942755,2.8329568,22.4318886
30,-12,-3.377647371150472,19.111848727536479,-12.9712954,-0.0020661,14.8760328,6.3127174,2.8339753,4.0000000,2.8157692,1.0381932,15.5567760,2.8521814,22.6740532
31,-12,-3.370190731150472,19.111848727536479,-12.9730883,-0.0003306,23.9669418,6.2778063,2.8178732,4.0000000,2.8185213,1.0406927,16.0500927,2.8172252,22.5764046
32,-12,-3.362734091150472,19.111848727536479,-12.9749813,0.0014876,33.0578499,5.8768368,2.7487295,4.0000000,2.7910941,1.0433267,16.5535793,2.7063649,21.9867134
33,-12,-3.355277451150472,19.111848727536479,-12.9769735,0.0033884,42.1487617,5.1391282,2.6266263,4.0000000,2.7362261,1.0458932,17.0286770,2.5170262,20.9101620
34,-12,-3.347820811150472,19.111848727536479,-12.9790545,0.0053719,51.2396698,4.1845789,2.4630494,4.0000000,2.6597242,1.0481907,17.4408321,2.2663743,19.4760799
35,-12,-3.340364171150472,19.111848727536479,-12.9812136,-0.0023140,19.8347111,3.0995834,2.2641640,4.0000000,2.5643733,1.0501120,17.7796803,1.9639549,17.7852383
36,-12,-3.332907531150472,19.111848727536479,-12.9834356,-0.0000826,28.9256191,1.8772266,2.0252435,4.0000000,2.4495687,1.0514810,18.0204544,1.6009185,15.9481993
37,-12,-3.325450891150472,19.111848727536479,-12.9857025,0.0018182,38.0165291,0.5580121,1.7463559,4.0000000,2.3129935,1.0520893,18.1304626,1.1797184,14.1249514
38,-12,-3.317994251150472,19.111848727536479,-12.9879894,0.0038017,47.1074371,-0.7744195,1.4362094,4.0000000,2.1570318,1.0517887,18.0868702,0.7153872,12.5490894
39,-12,-3.310537611150472,19.111848727536479,-12.9902716,-0.0040496,11.5702477,-2.0635829,1.0996884,4.0000000,1.9811354,1.0504613,17.8694057,0.2182414,11.4165688
40,-12,-3.303080971150472,19.111848727536479,-12.9925203,-0.0017355,20.6611576,-3.1889286,0.7570177,4.0000000,1.7891475,1.0480400,17.4544983,-0.2751122,10.8431416
41,-12,-3.295624331150472,19.111848727536479,-12.9947042,0.0004132,29.7520657,-4.0419240,0.4296797,4.0000000,1.5846062,1.0446453,16.8464890,-0.7252469,10.7360926
42,-12,-3.288167691150472,19.111848727536479,-12.9967976,0.0021488,38.8429756,-4.5823479,0.1328249,4.0000000,1.3725401,1.0405051,16.0701942,-1.1068903,10.9048920
43,-12,-3.280711051150472,19.111848727536479,-12.9987783,0.0038017,47.9338837,-4.7991815,-0.1217263,4.0000000,1.1537744,1.0358646,15.1439657,-1.3972268,11.0830994
44,-13,-3.273254411150472,19.111848727536479,-13.0006266,-0.0046281,0.8264463,-4.7520003,-0.3337207,4.0000000,0.9348183,1.0310563,14.1145248,-1.6022596,11.1373072
45,-13,-3.265797771150472,19.111848727536479,-13.0023336,-0.0031405,2.4793389,-4.5139804,-0.5072971,4.0000000,0.7147126,1.0263054,13.0097904,-1.7293068,11.0219059
46,-13,-3.258341131150472,19.111848727536479,-13.0038900,-0.0019008,5.7851238,-4.1632681,-0.6483472,4.0000000,0.4970781,1.0217621,11.8485956,-1.7937725,10.7723284
47,-13,-3.250884491150472,19.111848727536479,-13.0052919,-0.0005785,10.7438021,-3.7228050,-0.7513505,4.0000000,0.2888322,1.0175819,10.6622801,-1.7915331,10.2891932
48,-13,-3.243427851150471,19.111848727536479,-13.0065384,0.0009917,19.0082645,-3.2580273,-0.8242081,4.0000000,0.0909186,1.0138553,9.4732132,-1.7393348,9.6683197
49,-13,-3.124121611150471,19.111848727536479,-13.0112066,-0.0019008,0.0000000,-0.4368874,-0.2772579,4.0000000,-0.9645172,1.0012790,2.8902094,0.4100013,1.1892458
50,-12,-3.407473931150471,19.104392087536478,-12.9663610,0.0028099,37.1900826,4.5298562,2.6261981,3.0000000,2.3700926,1.0360587,15.1387129,2.8823037,21.1604881
51,-12,-3.400017291150472,19.104392087536478,-12.9677944,0.0043802,46.2809906,4.8127265,2.6658719,3.0000000,2.3813117,1.0374850,15.4234800,2.9504318,21.5599556
52,-12,-3.392560651150472,19.104392087536478,-12.9692984,0.0059504,54.5454559,5.2354980,2.7208560,3.0000000,2.4176569,1.0390079,15.7221537,3.0240548,22.0525169
53,-12,-3.385104011150472,19.104392087536478,-12.9708796,-0.0025620,14.0495872,5.6712761,2.7750311,4.0000000,2.4621291,1.0407283,16.0549221,3.0879331,22.5510921
54,-12,-3.377647371150472,19.104392087536478,-12.9725475,-0.0009091,20.6611576,5.9505334,2.8061831,4.0000000,2.4944243,1.0426843,16.4257545,3.1179419,22.8725719
55,-12,-3.370190731150472,19.104392087536478,-12.9743090,0.0008264,29.7520657,5.9387770,2.7971156,4.0000000,2.4973814,1.0448325,16.8262043,3.0968499,22.8542309
56,-12,-3.362734091150472,19.104392087536478,-12.9761677,0.0026446,38.8429756,5.5488906,2.7340035,4.0000000,2.4641888,1.0470725,17.2337227,3.0038183,22.3439865
57,-12,-3.355277451150472,19.104392087536478,-12.9781218,0.0045455,47.9338837,4.8232732,2.6189835,4.0000000,2.3993859,1.0492085,17.6134586,2.8385813,21.3657417
58,-12,-3.347820811150472,19.104392087536478,-12.9801626,-0.0034711,14.8760328,3.8896139,2.4646237,4.0000000,2.3130627,1.0510671,17.9349670,2.6161847,20.0523510
59,-12,-3.340364171150472,19.104392087536478,-12.9822779,-0.0013223,23.9669418,2.8099847,2.2734601,4.0000000,2.2098508,1.0525470,18.1906128,2.3370697,18.4750710
60,-12,-3.332907531150472,19.104392087536478,-12.9844551,0.0008264,33.0578499,1.5806680,2.0399022,4.0000000,2.0857472,1.0534880,18.3543568,1.9940573,16.7193584
61,-12,-3.325450891150472,19.104392087536478,-12.9866753,0.0027273,42.1487617,0.2591144,1.7677323,4.0000000,1.9434305,1.0536972,18.3940144,1.5920340,14.9815063
62,-12,-3.317994251150472,19.104392087536478,-12.9889164,0.0047107,51.2396698,-1.0876997,1.4613575,4.0000000,1.7825079,1.0530220,18.2912712,1.1402071,13.4573021
63,-12,-3.310537611150472,19.104392087536478,-12.9911518,-0.0031405,14.8760328,-2.4048293,1.1237358,4.0000000,1.5999348,1.0513501,18.0196114,0.6475367,12.3402891
64,-12,-3.303080971150472,19.104392087536478,-12.9933529,-0.0009091,23.9669418,-3.5542650,0.7790365,4.0000000,1.4023573,1.0486337,17.5538960,0.1557157,11.7755852
65,-12,-3.295624331150472,19.104392087536478,-12.9954910,0.0010744,33.0578499,-4.4240937,0.4500346,4.0000000,1.1953101,1.0449679,16.9029198,-0.2952408,11.6730471
66,-12,-3.288167691150472,19.104392087536478,-12.9975376,0.0027273,42.1487617,-4.9674234,0.1498860,4.0000000,0.9818530,1.0405868,16.0846767,-0.6820811,11.8131170
67,-12,-3.280711051150472,19.104392087536478,-12.9994698,0.0043802,51.2396698,-5.1849008,-0.1092768,4.0000000,0.7643813,1.0357652,15.1209078,-0.9829350,11.9677982
68,-13,-3.273254411150472,19.104392087536478,-13.0012712,-0.0040496,2.4793389,-5.1278558,-0.3243596,4.0000000,0.5507773,1.0308073,14.0558529,-1.1994965,11.9825850
69,-13,-3.265797771150472,19.104392087536478,-13.0029306,-0.0025620,4.9586778,-4.8823338,-0.5032591,4.0000000,0.3378890,1.0259339,12.9170971,-1.3444072,11.8479462
70,-13,-3.258341131150472,19.104392087536478,-13.0044384,-0.0012397,9.0909090,-4.5117116,-0.6488860,4.0000000,0.1295137,1.0213032,11.7224588,-1.4272857,11.5588350
71,-13,-3.250884491150472,19.104392087536478,-13.0057917,0.0000826,14.8760328,-4.0470953,-0.7555698,4.0000000,-0.0680096,1.0170677,10.5027905,-1.4431299,11.0294733
72,-13,-3.243427851150471,19.104392087536478,-13.0069895,0.0016529,23.9669418,-3.5605383,-0.8292207,4.0000000,-0.2514565,1.0133189,9.2839994,-1.4069850,10.3536005
