OID_,RegI,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.341174411150472,18.880692887536476,-12.9816456,-0.0023967,0.0000000,-0.1530036,-0.3228283,4.0000000,-0.3746030,1.0036683,4.9028759,-0.2710536,0.7340605
2,-12,-2.333717771150472,18.880692887536476,-12.9819927,-0.0018182,0.0000000,-0.1585723,-0.3373515,4.0000000,-0.4620002,1.0034269,4.7365680,-0.2127027,0.7841831
3,-12,-2.326261131150472,18.880692887536476,-12.9822912,-0.0013223,0.0000000,-0.1682899,-0.3209865,4.0000000,-0.5115646,1.0032306,4.5974946,-0.1304085,0.7600270
4,-12,-2.318804491150472,18.880692887536476,-12.9825411,-0.0009091,0.0000000,-0.1817467,-0.2785626,4.0000000,-0.5237580,1.0030929,4.4964318,-0.0333672,0.6839529
5,-12,-2.311347851150472,18.880692887536476,-12.9827471,-0.0005785,0.0000000,-0.1938667,-0.2115387,4.0000000,-0.4932663,1.0030143,4.4373670,0.0701889,0.5750274
6,-12,-2.363544331150472,18.873236247536479,-12.9808474,-0.0037190,0.0000000,-0.0827037,-0.2001934,4.0000000,-0.1196443,1.0045471,5.4658399,-0.2807425,0.3311141
7,-12,-2.356087691150472,18.873236247536479,-12.9813271,-0.0029752,0.0000000,-0.0783857,-0.2688801,4.0000000,-0.2208370,1.0043021,5.3150687,-0.3169232,0.4532630
8,-12,-2.348631051150472,18.873236247536479,-12.9817696,-0.0023140,0.0000000,-0.0768804,-0.3247547,4.0000000,-0.3166362,1.0040368,5.1452165,-0.3328733,0.5849158
9,-12,-2.341174411150472,18.873236247536479,-12.9821701,-0.0017355,0.0000000,-0.0802813,-0.3617132,4.0000000,-0.4015115,1.0037687,4.9695406,-0.3219149,0.6947373
10,-12,-2.333717771150472,18.873236247536479,-12.9825230,-0.0012397,0.0000000,-0.0919084,-0.3707169,4.0000000,-0.4631644,1.0035294,4.8059373,-0.2782694,0.7449350
11,-12,-2.326261131150472,18.873236247536479,-12.9828281,-0.0008264,0.0000000,-0.1116539,-0.3500251,4.0000000,-0.4907294,1.0033443,4.6753669,-0.2093209,0.7242900
12,-12,-2.318804491150472,18.873236247536479,-12.9830866,-0.0004959,0.0000000,-0.1386538,-0.3037381,4.0000000,-0.4858002,1.0032235,4.5891409,-0.1216759,0.6561344
13,-12,-2.311347851150472,18.873236247536479,-12.9833021,-0.0002479,0.0000000,-0.1645171,-0.2359985,4.0000000,-0.4478515,1.0031681,4.5500259,-0.0241454,0.5601094
14,-12,-2.303891211150472,18.873236247536479,-12.9834785,-0.0000826,0.0000000,-0.1803945,-0.1478103,4.0000000,-0.3733670,1.0031724,4.5548182,0.0777465,0.4547445
15,-12,-2.296434571150472,18.873236247536479,-12.9836235,0.0000000,0.0000000,-0.1735703,-0.0406862,4.0000000,-0.2580670,1.0032318,4.5978670,0.1766947,0.3585858
16,-12,-2.288977931150472,18.873236247536479,-12.9837465,0.0000000,0.0000000,-0.1362905,0.0821612,4.0000000,-0.1047108,1.0033324,4.6694140,0.2690332,0.3031814
17,-12,-2.281521291150472,18.873236247536479,-12.9838572,0.0000000,0.0000000,-0.0562287,0.2228623,4.0000000,0.0924458,1.0034634,4.7607408,0.3532788,0.3146472
18,-12,-2.274064651150473,18.873236247536479,-12.9839668,0.0000000,0.0000000,0.0767720,0.3818276,4.0000000,0.3403187,1.0036218,4.8682857,0.4233365,0.4354241
19,-12,-2.378457611150472,18.865779607536478,-12.9803085,-0.0045455,0.0000000,-0.0337816,-0.0925829,4.0000000,-0.0119786,1.0050124,5.7419906,-0.1731872,0.1036147
20,-12,-2.371000971150472,18.865779607536478,-12.9808483,-0.0037190,0.0000000,-0.0298776,-0.1798875,5.0000000,-0.1135521,1.0048468,5.6433620,-0.2462229,0.1924366
21,-12,-2.363544331150472,18.865779607536478,-12.9813623,-0.0029752,0.0000000,-0.0209000,-0.2532057,4.0000000,-0.2010447,1.0046203,5.5078592,-0.3053666,0.3033325
22,-12,-2.356087691150472,18.865779607536478,-12.9818459,-0.0023140,0.0000000,-0.0116111,-0.3139730,4.0000000,-0.2792047,1.0043620,5.3497686,-0.3487413,0.4245131
23,-12,-2.348631051150472,18.865779607536478,-12.9822931,-0.0017355,0.0000000,-0.0082023,-0.3616835,4.0000000,-0.3484034,1.0040907,5.1777401,-0.3749636,0.5484126
24,-12,-2.341174411150472,18.865779607536478,-12.9826984,-0.0012397,0.0000000,-0.0140360,-0.3921623,4.0000000,-0.4074654,1.0038249,5.0036135,-0.3768592,0.6533315
25,-12,-2.333717771150472,18.865779607536478,-12.9830580,-0.0008264,0.0000000,-0.0327620,-0.3951538,4.0000000,-0.4425330,1.0035962,4.8483911,-0.3477745,0.7006292
26,-12,-2.326261131150472,18.865779607536478,-12.9833717,-0.0004959,0.0000000,-0.0622681,-0.3713412,4.0000000,-0.4505680,1.0034254,4.7299480,-0.2921144,0.6862233
27,-12,-2.318804491150472,18.865779607536478,-12.9836397,-0.0002479,0.0000000,-0.1003866,-0.3236229,4.0000000,-0.4312291,1.0033238,4.6587749,-0.2160167,0.6288977
28,-12,-2.311347851150472,18.865779607536478,-12.9838667,-0.0000826,0.0000000,-0.1384135,-0.2578487,4.0000000,-0.3868982,1.0032947,4.6396236,-0.1287993,0.5508327
29,-12,-2.303891211150472,18.865779607536478,-12.9840565,0.0000000,0.0000000,-0.1671947,-0.1733249,4.0000000,-0.3135728,1.0033340,4.6672473,-0.0330770,0.4612916
30,-12,-2.296434571150472,18.865779607536478,-12.9842167,0.0000000,0.0000000,-0.1759972,-0.0718138,4.0000000,-0.2070920,1.0034326,4.7367148,0.0634643,0.3780282
31,-12,-2.288977931150472,18.865779607536478,-12.9843550,0.0000000,0.0000000,-0.1545414,0.0454017,4.0000000,-0.0650811,1.0035747,4.8361225,0.1558846,0.3217430
32,-12,-2.281521291150472,18.865779607536478,-12.9844809,0.0000000,0.0000000,-0.0938324,0.1782448,4.0000000,0.1183052,1.0037515,4.9567771,0.2381843,0.3191793
33,-12,-2.274064651150473,18.865779607536478,-12.9846058,0.0000000,0.0000000,0.0173336,0.3312478,4.0000000,0.3540707,1.0039618,5.0935154,0.3084249,0.4109319
34,-12,-2.266608011150473,18.865779607536478,-12.9847431,0.0000826,0.8264463,0.1773949,0.4982842,4.0000000,0.6283410,1.0042092,5.2474356,0.3682274,0.6514066
