OID_,RegJ,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.825856011150472,19.999188887536480,-12.9417295,-0.0029752,18.1818180,0.0653856,0.2972272,4.0000000,0.1484294,1.0508250,17.9050159,0.4460250,0.2513750
2,-12,-2.818399371150472,19.999188887536480,-12.9416323,-0.0031405,18.1818180,0.0315260,0.2414401,4.0000000,0.0778515,1.0508707,17.9129467,0.4050287,0.1893696
3,-12,-2.878052491150472,19.991732247536479,-12.9452486,0.0003306,32.2314034,0.1273789,0.4322588,4.0000000,0.3270569,1.0501666,17.7963791,0.5374607,0.5799620
4,-12,-2.870595851150472,19.991732247536479,-12.9450264,0.0000826,31.4049587,0.1350556,0.4199198,4.0000000,0.3380219,1.0506015,17.8715725,0.5018176,0.5159975
5,-12,-2.863139211150472,19.991732247536479,-12.9448290,-0.0000826,30.5785122,0.1341267,0.4017160,4.0000000,0.3377400,1.0509549,17.9301491,0.4656920,0.4498716
6,-12,-2.855682571150472,19.991732247536479,-12.9446545,-0.0002479,29.7520657,0.1228817,0.3745565,4.0000000,0.3184589,1.0512350,17.9762135,0.4306539,0.3767740
7,-12,-2.848225931150472,19.991732247536479,-12.9445028,-0.0004132,28.9256191,0.1038632,0.3390528,4.0000000,0.2819907,1.0514460,18.0113430,0.3961149,0.3001564
8,-12,-2.840769291150472,19.991732247536479,-12.9443703,-0.0005785,28.0991745,0.0823397,0.2998714,4.0000000,0.2369901,1.0515982,18.0365887,0.3627526,0.2304123
9,-12,-2.833312651150472,19.991732247536479,-12.9442530,-0.0007438,27.2727280,0.0591526,0.2556131,4.0000000,0.1832719,1.0516932,18.0526867,0.3279542,0.1667813
10,-12,-2.825856011150472,19.991732247536479,-12.9441481,-0.0008264,27.2727280,0.0356266,0.2074008,4.0000000,0.1214449,1.0517284,18.0582180,0.2933566,0.1151769
11,-12,-2.818399371150472,19.991732247536479,-12.9440517,-0.0009091,27.2727280,0.0115539,0.1534921,4.0000000,0.0488742,1.0516940,18.0517521,0.2581100,0.0795279
12,-12,-2.810942731150472,19.991732247536479,-12.9439583,-0.0009091,27.2727280,-0.0114890,0.0957841,4.0000000,-0.0312317,1.0515792,18.0321178,0.2227998,0.0673034
13,-12,-2.803486091150472,19.991732247536479,-12.9438629,-0.0009091,27.2727280,-0.0325442,0.0342282,4.0000000,-0.1186501,1.0513908,18.0013504,0.1871064,0.0830176
14,-12,-2.796029451150472,19.991732247536479,-12.9437590,-0.0009091,27.2727280,-0.0506712,-0.0264491,4.0000000,-0.2064785,1.0511407,17.9583397,0.1535803,0.1299011
15,-12,-2.788572811150472,19.991732247536479,-12.9436407,-0.0009917,26.4462814,-0.0640364,-0.0767740,4.0000000,-0.2757316,1.0508326,17.9052658,0.1221835,0.1929223
16,-12,-2.892965771150472,19.984275607536482,-12.9481258,0.0031405,42.9752083,0.0318901,0.3411333,4.0000000,0.2730682,1.0499799,17.7652969,0.4091983,0.4787680
17,-12,-2.885509131150472,19.984275607536482,-12.9478741,0.0028099,42.1487617,0.0437273,0.3271629,4.0000000,0.2835984,1.0505624,17.8640366,0.3707274,0.4095632
18,-12,-2.878052491150472,19.984275607536482,-12.9476433,0.0024793,41.3223152,0.0540479,0.3154920,4.0000000,0.2957427,1.0510545,17.9482384,0.3352412,0.3522785
19,-12,-2.870595851150472,19.984275607536482,-12.9474335,0.0021488,40.4958687,0.0610028,0.3031185,4.0000000,0.3045999,1.0514585,18.0164871,0.3016370,0.3015644
20,-12,-2.863139211150472,19.984275607536482,-12.9472456,0.0019008,39.6694221,0.0637037,0.2892700,4.0000000,0.3073212,1.0517728,18.0681973,0.2712187,0.2574185
21,-12,-2.855682571150472,19.984275607536482,-12.9470797,0.0016529,38.8429756,0.0590641,0.2658048,4.0000000,0.2905537,1.0520053,18.1063480,0.2410560,0.2057125
22,-12,-2.848225931150472,19.984275607536482,-12.9469328,0.0014050,38.0165291,0.0494020,0.2347014,4.0000000,0.2566650,1.0521610,18.1316280,0.2127378,0.1522838
23,-12,-2.840769291150472,19.984275607536482,-12.9468040,0.0012397,37.1900826,0.0370608,0.1972820,4.0000000,0.2111351,1.0522500,18.1479530,0.1834288,0.1018961
24,-12,-2.833312651150472,19.984275607536482,-12.9466887,0.0010744,36.3636360,0.0242223,0.1559244,4.0000000,0.1573380,1.0522848,18.1520729,0.1545109,0.0602830
25,-12,-2.825856011150472,19.984275607536482,-12.9465847,0.0009917,36.3636360,0.0109759,0.1083967,4.0000000,0.0930288,1.0522543,18.1467800,0.1237647,0.0300360
26,-12,-2.818399371150472,19.984275607536482,-12.9464865,0.0009091,36.3636360,-0.0014952,0.0566644,4.0000000,0.0202635,1.0521441,18.1286335,0.0930654,0.0184365
27,-12,-2.810942731150472,19.984275607536482,-12.9463892,0.0009091,36.3636360,-0.0121673,0.0010645,4.0000000,-0.0591874,1.0519581,18.0977306,0.0613164,0.0298297
28,-12,-2.803486091150472,19.984275607536482,-12.9462881,0.0009091,36.3636360,-0.0202584,-0.0570862,4.0000000,-0.1445287,1.0517037,18.0536842,0.0303563,0.0681439
29,-12,-2.796029451150472,19.984275607536482,-12.9461765,0.0009091,36.3636360,-0.0251612,-0.1157089,4.0000000,-0.2316070,1.0513885,18.0008583,0.0001892,0.1338928
30,-12,-2.788572811150472,19.984275607536482,-12.9460497,0.0008264,35.5371895,-0.0279176,-0.1640029,4.0000000,-0.3001231,1.0510228,17.9395695,-0.0278827,0.2109115
31,-12,-2.781116171150472,19.984275607536482,-12.9459000,0.0007438,34.7107430,-0.0308272,-0.1939537,4.0000000,-0.3334724,1.0506121,17.8697720,-0.0544350,0.2722659
32,-12,-2.773659531150472,19.984275607536482,-12.9457264,0.0005785,33.8842964,-0.0377790,-0.1992223,4.0000000,-0.3221717,1.0501519,17.7917404,-0.0762729,0.2974038
33,-12,-2.915335691150472,19.976818967536481,-12.9513321,-0.0030579,16.5289249,-0.0696014,0.2783302,4.0000000,0.2072248,1.0483875,17.4905663,0.3494357,0.5345111
34,-12,-2.907879051150472,19.976818967536481,-12.9510384,-0.0033884,15.7024794,-0.0500283,0.2601573,4.0000000,0.2218377,1.0491742,17.6266117,0.2984769,0.4455459
35,-12,-2.900422411150472,19.976818967536481,-12.9507637,-0.0037190,14.8760328,-0.0349667,0.2430587,4.0000000,0.2345932,1.0498729,17.7461319,0.2515242,0.3718925
36,-12,-2.892965771150472,19.976818967536481,-12.9505091,-0.0041322,14.0495872,-0.0231290,0.2263569,4.0000000,0.2449811,1.0504876,17.8514938,0.2077328,0.3086641
37,-12,-2.885509131150472,19.976818967536481,-12.9502726,-0.0044628,13.2231407,-0.0143596,0.2104989,4.0000000,0.2534382,1.0510209,17.9428768,0.1675595,0.2563846
38,-12,-2.878052491150472,19.976818967536481,-12.9500551,-0.0047934,12.3966942,-0.0063759,0.1978160,4.0000000,0.2644201,1.0514752,18.0193748,0.1312119,0.2140287
39,-12,-2.870595851150472,19.976818967536481,-12.9498568,0.0048760,49.5867767,-0.0010172,0.1853049,4.0000000,0.2730347,1.0518440,18.0795879,0.0975751,0.1792846
40,-12,-2.863139211150472,19.976818967536481,-12.9496775,0.0046281,48.7603302,0.0016229,0.1715132,4.0000000,0.2758486,1.0521163,18.1265545,0.0671778,0.1497203
41,-12,-2.855682571150472,19.976818967536481,-12.9495173,0.0043802,47.9338837,0.0015809,0.1500948,4.0000000,0.2611876,1.0523031,18.1580105,0.0390020,0.1154845
42,-12,-2.848225931150472,19.976818967536481,-12.9493752,0.0041322,47.1074371,-0.0004565,0.1214670,4.0000000,0.2299221,1.0524211,18.1768913,0.0130118,0.0805217
43,-12,-2.840769291150472,19.976818967536481,-12.9492483,0.0039669,46.2809906,-0.0031812,0.0856894,4.0000000,0.1851445,1.0524703,18.1838055,-0.0137658,0.0483765
44,-12,-2.833312651150472,19.976818967536481,-12.9491339,0.0038017,45.4545441,-0.0051976,0.0457884,4.0000000,0.1308454,1.0524490,18.1808395,-0.0392686,0.0251334
45,-12,-2.825856011150472,19.976818967536481,-12.9490290,0.0037190,45.4545441,-0.0059221,-0.0006549,4.0000000,0.0640688,1.0523528,18.1652279,-0.0653786,0.0145662
46,-12,-2.818399371150472,19.976818967536481,-12.9489269,0.0035537,45.4545441,-0.0051300,-0.0502823,4.0000000,-0.0089476,1.0521814,18.1363106,-0.0916170,0.0239929
47,-12,-2.810942731150472,19.976818967536481,-12.9488249,0.0034711,45.4545441,-0.0018767,-0.1038327,4.0000000,-0.0881000,1.0519347,18.0950489,-0.1195654,0.0567487
48,-12,-2.803486091150472,19.976818967536481,-12.9487162,0.0033884,45.4545441,0.0040036,-0.1582798,4.0000000,-0.1696503,1.0516205,18.0419121,-0.1469093,0.1140091
49,-12,-2.796029451150472,19.976818967536481,-12.9485960,0.0033058,45.4545441,0.0135590,-0.2136835,4.0000000,-0.2529771,1.0512522,17.9788475,-0.1743899,0.1946988
50,-12,-2.788572811150472,19.976818967536481,-12.9484577,0.0031405,44.6280975,0.0233804,-0.2607458,4.0000000,-0.3199899,1.0508401,17.9090157,-0.2015016,0.2830455
51,-12,-2.781116171150472,19.976818967536481,-12.9482965,0.0029752,43.8016510,0.0281644,-0.2896578,4.0000000,-0.3524280,1.0503950,17.8336258,-0.2268876,0.3498537
52,-12,-2.773659531150472,19.976818967536481,-12.9481096,0.0027273,42.9752083,0.0231007,-0.2956134,4.0000000,-0.3426259,1.0499127,17.7517853,-0.2486009,0.3763535
53,-12,-2.766202891150472,19.976818967536481,-12.9478970,0.0024793,42.1487617,0.0075787,-0.2810408,4.0000000,-0.2960338,1.0493860,17.6627979,-0.2660477,0.3677396
54,-12,-2.758746251150472,19.976818967536481,-12.9476614,0.0022314,41.3223152,-0.0132172,-0.2552064,4.0000000,-0.2310128,1.0488142,17.5632496,-0.2794001,0.3451974
55,-12,-2.930248971150472,19.969362327536480,-12.9542627,-0.0003306,28.9256191,-0.1494770,0.2155567,4.0000000,0.1553333,1.0469269,17.2328129,0.2757800,0.5773575
56,-12,-2.922792331150472,19.969362327536480,-12.9539566,-0.0005785,27.2727280,-0.1227370,0.1899904,4.0000000,0.1642300,1.0478312,17.3937778,0.2157507,0.4683053
57,-12,-2.915335691150472,19.969362327536480,-12.9536676,-0.0008264,25.6198349,-0.1001086,0.1684321,4.0000000,0.1783060,1.0486416,17.5357533,0.1585583,0.3805439
58,-12,-2.907879051150472,19.969362327536480,-12.9533949,-0.0010744,24.7933884,-0.0834345,0.1504654,4.0000000,0.1961115,1.0493641,17.6584949,0.1048193,0.3157502
59,-12,-2.900422411150472,19.969362327536480,-12.9531393,-0.0013223,23.9669418,-0.0723180,0.1322405,4.0000000,0.2103271,1.0499945,17.7670650,0.0541539,0.2661047
60,-12,-2.892965771150472,19.969362327536480,-12.9528999,-0.0016529,23.1404953,-0.0641348,0.1136116,4.0000000,0.2194230,1.0505469,17.8615875,0.0078002,0.2252890
61,-12,-2.885509131150472,19.969362327536480,-12.9526777,-0.0019008,22.3140488,-0.0578968,0.0951874,4.0000000,0.2252714,1.0510250,17.9427299,-0.0348966,0.1919462
