OID_,RegL,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.475393931150472,20.163234967536479,-12.8912821,-0.0040496,1.6528926,-0.0928623,0.0889939,4.0000000,-0.0887162,1.0201507,11.4036741,0.2667040,0.2327890
2,-12,-2.527590411150472,20.155778327536478,-12.8947439,-0.0002479,19.8347111,-0.0417711,0.1631099,4.0000000,0.1983718,1.0228412,12.1288767,0.1278479,0.2091133
3,-12,-2.520133771150472,20.155778327536478,-12.8944626,-0.0004959,18.1818180,-0.0383335,0.1573316,4.0000000,0.1642905,1.0224057,12.0142784,0.1503728,0.1922190
4,-12,-2.512677131150472,20.155778327536478,-12.8941860,-0.0008264,16.5289249,-0.0398992,0.1460673,4.0000000,0.1159563,1.0220160,11.9105301,0.1761784,0.1793723
5,-12,-2.505220491150472,20.155778327536478,-12.8939123,-0.0011570,14.8760328,-0.0463679,0.1311384,4.0000000,0.0571069,1.0216770,11.8179350,0.2051699,0.1742097
6,-12,-2.497763851150472,20.155778327536478,-12.8936367,-0.0015702,12.3966942,-0.0607327,0.1127119,4.0000000,-0.0091513,1.0213835,11.7395229,0.2345752,0.1850075
7,-12,-2.490307211150472,20.155778327536478,-12.8933563,-0.0019008,10.7438021,-0.0755292,0.1008743,4.0000000,-0.0604908,1.0211383,11.6743174,0.2622395,0.2055927
8,-12,-2.482850571150472,20.155778327536478,-12.8930664,-0.0022314,9.0909090,-0.0850841,0.1021097,4.0000000,-0.0845247,1.0209320,11.6190071,0.2887441,0.2268218
9,-12,-2.475393931150472,20.155778327536478,-12.8927679,-0.0025620,7.4380164,-0.0889636,0.1143899,4.0000000,-0.0862068,1.0207490,11.5662251,0.3149866,0.2459688
10,-12,-2.467937291150472,20.155778327536478,-12.8924589,-0.0028926,5.7851238,-0.0919659,0.1277826,4.0000000,-0.0834922,1.0205755,11.5188961,0.3390574,0.2657202
11,-12,-2.460480651150472,20.155778327536478,-12.8921394,-0.0032231,4.1322312,-0.0942941,0.1404073,4.0000000,-0.0782158,1.0204023,11.4726458,0.3590304,0.2846762
12,-12,-2.453024011150472,20.155778327536478,-12.8918114,-0.0034711,3.3057852,-0.0957900,0.1541814,4.0000000,-0.0701305,1.0202392,11.4268885,0.3784932,0.3046950
13,-12,-2.542503691150472,20.148321687536480,-12.8969402,0.0023140,33.0578499,-0.0470642,0.1563531,4.0000000,0.2388746,1.0242034,12.4798346,0.0738316,0.2139713
14,-12,-2.535047051150472,20.148321687536480,-12.8966293,0.0019008,30.5785122,-0.0372107,0.1672248,4.0000000,0.2330041,1.0237108,12.3541183,0.1014456,0.2069218
15,-12,-2.527590411150472,20.148321687536480,-12.8963270,0.0015702,28.9256191,-0.0275200,0.1727036,4.0000000,0.2115959,1.0232579,12.2368307,0.1338112,0.1925602
16,-12,-2.520133771150472,20.148321687536480,-12.8960314,0.0013223,27.2727280,-0.0214260,0.1731730,4.0000000,0.1774813,1.0228515,12.1300554,0.1688648,0.1784112
17,-12,-2.512677131150472,20.148321687536480,-12.8957424,0.0009917,25.6198349,-0.0211754,0.1686317,4.0000000,0.1299267,1.0224938,12.0345306,0.2073368,0.1694047
18,-12,-2.505220491150472,20.148321687536480,-12.8954563,0.0006612,23.9669418,-0.0293503,0.1581028,4.0000000,0.0689857,1.0221884,11.9550200,0.2472198,0.1706041
19,-12,-2.497763851150472,20.148321687536480,-12.8951702,0.0002479,21.4876041,-0.0481491,0.1410371,4.0000000,-0.0023066,1.0219382,11.8887472,0.2843807,0.1880558
20,-12,-2.490307211150472,20.148321687536480,-12.8948803,-0.0000826,19.8347111,-0.0679453,0.1305334,4.0000000,-0.0578893,1.0217439,11.8356628,0.3189560,0.2178581
21,-12,-2.482850571150472,20.148321687536480,-12.8945818,-0.0004132,18.1818180,-0.0816279,0.1337595,4.0000000,-0.0843523,1.0215808,11.7916040,0.3518714,0.2504420
22,-12,-2.475393931150472,20.148321687536480,-12.8942747,-0.0007438,16.5289249,-0.0878840,0.1472848,4.0000000,-0.0882929,1.0214291,11.7535009,0.3828625,0.2795090
23,-12,-2.467937291150472,20.148321687536480,-12.8939581,-0.0010744,14.8760328,-0.0938749,0.1609754,4.0000000,-0.0886678,1.0212965,11.7174053,0.4106185,0.3098150
24,-12,-2.460480651150472,20.148321687536480,-12.8936310,-0.0014876,12.3966942,-0.0977588,0.1764659,4.0000000,-0.0832821,1.0211740,11.6813278,0.4362139,0.3398681
25,-12,-2.453024011150472,20.148321687536480,-12.8932953,-0.0018182,10.7438021,-0.1015425,0.1916950,4.0000000,-0.0766832,1.0210462,11.6480465,0.4600733,0.3713526
26,-12,-2.445567371150472,20.148321687536480,-12.8929501,-0.0022314,9.0909090,-0.1058682,0.2047416,4.0000000,-0.0687622,1.0209181,11.6145964,0.4782454,0.4022933
27,-12,-2.438110731150472,20.148321687536480,-12.8925953,-0.0026446,7.4380164,-0.1090585,0.2177206,4.0000000,-0.0572717,1.0207872,11.5769939,0.4927128,0.4321983
28,-12,-2.430654091150472,20.148321687536480,-12.8922319,-0.0029752,5.7851238,-0.1091616,0.2331969,4.0000000,-0.0384803,1.0206403,11.5365534,0.5048741,0.4619254
29,-12,-2.423197451150472,20.148321687536480,-12.8918591,-0.0033884,4.1322312,-0.0986164,0.2553707,4.0000000,-0.0061116,1.0204722,11.4905558,0.5168530,0.4852377
30,-12,-2.415740811150472,20.148321687536480,-12.8914795,-0.0037190,3.3057852,-0.0760865,0.2852111,4.0000000,0.0401175,1.0202821,11.4383116,0.5303047,0.5055425
31,-12,-2.408284171150472,20.148321687536480,-12.8910942,-0.0040496,2.4793389,-0.0491642,0.3167597,4.0000000,0.0870478,1.0200685,11.3776112,0.5464717,0.5287113
32,-12,-2.549960331150472,20.140865047536479,-12.8989010,0.0042149,43.8016510,-0.0487157,0.1316494,4.0000000,0.2287147,1.0250435,12.6911297,0.0345841,0.1869655
33,-12,-2.542503691150472,20.140865047536479,-12.8985653,0.0039669,42.1487617,-0.0336551,0.1584175,4.0000000,0.2462205,1.0245630,12.5701303,0.0706145,0.1878457
34,-12,-2.535047051150472,20.140865047536479,-12.8982391,0.0036364,39.6694221,-0.0192054,0.1775753,4.0000000,0.2435729,1.0241034,12.4532194,0.1115777,0.1835291
35,-12,-2.527590411150472,20.140865047536479,-12.8979225,0.0033884,38.0165291,-0.0068529,0.1899673,4.0000000,0.2234035,1.0236889,12.3462858,0.1565310,0.1749591
36,-12,-2.520133771150472,20.140865047536479,-12.8976145,0.0031405,36.3636360,0.0008196,0.1969002,4.0000000,0.1897912,1.0233239,12.2518682,0.2040092,0.1680595
