OID_,DEM_Large_S3_Clip15,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.049555211150472,20.670286487536480,-12.8598652,0.0048760,48.7603302,-0.1675100,0.2002986,4.0000000,-0.1618695,1.0183592,10.9076567,0.5624667,0.5218450
2,-12,-3.064468491150472,20.662829847536479,-12.8619890,-0.0033058,3.3057852,-0.1634100,0.2925764,4.0000000,-0.1735600,1.0191957,11.1485882,0.7587129,0.7002532
3,-12,-3.057011851150472,20.662829847536479,-12.8616390,-0.0037190,2.4793389,-0.2025559,0.1921211,4.0000000,-0.2122892,1.0192796,11.1724062,0.5965313,0.5841941
4,-12,-3.049555211150472,20.662829847536479,-12.8612700,-0.0040496,1.6528926,-0.2325335,0.1107653,4.0000000,-0.2193674,1.0192486,11.1640320,0.4408981,0.5491298
5,-12,-3.086838411150472,20.655373207536481,-12.8644171,-0.0001653,16.5289249,-0.0079722,0.5292066,4.0000000,-0.0072571,1.0197808,11.3167667,1.0656703,1.1817111
6,-12,-3.079381771150472,20.655373207536481,-12.8640985,-0.0007438,14.0495872,-0.0874902,0.4094117,4.0000000,-0.0879616,1.0200311,11.3869257,0.9067849,0.8810632
7,-12,-3.071925131150472,20.655373207536481,-12.8637753,-0.0013223,11.5702477,-0.1509840,0.2955817,4.0000000,-0.1613412,1.0201962,11.4320908,0.7525046,0.6828600
8,-12,-3.064468491150472,20.655373207536481,-12.8634396,-0.0017355,9.9173555,-0.2058852,0.1890606,4.0000000,-0.2254391,1.0202630,11.4503450,0.6035604,0.5878995
9,-12,-3.057011851150472,20.655373207536481,-12.8630857,-0.0022314,8.2644625,-0.2498106,0.0964605,4.0000000,-0.2656107,1.0202343,11.4421196,0.4585316,0.5758908
10,-12,-3.049555211150472,20.655373207536481,-12.8627071,-0.0026446,6.6115704,-0.2838354,0.0237525,4.0000000,-0.2701429,1.0201095,11.4067259,0.3176479,0.6162138
11,-12,-3.042098571150472,20.655373207536481,-12.8623009,-0.0031405,4.9586778,-0.3113394,-0.0248766,4.0000000,-0.2322434,1.0198885,11.3433418,0.1824901,0.6774374
12,-12,-3.101751691150472,20.647916567536480,-12.8665257,0.0022314,28.9256191,0.1794805,0.6462190,4.0000000,0.1589093,1.0207214,11.5781546,1.1335287,1.3687918
13,-12,-3.094295051150472,20.647916567536480,-12.8662119,0.0019008,27.2727280,0.0579089,0.5228723,4.0000000,0.0594617,1.0209472,11.6408644,0.9862829,1.0196465
14,-12,-3.086838411150472,20.647916567536480,-12.8659019,0.0014876,25.6198349,-0.0409513,0.4022634,4.0000000,-0.0387930,1.0211170,11.6869650,0.8433199,0.7612379
15,-12,-3.079381771150472,20.647916567536480,-12.8655901,0.0009917,23.1404953,-0.1173722,0.2877936,4.0000000,-0.1285552,1.0212200,11.7150459,0.7041423,0.5943074
16,-12,-3.071925131150472,20.647916567536480,-12.8652678,0.0004959,20.6611576,-0.1777662,0.1815037,4.0000000,-0.2064573,1.0212492,11.7225456,0.5694647,0.5176064
17,-12,-3.064468491150472,20.647916567536480,-12.8649282,0.0000000,18.1818180,-0.2311828,0.0821815,4.0000000,-0.2739710,1.0212018,11.7088585,0.4383339,0.5272242
