OID_,RegN,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.525969931150471,20.133408407536479,-13.2529888,-0.0019835,0.0000000,0.0412867,-0.5055200,4.0000000,-0.4299812,1.0064583,6.5100307,-0.5810588,0.9622759
2,-13,-4.518513291150471,20.133408407536479,-13.2538137,-0.0010744,0.0000000,0.2036313,-0.6548398,4.0000000,-0.3800462,1.0057527,6.1454911,-0.9296334,1.3300802
3,-13,-4.511056651150471,20.133408407536479,-13.2545843,-0.0003306,0.0000000,0.3389219,-0.8047166,4.0000000,-0.3371273,1.0048672,5.6523104,-1.2723058,1.9352047
4,-13,-4.503600011150471,20.133408407536479,-13.2552814,0.0000000,0.0000000,0.4341364,-0.9529811,4.0000000,-0.2989157,1.0038433,5.0231838,-1.6070465,2.7878928
5,-13,-4.496143371150471,20.133408407536479,-13.2558870,0.0000000,0.0000000,0.4801371,-1.0900614,4.0000000,-0.2627139,1.0027707,4.2559104,-1.9174088,3.8146977
6,-13,-4.488686731150471,20.133408407536479,-13.2563848,0.0000000,0.0000000,0.4630991,-1.1981834,4.0000000,-0.2219559,1.0017508,3.3650014,-2.1744111,4.8335047
7,-13,-4.481230091150471,20.133408407536479,-13.2567587,0.0000000,0.0000000,0.3811162,-1.2621213,4.0000000,-0.1820276,1.0008975,2.3761420,-2.3422151,5.6194978
8,-13,-4.473773451150471,20.133408407536479,-13.2569981,0.0000000,0.0000000,0.2347857,-1.2673793,4.0000000,-0.1897892,1.0003155,1.3348212,-2.3449693,5.9589305
9,-13,-4.466316811150471,20.133408407536479,-13.2570992,0.0000000,0.0000000,0.0203188,-1.2025497,7.0000000,-1.3318427,1.0000600,0.3514566,-1.0732566,5.7443209
10,-13,-4.458860171150471,20.133408407536479,-13.2570639,0.0000000,0.0000000,-0.2515625,-1.0753276,4.0000000,0.0440426,1.0001261,0.7986011,-2.1946979,5.1295009
11,-13,-4.548339851150471,20.125951767536481,-13.2505217,-0.0045455,0.0000000,-0.4526545,-0.1202089,4.0000000,-0.6679137,1.0065840,6.5648160,0.4274959,0.9924023
12,-13,-4.540883211150471,20.125951767536481,-13.2513723,-0.0036364,0.0000000,-0.2983860,-0.2344897,4.0000000,-0.6073911,1.0066236,6.5887966,0.1384117,0.8434469
13,-13,-4.533426571150471,20.125951767536481,-13.2522230,-0.0027273,0.0000000,-0.1158536,-0.3652811,4.0000000,-0.5447052,1.0064583,6.5079732,-0.1858569,0.7889864
