OID_,DEM_Large_S3_Clip20,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.421576971150471,20.536066967536478,-13.1903629,-0.0066116,38.0165291,2.4260969,-1.6000699,4.0000000,-1.2406647,1.5412731,49.5735207,-1.9594750,29.8862152
2,-13,-4.414120331150471,20.536066967536478,-13.1925230,-0.0045455,39.6694221,2.7833502,-1.7125190,4.0000000,-1.3260735,1.5328374,49.2990570,-2.0989647,33.2273865
3,-13,-4.406663691150471,20.536066967536478,-13.1944180,-0.0027273,41.3223152,3.0610983,-1.8014871,4.0000000,-1.3780471,1.5244753,49.0233421,-2.2249269,35.4488564
4,-13,-4.399207051150471,20.536066967536478,-13.1960440,-0.0010744,43.8016510,3.2590244,-1.8685222,4.0000000,-1.4013451,1.5165545,48.7584686,-2.3356993,36.6273308
5,-13,-4.391750411150471,20.536066967536478,-13.1974020,0.0003306,45.4545441,3.3768759,-1.9140197,4.0000000,-1.3997523,1.5093975,48.5167046,-2.4282870,36.8624458
6,-13,-4.384293771150471,20.536066967536478,-13.1984959,0.0014050,47.1074371,3.4129951,-1.9378074,4.0000000,-1.3747886,1.5032423,48.3058701,-2.5008264,36.2167015
7,-13,-4.376837131150471,20.536066967536478,-13.1993322,0.0023140,48.7603302,3.3560240,-1.9383234,4.0000000,-1.3228482,1.4982729,48.1337509,-2.5537984,34.6695023
8,-13,-4.369380491150471,20.536066967536478,-13.1999216,0.0029752,48.7603302,3.2129960,-1.9168998,4.0000000,-1.2483420,1.4946035,48.0057335,-2.5854576,32.4518661
9,-13,-4.361923851150471,20.536066967536478,-13.2002802,-0.0065289,36.3636360,3.0034611,-1.8780245,4.0000000,-1.1582177,1.4922910,47.9259987,-2.5978312,29.9011307
10,-13,-4.354467211150471,20.536066967536478,-13.2004232,-0.0062810,36.3636360,2.7398691,-1.8247682,5.0000000,-1.0568053,1.4913530,47.8930626,-2.5927312,27.2427769
11,-13,-4.347010571150471,20.536066967536478,-13.2003717,-0.0062810,36.3636360,2.4517462,-1.7639189,4.0000000,-0.9539565,1.4917178,47.9055252,-2.5738814,24.8065796
12,-13,-4.339553931150471,20.536066967536478,-13.2001448,-0.0064463,36.3636360,2.1736875,-1.7029551,4.0000000,-0.8621601,1.4932574,47.9597855,-2.5437500,22.8656540
13,-13,-4.332097291150471,20.536066967536478,-13.1997604,0.0032231,48.7603302,1.9270339,-1.6474369,4.0000000,-0.7884520,1.4959198,48.0522881,-2.5064218,21.5201988
14,-13,-4.324640651150471,20.536066967536478,-13.1992340,0.0026446,48.7603302,1.7213578,-1.6000490,4.0000000,-0.7356606,1.4996643,48.1811066,-2.4644372,20.7462215
15,-13,-4.481230091150471,20.528610327536480,-13.1738920,-0.0015702,42.1487617,-0.5547398,-0.5022608,4.0000000,0.2167849,1.5518388,49.9351501,-1.2213066,7.6402369
16,-13,-4.473773451150471,20.528610327536480,-13.1774912,0.0016529,46.2809906,-0.1488193,-0.6724410,4.0000000,-0.0536986,1.5581689,50.1295624,-1.2911834,6.6819229
17,-13,-4.466316811150471,20.528610327536480,-13.1810179,-0.0050413,38.0165291,0.2709920,-0.8421581,4.0000000,-0.3046537,1.5607660,50.2064438,-1.3796624,7.7769880
18,-13,-4.458860171150471,20.528610327536480,-13.1844339,-0.0019835,42.1487617,0.7135628,-1.0158846,4.0000000,-0.5412991,1.5598946,50.1757126,-1.4904702,10.7709751
19,-13,-4.451403531150471,20.528610327536480,-13.1877031,0.0010744,46.2809906,1.1820284,-1.1906732,4.0000000,-0.7595170,1.5559686,50.0502129,-1.6218295,15.1949654
20,-13,-4.443946891150471,20.528610327536480,-13.1907921,-0.0061157,38.8429756,1.6687117,-1.3616567,4.0000000,-0.9551928,1.5496138,49.8473282,-1.7681205,20.4439468
21,-13,-4.436490251150471,20.528610327536480,-13.1936731,-0.0033058,42.1487617,2.1590927,-1.5240092,4.0000000,-1.1248276,1.5414476,49.5844269,-1.9231907,25.8842030
22,-13,-4.429033611150471,20.528610327536480,-13.1963215,-0.0007438,44.6280975,2.6347117,-1.6734899,4.0000000,-1.2663107,1.5320777,49.2790413,-2.0806694,30.9742470
23,-13,-4.421576971150471,20.528610327536480,-13.1987181,0.0015702,47.1074371,3.0562003,-1.8023448,4.0000000,-1.3702384,1.5221722,48.9510727,-2.2344511,35.0453644
24,-13,-4.414120331150471,20.528610327536480,-13.2008514,-0.0063636,38.0165291,3.4036255,-1.9081072,4.0000000,-1.4388480,1.5123049,48.6190834,-2.3773663,37.9188805
25,-13,-4.406663691150471,20.528610327536480,-13.2027159,-0.0045455,39.6694221,3.6594100,-1.9887165,4.0000000,-1.4734770,1.5029140,48.2979927,-2.5039561,39.5211639
26,-13,-4.399207051150471,20.528610327536480,-13.2043085,-0.0028926,41.3223152,3.8266287,-2.0463610,4.0000000,-1.4798321,1.4943209,48.0004539,-2.6128900,40.0472908
27,-13,-4.391750411150471,20.528610327536480,-13.2056341,-0.0014876,42.9752083,3.9038932,-2.0809789,4.0000000,-1.4620445,1.4867998,47.7359352,-2.6999130,39.6393204
28,-13,-4.384293771150471,20.528610327536480,-13.2066984,-0.0004132,43.8016510,3.8936386,-2.0936966,4.0000000,-1.4225365,1.4805119,47.5115356,-2.7648566,38.4460182
29,-13,-4.376837131150471,20.528610327536480,-13.2075090,0.0004959,44.6280975,3.7801123,-2.0822458,4.0000000,-1.3570669,1.4755615,47.3339272,-2.8074245,36.4474564
30,-13,-4.369380491150471,20.528610327536480,-13.2080784,0.0011570,45.4545441,3.5785935,-2.0503764,4.0000000,-1.2702026,1.4720366,47.2068443,-2.8305502,33.9298935
31,-13,-4.361923851150471,20.528610327536480,-13.2084236,0.0016529,45.4545441,3.3123653,-2.0027826,4.0000000,-1.1699026,1.4699310,47.1295128,-2.8356628,31.2211971
32,-13,-4.354467211150471,20.528610327536480,-13.2085619,0.0019008,45.4545441,2.9956515,-1.9429317,5.0000000,-1.0601351,1.4691736,47.1021996,-2.8257282,28.5312939
