OID_,RegQ,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.997358731150471,21.848435607536480,-12.7764988,0.0014876,23.1404953,-0.0759602,0.0367964,4.0000000,0.2089913,1.0183072,10.8898735,-0.1353985,0.1702335
2,-12,-3.004815371150471,21.840978967536479,-12.7768545,0.0019008,25.6198349,-0.0689330,-0.0244716,4.0000000,0.1027088,1.0177423,10.7216043,-0.1516521,0.1500504
3,-12,-2.997358731150471,21.840978967536479,-12.7776690,0.0027273,31.4049587,-0.1005053,-0.0280889,4.0000000,0.1018259,1.0180156,10.8047781,-0.1580038,0.2187732
4,-12,-2.989902091150471,21.840978967536479,-12.7785006,0.0035537,38.0165291,-0.1301752,-0.0461421,4.0000000,0.0749758,1.0183030,10.8902836,-0.1672599,0.2882895
5,-12,-2.982445451150471,21.840978967536479,-12.7793503,0.0043802,44.6280975,-0.1607359,-0.0694279,4.0000000,0.0335828,1.0185926,10.9739876,-0.1724386,0.3657452
6,-12,-3.012272011150471,21.833522327536482,-12.7772045,0.0022314,28.0991745,-0.0488518,-0.0872519,4.0000000,-0.0107307,1.0172133,10.5612907,-0.1637730,0.1362593
7,-12,-3.004815371150471,21.833522327536482,-12.7780046,0.0030579,33.8842964,-0.0866609,-0.0788323,4.0000000,0.0044158,1.0173656,10.6079073,-0.1620803,0.2113736
8,-12,-2.997358731150471,21.833522327536482,-12.7788191,0.0038843,40.4958687,-0.1230393,-0.0851352,4.0000000,-0.0059726,1.0175529,10.6664228,-0.1642978,0.2939422
9,-12,-2.989902091150471,21.833522327536482,-12.7796497,0.0046281,47.1074371,-0.1547063,-0.1056477,4.0000000,-0.0425444,1.0177450,10.7243032,-0.1687511,0.3789250
10,-12,-2.982445451150471,21.833522327536482,-12.7804985,-0.0046281,0.0000000,-0.1854772,-0.1314527,4.0000000,-0.0914139,1.0179282,10.7794590,-0.1714916,0.4717759
11,-12,-2.974988811150471,21.833522327536482,-12.7813644,-0.0038017,0.8264463,-0.2150599,-0.1620032,4.0000000,-0.1559891,1.0180877,10.8273754,-0.1680173,0.5748484
12,-12,-2.967532171150471,21.833522327536482,-12.7822485,-0.0029752,2.4793389,-0.2452512,-0.1930749,4.0000000,-0.2305335,1.0182199,10.8649454,-0.1556164,0.6887875
13,-12,-2.960075531150471,21.833522327536482,-12.7831516,-0.0021488,4.9586778,-0.2696037,-0.2310095,4.0000000,-0.3239796,1.0183003,10.8904715,-0.1380395,0.8128698
14,-12,-3.012272011150471,21.826065687536481,-12.7783346,0.0033884,36.3636360,-0.0603615,-0.1363575,4.0000000,-0.1019417,1.0167682,10.4256229,-0.1707733,0.2078853
15,-12,-3.004815371150471,21.826065687536481,-12.7791328,0.0042149,42.9752083,-0.1044168,-0.1278042,4.0000000,-0.0937590,1.0168403,10.4482412,-0.1618494,0.2925311
16,-12,-2.997358731150471,21.826065687536481,-12.7799444,0.0049587,49.5867767,-0.1438668,-0.1344686,4.0000000,-0.1112815,1.0169402,10.4798126,-0.1576558,0.3846954
17,-12,-2.989902091150471,21.826065687536481,-12.7807703,-0.0043802,0.0000000,-0.1749239,-0.1551659,4.0000000,-0.1530392,1.0170413,10.5112276,-0.1572925,0.4773824
