OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
1,,-4.876432011150473,17.538497687536477,-13.0646067,0.0000000,0.0000000,0.0671325,-0.4052540,4.0000000,-0.6900649,1.0000254,0.3651272,-0.1204432
2,,-4.868975371150473,17.538497687536477,-13.0646133,0.0000000,0.0000000,0.0707314,-0.3861569,6.0000000,-0.4518200,1.0000128,0.2377984,-0.3204938
3,,-4.861518731150473,17.538497687536477,-13.0645876,0.0000000,0.0000000,0.0748720,-0.3665519,5.0000000,-0.1312002,1.0000234,0.3625221,-0.6019036
4,,-4.883888651150473,17.531041047536480,-13.0645056,0.0000000,0.0000000,0.1047402,-0.4495358,5.0000000,-0.6091775,1.0000911,0.7495438,-0.2898940
5,,-4.876432011150473,17.531041047536480,-13.0645609,0.0000000,0.0000000,0.1154608,-0.4456649,4.0000000,-0.6968393,1.0000412,0.4856054,-0.1944905
6,,-4.868975371150473,17.531041047536480,-13.0645790,0.0000000,0.0000000,0.1241838,-0.4371137,5.0000000,-0.6355605,1.0000200,0.3154310,-0.2386669
7,,-4.861518731150473,17.531041047536480,-13.0645618,0.0000000,0.0000000,0.1324117,-0.4280499,5.0000000,-0.2780735,1.0000242,0.3611014,-0.5780262
8,,-4.854062091150473,17.531041047536480,-13.0645103,0.0000000,0.0000000,0.1384206,-0.4174973,4.0000000,-0.2311509,1.0000505,0.5549011,-0.6038437
9,,-4.846605451150473,17.531041047536480,-13.0644264,0.0000000,0.0000000,0.1384658,-0.4037452,4.0000000,-0.2488912,1.0000962,0.7829880,-0.5585991
10,,-4.898801931150472,17.523584407536479,-13.0641861,0.0000000,0.0000000,0.1166307,-0.4632785,4.0000000,-0.4959778,1.0003322,1.4665670,-0.4305793
11,,-4.891345291150472,17.523584407536479,-13.0643311,0.0000000,0.0000000,0.1299262,-0.4692607,4.0000000,-0.5576215,1.0002126,1.1667272,-0.3808998
12,,-4.883888651150473,17.523584407536479,-13.0644360,0.0000000,0.0000000,0.1456626,-0.4757134,5.0000000,-0.6302220,1.0001234,0.8816676,-0.3212048
13,,-4.876432011150473,17.523584407536479,-13.0645018,0.0000000,0.0000000,0.1607187,-0.4787146,4.0000000,-0.7048776,1.0000645,0.6237490,-0.2525515
14,,-4.868975371150473,17.523584407536479,-13.0645304,0.0000000,0.0000000,0.1770280,-0.4814448,5.0000000,-0.7000990,1.0000350,0.4419736,-0.2627907
15,,-4.861518731150473,17.523584407536479,-13.0645218,0.0000000,0.0000000,0.1912230,-0.4819443,5.0000000,-0.4639276,1.0000324,0.4230637,-0.4999609
16,,-4.854062091150473,17.523584407536479,-13.0644779,0.0000000,0.0000000,0.2054595,-0.4836433,5.0000000,-0.3495367,1.0000553,0.5747101,-0.6177499
