OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
1,,-5.010651531150472,18.463121047536479,-13.3026943,-0.0032231,20.6611576,3.0438325,-1.8135433,4.0000000,-1.9998040,1.0613563,19.6013050,-1.6272826
2,,-5.047934731150471,18.455664407536478,-13.3020639,-0.0039669,14.8760328,2.0967190,-1.7954059,4.0000000,-1.1048394,1.0557244,18.7201862,-2.4859724
3,,-5.040478091150472,18.455664407536478,-13.3029737,-0.0029752,18.1818180,2.5818746,-1.8583020,4.0000000,-1.3678094,1.0561374,18.7869949,-2.3487945
4,,-5.033021451150471,18.455664407536478,-13.3037577,-0.0021488,21.4876041,3.0177863,-1.9145257,4.0000000,-1.6117061,1.0564386,18.8361320,-2.2173455
5,,-5.025564811150472,18.455664407536478,-13.3044081,-0.0014050,24.7933884,3.3979380,-1.9639573,4.0000000,-1.8264594,1.0566789,18.8736629,-2.1014552
6,,-5.018108171150471,18.455664407536478,-13.3049192,-0.0008264,28.0991745,3.7003653,-2.0021296,4.0000000,-1.9999305,1.0568954,18.9061184,-2.0043287
7,,-5.010651531150472,18.455664407536478,-13.3052874,-0.0004959,29.7520657,3.9237187,-2.0290754,4.0000000,-2.1253905,1.0571226,18.9404564,-1.9327602
8,,-5.003194891150471,18.455664407536478,-13.3055096,-0.0002479,30.5785122,4.0489774,-2.0396738,4.0000000,-2.1928051,1.0574008,18.9834690,-1.8865423
9,,-4.995738251150472,18.455664407536478,-13.3055849,-0.0002479,31.4049587,4.0986037,-2.0388248,5.0000000,-2.2114654,1.0577685,19.0406914,-1.8661844
10,,-4.988281611150471,18.455664407536478,-13.3055134,-0.0003306,31.4049587,4.0593457,-2.0216036,4.0000000,-2.1780608,1.0582600,19.1154003,-1.8651466
11,,-4.980824971150472,18.455664407536478,-13.3052979,-0.0005785,30.5785122,3.9326215,-1.9864306,4.0000000,-2.0964162,1.0588826,19.2103500,-1.8764451
12,,-4.973368331150471,18.455664407536478,-13.3049431,-0.0008264,29.7520657,3.7193384,-1.9312463,4.0000000,-1.9732175,1.0596272,19.3242683,-1.8892751
13,,-4.965911691150472,18.455664407536478,-13.3044548,-0.0014050,27.2727280,3.4513304,-1.8619336,4.0000000,-1.8287642,1.0604851,19.4566078,-1.8951031
14,,-4.958455051150471,18.455664407536478,-13.3038425,-0.0020661,24.7933884,3.1260707,-1.7752249,4.0000000,-1.6644698,1.0614465,19.6024666,-1.8859800
15,,-4.950998411150472,18.455664407536478,-13.3031139,-0.0028099,21.4876041,2.7677505,-1.6752466,4.0000000,-1.4960073,1.0624729,19.7565079,-1.8544859
16,,-4.943541771150471,18.455664407536478,-13.3022823,-0.0037190,18.1818180,2.3828361,-1.5618567,4.0000000,-1.3253212,1.0635285,19.9130001,-1.7983924
17,,-4.936085131150472,18.455664407536478,-13.3013573,-0.0045455,14.8760328,2.0009704,-1.4418631,4.0000000,-1.1663439,1.0645700,20.0679550,-1.7173823
18,,-4.928628491150471,18.455664407536478,-13.3003540,-0.0054545,12.3966942,1.6302472,-1.3174721,4.0000000,-1.0181724,1.0655731,20.2155056,-1.6167718
19,,-4.921171851150472,18.455664407536478,-13.2992821,0.0035537,46.2809906,1.2891775,-1.1936551,4.0000000,-0.8880797,1.0665270,20.3547611,-1.4992305
20,,-5.062848011150471,18.448207767536481,-13.3020401,-0.0040496,14.0495872,1.7601107,-1.8487074,4.0000000,-0.6801736,1.0522665,18.1514702,-3.0172412
21,,-5.055391371150472,18.448207767536481,-13.3032513,-0.0029752,17.3553715,2.3539319,-1.9277623,4.0000000,-0.9477258,1.0524834,18.1878815,-2.9077988
22,,-5.047934731150471,18.448207767536481,-13.3043442,-0.0019008,21.4876041,2.9246221,-2.0018682,4.0000000,-1.2209494,1.0525749,18.2033997,-2.7827871
23,,-5.040478091150472,18.448207767536481,-13.3053112,-0.0009091,25.6198349,3.4536135,-2.0694292,4.0000000,-1.4877628,1.0525584,18.2009029,-2.6510956
24,,-5.033021451150471,18.448207767536481,-13.3061428,-0.0000826,29.7520657,3.9284701,-2.1297853,4.0000000,-1.7378727,1.0524728,18.1874161,-2.5216980
25,,-5.025564811150472,18.448207767536481,-13.3068342,0.0006612,33.8842964,4.3195992,-2.1777127,4.0000000,-1.9540412,1.0523729,18.1691380,-2.4013839
26,,-5.018108171150471,18.448207767536481,-13.3073788,0.0011570,37.1900826,4.6275454,-2.2142236,4.0000000,-2.1293738,1.0523064,18.1571274,-2.2990737
