OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
1,,-5.383483531150471,20.677743127536480,-13.1393499,0.0035537,45.4545441,-0.2108944,-0.5565996,4.0000000,-1.2221130,1.1030718,24.9783249,0.1089139
2,,-5.405853451150471,20.670286487536480,-13.1420116,-0.0041322,26.4462814,0.1665519,-0.7612031,4.0000000,-1.4035207,1.1072726,25.4417267,-0.1188856
3,,-5.398396811150471,20.670286487536480,-13.1423807,-0.0038843,27.2727280,0.1215941,-0.7303689,4.0000000,-1.3633839,1.1058222,25.2832565,-0.0973537
4,,-5.390940171150471,20.670286487536480,-13.1426497,-0.0037190,27.2727280,0.0670923,-0.6951938,4.0000000,-1.3117450,1.1044049,25.1259708,-0.0786426
5,,-5.383483531150471,20.670286487536480,-13.1428213,-0.0036364,27.2727280,0.0043395,-0.6578470,4.0000000,-1.2548846,1.1029955,24.9682732,-0.0608094
6,,-5.376026891150471,20.670286487536480,-13.1429005,-0.0036364,27.2727280,-0.0658935,-0.6185543,5.0000000,-1.1944878,1.1015785,24.8105812,-0.0426207
7,,-5.435680011150471,20.662829847536482,-13.1429939,-0.0026446,30.5785122,0.5141481,-0.9486926,4.0000000,-1.4766103,1.1125345,26.0067616,-0.4207749
8,,-5.428223371150471,20.662829847536482,-13.1438007,-0.0019835,32.2314034,0.5187902,-0.9404802,4.0000000,-1.4961406,1.1108754,25.8292866,-0.3848198
9,,-5.420766731150471,20.662829847536482,-13.1444902,-0.0014050,33.8842964,0.5030449,-0.9230387,4.0000000,-1.4943696,1.1092907,25.6599503,-0.3517077
10,,-5.413310091150471,20.662829847536482,-13.1450644,-0.0009091,34.7107430,0.4716817,-0.8997398,4.0000000,-1.4775916,1.1077847,25.4972458,-0.3218880
11,,-5.405853451150471,20.662829847536482,-13.1455278,-0.0005785,35.5371895,0.4251599,-0.8692243,4.0000000,-1.4435897,1.1063529,25.3397484,-0.2948589
12,,-5.398396811150471,20.662829847536482,-13.1458826,-0.0002479,36.3636360,0.3679178,-0.8348321,4.0000000,-1.3992027,1.1049789,25.1881409,-0.2704615
13,,-5.390940171150471,20.662829847536482,-13.1461344,-0.0000826,36.3636360,0.2990492,-0.7955603,4.0000000,-1.3450500,1.1036546,25.0425434,-0.2460706
14,,-5.383483531150471,20.662829847536482,-13.1462870,0.0000000,36.3636360,0.2230640,-0.7536479,4.0000000,-1.2854376,1.1023718,24.8991680,-0.2218581
