OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
1,,-3.340364171150472,19.014912407536478,-13.0059309,0.0004959,28.0991745,-0.3134137,-1.1176379,4.0000000,-2.0423429,1.0412165,16.1975784,-0.1929328
2,,-3.332907531150473,19.014912407536478,-13.0069942,0.0015702,33.0578499,-0.5467409,-1.1402997,4.0000000,-2.1887226,1.0376651,15.5019655,-0.0918767
3,,-3.325450891150473,19.014912407536478,-13.0079994,0.0024793,38.0165291,-0.7635589,-1.1646203,4.0000000,-2.3252800,1.0340157,14.7488718,-0.0039605
4,,-3.317994251150473,19.014912407536478,-13.0089417,0.0033884,43.8016510,-0.9620273,-1.1880537,4.0000000,-2.4478307,1.0303258,13.9419270,0.0717234
5,,-3.310537611150473,19.014912407536478,-13.0098162,0.0042149,48.7603302,-1.1219121,-1.2125432,4.0000000,-2.5555968,1.0266680,13.0887470,0.1305103
6,,-3.303080971150473,19.014912407536478,-13.0106182,-0.0050413,0.0000000,-1.2466886,-1.2319554,4.0000000,-2.6369355,1.0231085,12.1947880,0.1730246
7,,-3.295624331150472,19.014912407536478,-13.0113440,-0.0042975,0.0000000,-1.3381790,-1.2456281,4.0000000,-2.6906846,1.0197129,11.2718487,0.1994284
8,,-3.288167691150472,19.014912407536478,-13.0119896,-0.0036364,0.0000000,-1.3956820,-1.2480601,4.0000000,-2.7054207,1.0165430,10.3319454,0.2093006
9,,-3.280711051150472,19.014912407536478,-13.0125513,-0.0029752,0.0000000,-1.4162979,-1.2428731,4.0000000,-2.6853862,1.0136456,9.3868494,0.1996400
10,,-3.273254411150472,19.014912407536478,-13.0130281,-0.0024793,0.0000000,-1.4087145,-1.2241576,4.0000000,-2.6181152,1.0110563,8.4494934,0.1698000
11,,-3.265797771150472,19.014912407536478,-13.0134182,-0.0019835,0.0000000,-1.3726230,-1.1941125,4.0000000,-2.5028501,1.0087975,7.5361872,0.1146251
