OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
1,,-4.294814091150472,19.328091287536477,-13.1768475,0.0013223,38.8429756,-1.3332658,-0.8295051,4.0000000,-0.3052568,1.1127896,26.0330772,-1.3537534
2,,-4.287357451150472,19.328091287536477,-13.1739445,-0.0016529,30.5785122,-1.4481306,-0.8123234,4.0000000,-0.1280443,1.1192536,26.7025414,-1.4966024
3,,-4.279900811150472,19.328091287536477,-13.1708927,-0.0046281,23.1404953,-1.5587454,-0.7816941,4.0000000,0.0469198,1.1257447,27.3540745,-1.6103081
4,,-4.317184011150472,19.320634647536480,-13.1869783,0.0014050,37.1900826,-0.5961019,-0.9678722,4.0000000,-1.0344990,1.0948344,24.0383167,-0.9012453
5,,-4.309727371150472,19.320634647536480,-13.1845255,-0.0010744,29.7520657,-0.6854874,-0.9767885,4.0000000,-0.8625313,1.1011872,24.7689095,-1.0910457
6,,-4.302270731150472,19.320634647536480,-13.1819210,-0.0036364,23.1404953,-0.8014444,-0.9744784,4.0000000,-0.6844878,1.1077522,25.4956875,-1.2644690
7,,-4.294814091150472,19.320634647536480,-13.1791620,0.0035537,46.2809906,-0.9330371,-0.9590585,4.0000000,-0.5024042,1.1145227,26.2169399,-1.4157127
8,,-4.287357451150472,19.320634647536480,-13.1762466,0.0005785,37.1900826,-1.0703063,-0.9323603,4.0000000,-0.3205575,1.1214253,26.9253826,-1.5441631
9,,-4.279900811150472,19.320634647536480,-13.1731768,-0.0024793,28.9256191,-1.2094119,-0.8917369,4.0000000,-0.1393434,1.1283892,27.6144295,-1.6441303
10,,-4.272444171150472,19.320634647536480,-13.1699533,0.0043802,48.7603302,-1.3397872,-0.8380839,4.0000000,0.0385409,1.1353296,28.2774315,-1.7147087
11,,-4.264987531150472,19.320634647536480,-13.1665821,0.0010744,39.6694221,-1.4470658,-0.7696952,4.0000000,0.2086619,1.1421112,28.9053707,-1.7480521
12,,-4.324640651150472,19.313178007536479,-13.1915970,-0.0041322,20.6611576,-0.0133471,-1.1262864,4.0000000,-1.4173602,1.0881891,23.2409153,-0.8352125
13,,-4.317184011150472,19.313178007536479,-13.1893091,0.0035537,45.4545441,-0.0761998,-1.1351417,5.0000000,-1.2522044,1.0946366,24.0148315,-1.0180792
14,,-4.309727371150472,19.313178007536479,-13.1868668,0.0011570,37.1900826,-0.1818518,-1.1332875,4.0000000,-1.0769982,1.1013687,24.7903118,-1.1895770
15,,-4.302270731150472,19.313178007536479,-13.1842661,-0.0013223,29.7520657,-0.3151537,-1.1199477,4.0000000,-0.8955792,1.1083484,25.5612049,-1.3443161
16,,-4.294814091150472,19.313178007536479,-13.1815042,-0.0041322,23.1404953,-0.4688261,-1.0952923,4.0000000,-0.7101913,1.1155432,26.3237400,-1.4803933
17,,-4.287357451150472,19.313178007536479,-13.1785812,0.0029752,44.6280975,-0.6353788,-1.0579808,4.0000000,-0.5240231,1.1228994,27.0748005,-1.5919386
18,,-4.279900811150472,19.313178007536479,-13.1754980,-0.0001653,35.5371895,-0.8039299,-1.0078220,4.0000000,-0.3383124,1.1303437,27.8046551,-1.6773316
