OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
1,-13,-4.481230091150471,20.081211927536479,-13.2549334,0.0000000,0.0000000,0.5624764,-1.0309732,5.0000000,-0.6859165,1.0005096,1.7913026,-1.3760298
2,-13,-4.473773451150471,20.081211927536479,-13.2550621,0.0000000,0.0000000,0.5788199,-1.0776445,4.0000000,-1.3358239,1.0003257,1.4028398,-0.8194649
3,-13,-4.466316811150471,20.081211927536479,-13.2550898,0.0000000,0.0000000,0.5629693,-1.1015019,5.0000000,-1.9065322,1.0003211,1.3847910,-0.2964716
4,-13,-4.458860171150471,20.081211927536479,-13.2550125,0.0000000,0.0000000,0.5097755,-1.0993166,4.0000000,-1.6580265,1.0005194,1.7915910,-0.5406067
5,-13,-4.451403531150471,20.081211927536479,-13.2548285,0.0000000,0.0000000,0.4130492,-1.0686523,5.0000000,-1.2917389,1.0009247,2.4265671,-0.8455657
6,-13,-4.443946891150471,20.081211927536479,-13.2545404,-0.0000826,0.0000000,0.2732100,-1.0083612,4.0000000,-1.0577426,1.0015284,3.1420817,-0.9589799
7,-13,-4.488686731150471,20.073755287536482,-13.2545605,0.0000000,0.0000000,0.5436938,-0.9691124,4.0000000,-0.4984391,1.0008296,2.3142481,-1.4397857
8,-13,-4.481230091150471,20.073755287536482,-13.2547712,0.0000000,0.0000000,0.5934888,-1.0389394,5.0000000,-0.8358560,1.0005313,1.8322616,-1.2420228
9,-13,-4.473773451150471,20.073755287536482,-13.2548866,0.0000000,0.0000000,0.6209328,-1.0899593,4.0000000,-1.4970804,1.0003749,1.5153575,-0.6828380
10,-13,-4.466316811150471,20.073755287536482,-13.2549009,0.0000000,0.0000000,0.6190795,-1.1201286,5.0000000,-1.9155169,1.0003979,1.5555063,-0.3247404
11,-13,-4.458860171150471,20.073755287536482,-13.2548094,0.0000000,0.0000000,0.5824404,-1.1249855,4.0000000,-1.6515542,1.0006250,1.9762214,-0.5984166
12,-13,-4.451403531150471,20.073755287536482,-13.2546101,0.0000000,0.0000000,0.5076357,-1.1038041,5.0000000,-1.3016908,1.0010638,2.6085372,-0.9059173
13,-13,-4.443946891150471,20.073755287536482,-13.2543049,-0.0001653,0.0000000,0.3922512,-1.0544497,4.0000000,-1.0655967,1.0017095,3.3258035,-1.0433027
14,-13,-4.436490251150471,20.073755287536482,-13.2538948,-0.0004959,0.0000000,0.2367869,-0.9763191,4.0000000,-0.9144015,1.0025355,4.0631938,-1.0382366
15,-13,-4.488686731150471,20.066298647536481,-13.2543898,0.0000000,0.0000000,0.5550852,-0.9705021,5.0000000,-0.5798564,1.0008374,2.3258917,-1.3611478
16,-13,-4.481230091150471,20.066298647536481,-13.2545872,0.0000000,0.0000000,0.6106550,-1.0419807,5.0000000,-0.9767276,1.0005665,1.8936256,-1.1072338
17,-13,-4.473773451150471,20.066298647536481,-13.2546902,0.0000000,0.0000000,0.6449832,-1.0951422,4.0000000,-1.6072184,1.0004369,1.6438107,-0.5830662
18,-13,-4.466316811150471,20.066298647536481,-13.2546911,0.0000000,0.0000000,0.6546298,-1.1301490,5.0000000,-1.9089315,1.0004853,1.7323772,-0.3513665
19,-13,-4.458860171150471,20.066298647536481,-13.2545872,0.0000000,0.0000000,0.6325579,-1.1418084,4.0000000,-1.6467527,1.0007399,2.1590202,-0.6368641
20,-13,-4.451403531150471,20.066298647536481,-13.2543745,-0.0000826,0.0000000,0.5743773,-1.1284033,5.0000000,-1.3127897,1.0012114,2.7856817,-0.9440170
21,-13,-4.443946891150471,20.066298647536481,-13.2540531,-0.0003306,0.0000000,0.4769742,-1.0875527,4.0000000,-1.0736977,1.0018935,3.5011802,-1.1014076
22,-13,-4.436490251150471,20.066298647536481,-13.2536259,-0.0007438,0.0000000,0.3439963,-1.0208452,4.0000000,-0.9158101,1.0027648,4.2426696,-1.1258801
23,-13,-4.429033611150471,20.066298647536481,-13.2530966,-0.0013223,0.0000000,0.1772625,-0.9250418,4.0000000,-0.8071147,1.0037816,4.9700766,-1.0429689
24,-13,-4.488686731150471,20.058842007536480,-13.2541971,0.0000000,0.0000000,0.5685458,-0.9716157,5.0000000,-0.6723140,1.0008590,2.3550816,-1.2709174
25,-13,-4.481230091150471,20.058842007536480,-13.2543812,0.0000000,0.0000000,0.6229551,-1.0415589,4.0000000,-1.1050435,1.0006151,1.9779158,-0.9780741
26,-13,-4.473773451150471,20.058842007536480,-13.2544718,0.0000000,0.0000000,0.6624260,-1.0968592,5.0000000,-1.6808550,1.0005131,1.7896465,-0.5128635
27,-13,-4.466316811150471,20.058842007536480,-13.2544613,0.0000000,0.0000000,0.6765648,-1.1344995,4.0000000,-1.8948090,1.0005873,1.9158331,-0.3741902
28,-13,-4.458860171150471,20.058842007536480,-13.2543449,0.0000000,0.0000000,0.6616275,-1.1507580,4.0000000,-1.6449987,1.0008672,2.3443539,-0.6565174
29,-13,-4.451403531150471,20.058842007536480,-13.2541189,-0.0001653,0.0000000,0.6143450,-1.1429375,5.0000000,-1.3234818,1.0013658,2.9621744,-0.9623932
30,-13,-4.443946891150471,20.058842007536480,-13.2537842,-0.0004959,0.0000000,0.5343291,-1.1106094,4.0000000,-1.0826813,1.0020785,3.6695983,-1.1385375
31,-13,-4.436490251150471,20.058842007536480,-13.2533417,-0.0009917,0.0000000,0.4176020,-1.0519328,4.0000000,-0.9145308,1.0029858,4.4105992,-1.1893349
32,-13,-4.429033611150471,20.058842007536480,-13.2527952,-0.0016529,0.0000000,0.2697453,-0.9668372,4.0000000,-0.7959681,1.0040517,5.1443934,-1.1377063
33,-13,-4.421576971150471,20.058842007536480,-13.2521515,-0.0024793,0.0000000,0.0956242,-0.8562338,4.0000000,-0.7118596,1.0052245,5.8452182,-1.0006081
34,-13,-4.488686731150471,20.051385367536479,-13.2539816,0.0000000,0.0000000,0.5853753,-0.9729388,5.0000000,-0.7706554,1.0008962,2.4045694,-1.1752222
35,-13,-4.481230091150471,20.051385367536479,-13.2541533,0.0000000,0.0000000,0.6390467,-1.0415936,4.0000000,-1.2172320,1.0006789,2.0804081,-0.8659550
36,-13,-4.473773451150471,20.051385367536479,-13.2542305,0.0000000,0.0000000,0.6756722,-1.0958507,5.0000000,-1.7241150,1.0006011,1.9468776,-0.4675865
