OID_,DEM_Large_S3_RegL2,X,Y,DEM_Large_S3_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-3.288167691150471,19.059652247536480,-13.0045900,0.0003306,35.5371895,49.5926628,7.9567327,3.0000000,4.2532487,1.1729394,27.8450947,11.6602173,211.7562561
2,-13,-3.280711051150471,19.059652247536480,-13.0059471,0.0021488,42.9752083,-13.9260921,5.4279962,3.0000000,-0.3272141,1.2220320,33.4141502,11.1832066,222.1123657
3,-13,-3.273254411150471,19.059652247536480,-13.0071802,-0.0063636,0.0000000,-124.4142761,-3.1574154,5.0000000,-5.9689884,1.1379905,26.4421253,-0.3458424,462.8493042
4,-13,-3.295624331150471,19.052195607536479,-13.0047579,0.0002479,38.0165291,-10.8703442,-0.0808935,4.0000000,-1.2323555,1.1686292,29.0246754,1.0705684,37.5718040
5,-13,-3.288167691150471,19.052195607536479,-13.0060911,0.0019008,44.6280975,-41.8141060,-0.0255645,4.0000000,-1.8013934,1.1574178,28.0254879,1.7502644,138.1332397
6,-13,-3.280711051150471,19.052195607536479,-13.0073147,0.0034711,52.0661163,-30.3111591,-3.0613604,3.0000000,-9.0020351,1.1274412,27.8018589,2.8793151,194.1020966
7,-13,-3.273254411150471,19.052195607536479,-13.0084162,-0.0052893,0.0000000,13.5959091,-8.7322807,5.0000000,-15.2751503,1.0544919,19.1050434,-2.1894102,382.9541626
8,-13,-3.265797771150471,19.052195607536479,-13.0093918,-0.0040496,0.0000000,-4.8415232,-8.7937059,4.0000000,-17.6403046,1.0215186,9.4766521,0.0528929,346.1851196
9,-13,-3.258341131150471,19.052195607536479,-13.0102367,-0.0028926,0.0000000,-14.5363970,-1.5143975,4.0000000,-5.4664092,1.0362684,10.8871155,2.4376142,42.0892296
10,-13,-3.250884491150471,19.052195607536479,-13.0109501,-0.0019008,0.0000000,-7.8889785,1.2385514,2.0000000,-1.8150564,1.0405881,12.5871143,4.2921591,23.3703918
11,-13,-3.243427851150471,19.052195607536479,-13.0115328,-0.0013223,0.0000000,-1.9874223,2.0051615,4.0000000,0.8262426,1.0263340,11.7488012,3.1840804,21.4048767
12,-13,-3.235971211150471,19.052195607536479,-13.0119886,-0.0008264,0.0000000,-3.8971007,1.6392584,3.0000000,0.9166083,1.0130898,10.2282343,2.3619084,19.6115761
13,-13,-3.228514571150471,19.052195607536479,-13.0123243,-0.0004959,0.0000000,-9.9079762,-0.4394833,4.0000000,-2.9094026,1.0115910,8.8014288,2.0304360,21.6990948
14,-13,-3.221057931150471,19.052195607536479,-13.0125494,-0.0003306,0.0000000,-15.2353716,-2.5256269,4.0000000,-6.5496178,1.0073569,5.6918344,1.4983643,57.5158844
15,-13,-3.213601291150471,19.052195607536479,-13.0126772,-0.0002479,0.0000000,-26.9299469,-2.7729232,6.0000000,-0.4194965,1.0038165,3.6325114,-5.1263499,85.1941071
16,-12,-3.437300491150471,19.044738967536482,-12.9789190,0.0045455,43.8016510,-36.4468079,9.4375801,4.0000000,1.1615999,1.2760576,35.1634598,17.7135620,729.3366089
17,-12,-3.429843851150471,19.044738967536482,-12.9803915,0.0059504,47.1074371,-66.0095901,7.1504474,4.0000000,-2.5905724,1.2540569,34.6300774,16.8914680,540.1117554
18,-12,-3.422387211150471,19.044738967536482,-12.9818516,-0.0026446,33.0578499,-63.3776169,5.1693687,4.0000000,-3.9932470,1.2115167,30.1113892,14.3319845,334.4978638
19,-12,-3.414930571150471,19.044738967536482,-12.9832983,-0.0013223,36.3636360,36.8028603,7.5789552,4.0000000,3.0660493,1.1436749,26.9363461,12.0918608,203.5475616
20,-12,-3.407473931150471,19.044738967536482,-12.9847326,0.0000000,38.8429756,9.4311790,6.3281360,4.0000000,2.0078008,1.1087140,28.3520203,10.6484718,194.9264679
21,-12,-3.400017291150471,19.044738967536482,-12.9861584,0.0011570,41.3223152,11.1312723,5.6486182,5.0000000,3.3046949,1.1761674,29.2169075,7.9925413,161.2421112
22,-12,-3.392560651150471,19.044738967536482,-12.9875793,0.0023140,42.9752083,-12.4729004,5.0188408,3.0000000,-0.3025363,1.2745976,33.7117538,10.3402176,193.8273468
23,-12,-3.385104011150471,19.044738967536482,-12.9890041,0.0033884,44.6280975,50.3545189,8.1189528,4.0000000,4.7988424,1.3054241,35.1409225,11.4390631,293.0041199
24,-12,-3.377647371150471,19.044738967536482,-12.9904394,0.0045455,47.1074371,9.3980913,8.5334635,4.0000000,1.2740923,1.2476875,33.7164040,15.7928333,410.1883545
25,-12,-3.370190731150471,19.044738967536482,-12.9918928,0.0058678,50.4132233,10.0999622,8.4838428,4.0000000,2.2744761,1.1629503,32.2008629,14.6932096,406.5698853
26,-12,-3.362734091150471,19.044738967536482,-12.9933672,-0.0026446,33.0578499,-63.5218697,7.1661482,4.0000000,-1.4148765,1.1648959,32.6721001,15.7471733,519.8632202
27,-12,-3.355277451150471,19.044738967536482,-12.9948587,-0.0009917,36.3636360,-27.9462662,7.9271135,4.0000000,-0.0856712,1.2323512,32.2524223,15.9398985,459.1941833
28,-12,-3.347820811150471,19.044738967536482,-12.9963655,0.0004959,39.6694221,22.2612839,8.1491289,4.0000000,1.6559999,1.2307410,34.8968391,14.6422577,336.4960632
29,-12,-3.340364171150471,19.044738967536482,-12.9978771,0.0019835,43.8016510,17.8758488,6.5697274,4.0000000,1.6063330,1.2260351,35.4460526,11.5331211,212.1981506
30,-12,-3.332907531150471,19.044738967536482,-12.9993877,0.0034711,47.9338837,3.8123519,4.0889592,4.0000000,0.7096765,1.2128083,35.2034264,7.4682422,91.9029312
31,-13,-3.310537611150471,19.044738967536482,-13.0037832,-0.0014876,33.8842964,-38.4202690,-0.8240657,4.0000000,-5.2514009,1.1949906,31.6676769,3.6032693,164.7909546
