OID_,ClipsFinal_DEM_Large_S3_RegA,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.928628491150471,17.627977367536477,-13.0659771,0.0000000,0.0000000,-1.4737726,-0.8063226,4.0000000,0.3321956,1.0006660,2.0706587,-1.9448408,5.5578780
2,-13,-4.921171851150471,17.627977367536477,-13.0661993,0.0000000,0.0000000,-0.8158653,-1.2845871,5.0000000,0.1783063,1.0003417,1.4196603,-2.7474806,8.2378826
3,-13,-4.913715211150471,17.627977367536477,-13.0662842,0.0000000,0.0000000,-0.1906499,-1.5143869,5.0000000,-2.9774122,1.0002872,1.1250108,-0.0513614,9.5655613
4,-13,-4.950998411150471,17.620520727536480,-13.0647554,0.0000000,0.0000000,-1.9987144,-0.4313799,4.0000000,-1.2803929,1.0027046,4.1552749,0.4176331,4.7997899
5,-13,-4.943541771150471,17.620520727536480,-13.0652390,0.0000000,0.0000000,-1.9538243,-0.5465631,4.0000000,-0.9725265,1.0020770,3.6151600,-0.1205997,5.1471386
6,-13,-4.936085131150471,17.620520727536480,-13.0656681,0.0000000,0.0000000,-1.4273292,-0.7518699,4.0000000,-0.4932976,1.0015007,3.1083388,-1.0104421,5.1438112
7,-13,-4.928628491150471,17.620520727536480,-13.0660324,0.0000000,0.0000000,-0.6922966,-1.0569272,4.0000000,-0.0871547,1.0009710,2.5154591,-2.0266998,5.8676600
8,-13,-4.921171851150471,17.620520727536480,-13.0662975,0.0000000,0.0000000,-0.0795335,-1.4543315,5.0000000,0.0181497,1.0004822,1.7164280,-2.9268126,8.6271753
9,-13,-4.913715211150471,17.620520727536480,-13.0664263,0.0000000,0.0000000,0.1335043,-1.6272758,6.0000000,-2.4670990,1.0002612,1.0518590,-0.7874525,10.3339043
10,-13,-4.906258571150471,17.620520727536480,-13.0663576,0.0000000,0.0000000,0.1039229,-1.5564508,5.0000000,-2.4709370,1.0005194,1.7717738,-0.6419646,9.5059242
11,-13,-4.958455051150471,17.613064087536479,-13.0639286,-0.0002479,0.0000000,-1.2845148,-0.1708231,4.0000000,-1.1502534,1.0041354,5.2504959,0.8086073,2.7370992
12,-13,-4.950998411150471,17.613064087536479,-13.0645227,0.0000000,0.0000000,-1.4707121,-0.5109491,4.0000000,-1.3749200,1.0035748,4.8470540,0.3530218,4.0561156
13,-13,-4.943541771150471,17.613064087536479,-13.0650959,0.0000000,0.0000000,-1.2832426,-0.7655693,4.0000000,-1.3251451,1.0029153,4.3382568,-0.2059934,4.9775343
14,-13,-4.936085131150471,17.613064087536479,-13.0656137,0.0000000,0.0000000,-0.5696539,-1.0632890,4.0000000,-1.0802083,1.0021375,3.7240491,-1.0463697,5.7100425
15,-13,-4.928628491150471,17.613064087536479,-13.0660486,0.0000000,0.0000000,0.3706392,-1.3822625,5.0000000,-0.7822116,1.0013458,2.9533653,-1.9823134,6.9292569
16,-13,-4.921171851150471,17.613064087536479,-13.0663700,0.0000000,0.0000000,1.1579095,-1.7231926,4.0000000,-0.4617879,1.0006480,1.9866893,-2.9845972,9.5743017
17,-13,-4.913715211150471,17.613064087536479,-13.0665407,0.0000000,0.0000000,1.3145103,-1.8595011,6.0000000,-1.3667059,1.0002570,1.0149539,-2.3522964,11.2078400
18,-13,-4.906258571150471,17.613064087536479,-13.0665207,0.0000000,0.0000000,1.0367506,-1.8094239,4.0000000,-3.0723929,1.0003744,1.4563689,-0.5464549,11.0427284
19,-13,-4.898801931150471,17.613064087536479,-13.0663414,0.0000000,0.0000000,0.6285173,-1.6367770,4.0000000,-1.9404951,1.0010650,2.5985467,-1.3330590,9.5022488
20,-13,-4.965911691150471,17.605607447536478,-13.0629482,-0.0008264,0.0000000,-0.3693158,0.3505890,4.0000000,-0.2895812,1.0048876,5.6867170,0.9907592,1.2458202
21,-13,-4.958455051150471,17.605607447536478,-13.0636206,-0.0003306,0.0000000,-0.8348000,0.0881134,4.0000000,-0.6534089,1.0048883,5.7104392,0.8296359,1.7322409
22,-13,-4.950998411150471,17.605607447536478,-13.0642862,0.0000000,0.0000000,-1.0525800,-0.3245895,4.0000000,-0.9803053,1.0044670,5.4487581,0.3311263,2.5806763
23,-13,-4.943541771150471,17.605607447536478,-13.0649357,0.0000000,0.0000000,-0.8878836,-0.6970733,4.0000000,-1.1570008,1.0037946,5.0103149,-0.2371457,3.7868187
24,-13,-4.936085131150471,17.605607447536478,-13.0655289,0.0000000,0.0000000,-0.1923081,-1.1160401,4.0000000,-1.1928821,1.0028714,4.3476515,-1.0391980,5.4310603
25,-13,-4.928628491150471,17.605607447536478,-13.0660324,0.0000000,0.0000000,0.7123570,-1.4835848,4.0000000,-1.1212113,1.0018320,3.4428656,-1.8459584,7.4251018
26,-13,-4.921171851150471,17.605607447536478,-13.0664053,0.0000000,0.0000000,1.5167016,-1.8128896,5.0000000,-0.9238846,1.0008923,2.3362787,-2.7018948,10.1358204
27,-13,-4.913715211150471,17.605607447536478,-13.0666313,0.0000000,0.0000000,1.8536193,-1.9627070,5.0000000,-0.5491319,1.0002990,1.0930856,-3.3762822,11.7061167
28,-13,-4.906258571150471,17.605607447536478,-13.0666637,0.0000000,0.0000000,1.8851174,-2.0075431,6.0000000,-3.4660683,1.0002222,0.9202651,-0.5490181,12.3600817
29,-13,-4.898801931150471,17.605607447536478,-13.0665369,0.0000000,0.0000000,1.7519268,-1.9532701,5.0000000,-2.4332445,1.0007749,2.1295795,-1.4732955,11.7949429
30,-13,-4.891345291150471,17.605607447536478,-13.0662231,0.0000000,0.0000000,1.1466047,-1.5294483,4.0000000,-1.4698529,1.0019184,3.5873837,-1.5890436,7.1178699
31,-13,-4.973368331150471,17.598150807536477,-13.0619373,-0.0016529,0.0000000,0.3144843,0.7941461,4.0000000,0.7594551,1.0046688,5.5491824,0.8288372,1.9286243
32,-13,-4.965911691150471,17.598150807536477,-13.0625792,-0.0009917,0.0000000,0.4121729,0.8309099,4.0000000,0.5675825,1.0050876,5.8445444,1.0942373,1.9688790
33,-13,-4.958455051150471,17.598150807536477,-13.0632858,-0.0004132,0.0000000,-0.1854691,0.5272903,4.0000000,0.2272304,1.0053654,6.0063901,0.8273502,1.5090199
34,-13,-4.950998411150471,17.598150807536477,-13.0640097,0.0000000,0.0000000,-0.7028294,0.0758257,4.0000000,-0.1419815,1.0051668,5.8895588,0.2936329,1.4585155
35,-13,-4.943541771150471,17.598150807536477,-13.0647192,0.0000000,0.0000000,-0.8265725,-0.3723423,4.0000000,-0.4801038,1.0045573,5.5430155,-0.2645807,2.2510269
36,-13,-4.936085131150471,17.598150807536477,-13.0653715,0.0000000,0.0000000,-0.5205998,-0.8715281,4.0000000,-0.7348387,1.0035778,4.9041076,-1.0082175,4.1362271
37,-13,-4.928628491150471,17.598150807536477,-13.0659361,0.0000000,0.0000000,0.0640728,-1.2946332,4.0000000,-0.8969233,1.0023609,3.9554045,-1.6923430,6.6293106
