OID_,ClipsFinal_DEM_Large_S3_RegF3,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.726488971150472,21.080401687536479,-13.0207539,-0.0048760,0.0000000,-1.2963940,-0.6407405,4.0000000,-1.9441690,1.0200394,11.4468756,0.6626880,4.7385774
2,-13,-5.719032331150471,21.080401687536479,-13.0209885,-0.0047107,0.0000000,-1.9162934,-0.8927088,4.0000000,-2.4989946,1.0186018,11.0047274,0.7135769,7.7956982
3,-13,-5.711575691150472,21.080401687536479,-13.0210428,-0.0046281,0.0000000,-2.2158091,-0.8022419,5.0000000,-2.2760525,1.0172518,10.6135416,0.6715686,7.6851697
4,-13,-5.704119051150471,21.080401687536479,-13.0209618,-0.0046281,0.0000000,-1.9001511,-0.3262165,4.0000000,-1.2664108,1.0162456,10.3048611,0.6139778,4.5537009
5,-13,-5.741402251150472,21.072945047536479,-13.0215788,-0.0040496,2.4793389,0.0750095,-0.7025750,4.0000000,-1.3413028,1.0225021,12.0661783,-0.0638472,2.0846715
6,-13,-5.733945611150471,21.072945047536479,-13.0219440,-0.0038843,2.4793389,-0.1222598,-0.7028741,4.0000000,-1.4878244,1.0212866,11.7469883,0.0820762,2.5207205
7,-13,-5.726488971150472,21.072945047536479,-13.0222330,-0.0037190,2.4793389,-0.5376381,-0.8928039,4.0000000,-2.0458276,1.0201293,11.4409323,0.2602198,4.8029456
8,-13,-5.719032331150471,21.072945047536479,-13.0224400,-0.0035537,2.4793389,-1.1915118,-1.0853760,4.0000000,-2.5896490,1.0189900,11.0571737,0.4188967,7.9165010
9,-13,-5.711575691150472,21.072945047536479,-13.0224457,-0.0034711,2.4793389,-1.5978488,-0.9425192,5.0000000,-2.3199699,1.0179478,10.7504425,0.4349314,7.4456196
10,-13,-5.704119051150471,21.072945047536479,-13.0223207,-0.0034711,2.4793389,-1.4283658,-0.4267233,4.0000000,-1.2599918,1.0170814,10.4995317,0.4065452,3.8880780
