OID_,ClipsFinal_DEM_Large_S3_RegG1,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-7.217816971150471,20.282541207536479,-12.8499861,0.0047934,46.2809906,-2.9423900,-0.2489793,4.0000000,1.3682773,1.0848526,22.8220730,-1.8662360,8.2304688
2,-12,-7.210360331150472,20.282541207536479,-12.8523254,-0.0028099,22.3140488,-3.3168695,-0.2149355,4.0000000,1.3771135,1.0854684,22.8982430,-1.8069844,9.2518444
3,-12,-7.202903691150471,20.282541207536479,-12.8545780,-0.0005785,28.0991745,-3.7482591,-0.2911149,5.0000000,1.2076386,1.0865431,23.0814056,-1.7898684,10.6222115
4,-12,-7.225273611150472,20.275084567536481,-12.8495369,0.0043802,45.4545441,-2.6398792,-0.2864642,4.0000000,1.3324859,1.0884584,23.2962627,-1.9054143,7.5449629
5,-12,-7.217816971150471,20.275084567536481,-12.8520536,-0.0031405,21.4876041,-2.7153604,-0.5923039,4.0000000,1.1454163,1.0899329,23.4679108,-2.3300240,8.7861366
6,-12,-7.210360331150472,20.275084567536481,-12.8544931,-0.0007438,28.0991745,-2.8365676,-0.6159805,4.0000000,1.1196766,1.0906913,23.5448303,-2.3516376,9.2684031
7,-12,-7.202903691150471,20.275084567536481,-12.8568554,0.0015702,34.7107430,-2.9144824,-0.7205411,5.0000000,0.9610841,1.0921850,23.7441921,-2.4021661,10.1831875
8,-12,-7.195447051150472,20.275084567536481,-12.8591661,0.0038843,42.1487617,-3.1028082,-0.7054684,5.0000000,0.8890726,1.0923904,23.7349949,-2.3000093,10.6691437
9,-12,-7.187990411150471,20.275084567536481,-12.8613167,-0.0038017,21.4876041,-3.0964565,-0.5995352,4.0000000,0.8464531,1.0927472,23.7995014,-2.0455236,10.1146688
10,-12,-7.180533771150472,20.275084567536481,-12.8634043,-0.0015702,27.2727280,-2.5537050,-0.2808196,4.0000000,0.9688533,1.0949410,24.0747375,-1.5304925,7.5127215
11,-12,-7.232730251150471,20.267627927536481,-12.8488464,0.0038017,43.8016510,-2.3212323,-0.1681618,4.0000000,1.1635643,1.0883219,23.2260113,-1.4998879,6.5274572
12,-12,-7.225273611150472,20.267627927536481,-12.8515043,-0.0037190,20.6611576,-2.3471775,-0.4724237,4.0000000,1.0162534,1.0926423,23.8465233,-1.9611007,7.3737302
13,-12,-7.217816971150471,20.267627927536481,-12.8541279,-0.0012397,27.2727280,-1.9264685,-0.9004197,4.0000000,0.7420238,1.0941490,23.9875126,-2.5428631,8.8067808
14,-12,-7.210360331150472,20.267627927536481,-12.8566856,0.0013223,34.7107430,-1.9844320,-0.9905682,4.0000000,0.7301292,1.0948267,24.0208569,-2.7112656,9.7429428
15,-12,-7.202903691150471,20.267627927536481,-12.8591585,0.0037190,42.1487617,-1.7884539,-1.1751219,4.0000000,0.5926151,1.0962628,24.2596321,-2.9428589,11.1596956
16,-12,-7.195447051150472,20.267627927536481,-12.8615847,-0.0038843,21.4876041,-1.8704695,-1.2288742,5.0000000,0.5555293,1.0961931,24.2325993,-3.0132778,12.0244722
17,-12,-7.187990411150471,20.267627927536481,-12.8638210,-0.0014876,27.2727280,-1.9299421,-1.1629034,4.0000000,0.5453990,1.0967863,24.2742100,-2.8712058,11.4930086
18,-12,-7.180533771150472,20.267627927536481,-12.8660412,0.0008264,33.8842964,-1.8940868,-0.8972547,4.0000000,0.6553796,1.0990329,24.5420036,-2.4498889,8.8540440
19,-12,-7.173077131150471,20.267627927536481,-12.8681459,0.0031405,40.4958687,-1.6479039,-0.7115960,4.0000000,0.6198623,1.1006688,24.7179184,-2.0430541,6.8630590
20,-12,-7.165620491150472,20.267627927536481,-12.8702202,-0.0047107,20.6611576,-1.2535312,-0.4457357,4.0000000,0.6095890,1.1026936,24.9801292,-1.5010605,4.4148993
21,-12,-7.158163851150471,20.267627927536481,-12.8722286,-0.0025620,25.6198349,-1.0023541,-0.2899776,4.0000000,0.4917649,1.1042875,25.1518879,-1.0717200,3.2574599
22,-12,-7.150707211150472,20.267627927536481,-12.8742027,-0.0004132,31.4049587,-0.7915485,-0.0125064,4.0000000,0.5520322,1.1055671,25.2647591,-0.5770451,2.3785782
23,-12,-7.143250571150471,20.267627927536481,-12.8761339,0.0016529,38.0165291,-0.1179103,0.5042494,4.0000000,0.9227583,1.1076242,25.4441509,0.0857404,2.1721601
24,-12,-7.135793931150472,20.267627927536481,-12.8781033,0.0038017,45.4545441,0.6871402,0.8904614,4.0000000,1.1207784,1.1111156,25.8312321,0.6601443,3.0609865
25,-12,-7.128337291150471,20.267627927536481,-12.8801537,-0.0040496,22.3140488,1.0087144,1.0253897,4.0000000,0.9361118,1.1136776,26.1617050,1.1146675,3.3254371
26,-12,-7.120880651150472,20.267627927536481,-12.8822460,-0.0019835,28.0991745,0.8691795,1.0499079,4.0000000,0.6074477,1.1147678,26.2682705,1.4923681,3.5948529
27,-12,-7.113424011150471,20.267627927536481,-12.8844042,0.0002479,34.7107430,0.5179814,1.0635351,4.0000000,0.3075645,1.1152983,26.2889633,1.8195056,4.4294648
28,-12,-7.105967371150472,20.267627927536481,-12.8866234,0.0023140,41.3223152,0.0790805,1.0164078,4.0000000,0.0792659,1.1141145,26.1369686,1.9535499,4.9805689
29,-12,-7.098510731150471,20.267627927536481,-12.8888531,0.0043802,47.9338837,-0.5351161,0.8207888,4.0000000,-0.1523719,1.1120715,25.9293633,1.7939495,4.8232446
30,-12,-7.091054091150472,20.267627927536481,-12.8911133,-0.0034711,24.7933884,-0.8869852,0.6111639,4.0000000,-0.2365030,1.1090757,25.6066151,1.4588308,4.3600845
31,-12,-7.083597451150471,20.267627927536481,-12.8932886,-0.0013223,30.5785122,-0.7910392,0.5601901,4.0000000,-0.0996173,1.1059196,25.2027569,1.2199974,3.8339827
32,-12,-7.076140811150472,20.267627927536481,-12.8954630,0.0009091,37.1900826,-0.2477341,0.7027919,4.0000000,0.2673113,1.1044775,25.0363331,1.1382724,3.3457701
33,-12,-7.068684171150471,20.267627927536481,-12.8976259,0.0028926,42.9752083,-0.3327827,0.6645414,4.0000000,0.4101628,1.1038464,25.0161743,0.9189200,3.4369714
34,-12,-7.061227531150472,20.267627927536481,-12.8997850,0.0049587,49.5867767,-0.8116442,0.5067373,4.0000000,0.3532209,1.1031243,24.9213715,0.6602537,3.8437288
35,-12,-7.240186891150472,20.260171287536480,-12.8479414,0.0029752,41.3223152,-1.3237911,0.0876612,4.0000000,1.0402882,1.0882663,23.2107010,-0.8649658,3.8699527
36,-12,-7.232730251150471,20.260171287536480,-12.8506575,-0.0043802,19.0082645,-1.7053772,-0.1214559,4.0000000,0.9103863,1.0919660,23.7109718,-1.1532981,4.8588986
37,-12,-7.225273611150472,20.260171287536480,-12.8534231,-0.0019008,25.6198349,-1.6609023,-0.5705975,4.0000000,0.6378324,1.0955423,24.1842918,-1.7790275,6.0288525
38,-12,-7.217816971150471,20.260171287536480,-12.8561707,0.0007438,33.0578499,-1.0959413,-1.0472533,4.0000000,0.3474415,1.0963649,24.2091866,-2.4419482,8.0936480
39,-12,-7.210360331150472,20.260171287536480,-12.8588343,0.0033884,41.3223152,-1.1667678,-1.1976787,4.0000000,0.3355021,1.0963235,24.1901531,-2.7308595,9.8816109
40,-12,-7.202903691150471,20.260171287536480,-12.8614197,-0.0041322,21.4876041,-0.7289786,-1.4811568,4.0000000,0.2023301,1.0977145,24.4367256,-3.1646438,12.4128332
41,-12,-7.195447051150472,20.260171287536480,-12.8639555,-0.0016529,27.2727280,-0.8234914,-1.5905230,5.0000000,0.2366368,1.0975910,24.3181419,-3.4176826,14.2064095
42,-12,-7.187990411150471,20.260171287536480,-12.8663263,0.0008264,33.8842964,-1.1096467,-1.5497341,5.0000000,0.3235223,1.0980787,24.3534298,-3.4229903,14.3070183
43,-12,-7.180533771150472,20.260171287536480,-12.8686590,0.0032231,41.3223152,-1.5114707,-1.3363858,4.0000000,0.4774569,1.1000932,24.6453915,-3.1502285,12.4388056
44,-12,-7.173077131150471,20.260171287536480,-12.8708696,-0.0043802,21.4876041,-1.4918727,-1.2195660,4.0000000,0.4756317,1.1012998,24.7707443,-2.9147637,11.0190563
45,-12,-7.165620491150472,20.260171287536480,-12.8730087,-0.0021488,27.2727280,-1.4060385,-0.9341598,4.0000000,0.5252634,1.1036417,25.0657787,-2.3935831,7.9239321
46,-12,-7.158163851150471,20.260171287536480,-12.8751011,0.0000826,33.0578499,-1.1909631,-0.7449200,4.0000000,0.4637095,1.1060511,25.3383293,-1.9535496,5.9210854
47,-12,-7.150707211150472,20.260171287536480,-12.8771334,0.0023140,39.6694221,-1.0697987,-0.4503775,4.0000000,0.5332457,1.1082251,25.5171070,-1.4340007,3.9713147
48,-12,-7.143250571150471,20.260171287536480,-12.8791294,0.0044628,47.1074371,-0.7373965,0.0875170,4.0000000,0.8873120,1.1108946,25.7857819,-0.7122781,2.4236648
49,-12,-7.135793931150472,20.260171287536480,-12.8811274,-0.0033884,23.9669418,-0.1333306,0.4704442,4.0000000,1.0327392,1.1146705,26.2614040,-0.0918508,2.1799223
50,-12,-7.128337291150471,20.260171287536480,-12.8831911,-0.0012397,29.7520657,0.2947874,0.6230738,4.0000000,0.8036858,1.1178237,26.6027451,0.4424617,1.6992059
51,-12,-7.120880651150472,20.260171287536480,-12.8852768,0.0009091,36.3636360,0.3579628,0.7310696,4.0000000,0.4702467,1.1191174,26.6741409,0.9918925,2.0068102
52,-12,-7.113424011150471,20.260171287536480,-12.8874054,0.0031405,43.8016510,0.1833761,0.8734736,4.0000000,0.2002503,1.1189706,26.6789494,1.5466969,3.4715168
53,-12,-7.105967371150472,20.260171287536480,-12.8895655,0.0052066,50.4132233,-0.0103534,0.9921730,4.0000000,0.0668132,1.1170348,26.4657078,1.9175327,5.0281172
54,-12,-7.098510731150471,20.260171287536480,-12.8917208,-0.0027273,27.2727280,-0.4222781,0.9446067,4.0000000,-0.0686246,1.1150811,26.2678223,1.9578379,5.6663671
55,-12,-7.091054091150472,20.260171287536480,-12.8939295,-0.0005785,33.0578499,-0.6574831,0.8519684,4.0000000,-0.0854734,1.1128818,26.0217018,1.7894102,5.5264268
56,-12,-7.083597451150471,20.260171287536480,-12.8960981,0.0015702,39.6694221,-0.5803046,0.8042581,4.0000000,0.0366330,1.1105291,25.7348175,1.5718833,4.9848661
57,-12,-7.076140811150472,20.260171287536480,-12.8982534,0.0037190,46.2809906,0.0106981,0.9031832,4.0000000,0.3575588,1.1096934,25.6761875,1.4488076,4.3606582
58,-12,-7.068684171150471,20.260171287536480,-12.9004145,-0.0042975,22.3140488,-0.1422560,0.7943364,4.0000000,0.4194097,1.1098890,25.7635574,1.1692630,3.9387665
59,-12,-7.061227531150472,20.260171287536480,-12.9025803,-0.0022314,27.2727280,-0.6099550,0.5858459,4.0000000,0.3162516,1.1099771,25.7699661,0.8554402,3.7673411
60,-12,-7.053770891150471,20.260171287536480,-12.9047117,-0.0001653,33.0578499,-0.7533404,0.4261489,4.0000000,0.2460997,1.1094133,25.7276268,0.6061982,3.3067045
61,-12,-7.046314251150472,20.260171287536480,-12.9068050,0.0018182,39.6694221,-0.9690238,0.1743843,4.0000000,0.0710673,1.1095691,25.7874012,0.2777012,3.1131017
62,-12,-7.038857611150471,20.260171287536480,-12.9088945,0.0037190,45.4545441,-0.7484314,0.0383184,4.0000000,0.0104174,1.1088092,25.6919231,0.0662194,2.2776461
63,-12,-7.031400971150472,20.260171287536480,-12.9108610,-0.0043802,22.3140488,-0.5053113,-0.1238149,4.0000000,-0.0729226,1.1085448,25.6960659,-0.1747072,1.6189623
64,-12,-7.232730251150471,20.252714647536479,-12.8524542,-0.0027273,23.9669418,-1.0618709,-0.0927661,4.0000000,0.6020629,1.0947450,24.0767574,-0.7875952,3.0615819
65,-12,-7.225273611150472,20.252714647536479,-12.8552837,-0.0001653,31.4049587,-0.8979017,-0.5597332,4.0000000,0.3241342,1.0974778,24.4091454,-1.4436007,3.9480798
66,-12,-7.217816971150471,20.252714647536479,-12.8581095,0.0026446,39.6694221,-0.4531049,-0.9878692,4.0000000,0.0702548,1.0974280,24.3472214,-2.0459933,5.9499431
67,-12,-7.210360331150472,20.252714647536479,-12.8608465,-0.0046281,19.8347111,-0.6569704,-1.1477208,4.0000000,0.0746291,1.0969603,24.2647095,-2.3700707,8.1584063
68,-12,-7.202903691150471,20.252714647536479,-12.8635387,-0.0020661,26.4462814,-0.3534661,-1.4910816,4.0000000,0.0004972,1.0984540,24.4575729,-2.9826605,11.7620106
69,-12,-7.195447051150472,20.252714647536479,-12.8662090,0.0004959,33.0578499,-0.8343078,-1.6033599,4.0000000,0.1756799,1.0975833,24.2486725,-3.3823998,14.5103941
70,-12,-7.187990411150471,20.252714647536479,-12.8686819,0.0030579,40.4958687,-1.3945233,-1.6172781,5.0000000,0.3588620,1.0976135,24.2951546,-3.5934184,16.0728397
71,-12,-7.180533771150472,20.252714647536479,-12.8711367,-0.0044628,21.4876041,-1.9184136,-1.4800372,5.0000000,0.5400044,1.0999960,24.6286068,-3.5000787,15.4250774
72,-12,-7.173077131150471,20.252714647536479,-12.8734732,-0.0019835,27.2727280,-1.8456531,-1.4401013,4.0000000,0.5299589,1.1013722,24.7242298,-3.4101615,14.7077732
73,-12,-7.165620491150472,20.252714647536479,-12.8757210,0.0004132,33.8842964,-1.7365990,-1.1864805,4.0000000,0.5610429,1.1044494,25.1153374,-2.9340038,11.3404322
74,-12,-7.158163851150471,20.252714647536479,-12.8779392,0.0027273,40.4958687,-1.4273486,-1.0289321,4.0000000,0.4825943,1.1074339,25.4136810,-2.5404584,8.9447908
75,-12,-7.150707211150472,20.252714647536479,-12.8800688,-0.0049587,20.6611576,-1.3910911,-0.7332690,4.0000000,0.5723451,1.1096213,25.6437206,-2.0388832,6.4040437
76,-12,-7.143250571150471,20.252714647536479,-12.8821459,-0.0027273,25.6198349,-1.3378348,-0.2341158,4.0000000,0.9203731,1.1126822,25.9994469,-1.3886048,4.1769323
77,-12,-7.135793931150472,20.252714647536479,-12.8842096,-0.0005785,31.4049587,-0.9044013,0.0527515,4.0000000,0.9844378,1.1174229,26.5617752,-0.8789347,2.9803996
78,-12,-7.128337291150471,20.252714647536479,-12.8863382,0.0015702,38.0165291,-0.3561063,0.1581408,4.0000000,0.6866556,1.1215146,26.9864140,-0.3703739,1.4372144
79,-12,-7.120880651150472,20.252714647536479,-12.8884544,0.0037190,45.4545441,-0.1009593,0.2682511,4.0000000,0.2949610,1.1230423,27.1415043,0.2415411,0.7980906
80,-12,-7.113424011150471,20.252714647536479,-12.8905525,-0.0040496,23.9669418,-0.1811112,0.4184200,4.0000000,-0.0492190,1.1230721,27.1908302,0.8860590,1.4365017
81,-12,-7.105967371150472,20.252714647536479,-12.8926582,-0.0019835,29.7520657,-0.2848324,0.6263956,4.0000000,-0.1629633,1.1214094,26.9847088,1.4157546,2.7487037
82,-12,-7.098510731150471,20.252714647536479,-12.8947630,0.0000826,35.5371895,-0.4297102,0.6723431,4.0000000,-0.2388040,1.1197814,26.8110332,1.5834903,3.4232347
