OID_,ClipsFinal_DEM_Large_S3_RegI,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-5.569899531150471,22.534446487536478,-12.7604275,-0.0047107,25.6198349,-1.4800340,0.2311455,4.0000000,-0.4224523,1.1380719,28.5747204,0.8847433,5.1239152
2,-12,-5.562442891150471,22.534446487536478,-12.7619143,-0.0030579,29.7520657,-0.3799929,0.6153659,4.0000000,0.0383791,1.1375048,28.5342426,1.1923528,3.2746422
3,-12,-5.554986251150471,22.534446487536478,-12.7634134,-0.0014050,33.8842964,0.2767793,0.8555933,4.0000000,0.3015439,1.1380291,28.6275539,1.4096426,3.2775915
4,-12,-5.577356171150471,22.526989847536477,-12.7625742,-0.0027273,30.5785122,-0.4802381,-0.5712395,4.0000000,-0.7135568,1.1424614,29.0129814,-0.4289222,4.0676947
5,-12,-5.569899531150471,22.526989847536477,-12.7642202,-0.0010744,34.7107430,-0.3332478,-0.4486738,4.0000000,-0.6737895,1.1416085,28.9127407,-0.2235582,2.7225916
6,-12,-5.562442891150471,22.526989847536477,-12.7657194,0.0005785,38.8429756,-0.1097503,-0.0928093,4.0000000,-0.2595049,1.1415818,28.9011211,0.0738863,0.4651046
7,-12,-5.554986251150471,22.526989847536477,-12.7672443,0.0022314,42.9752083,0.0064617,0.1514100,4.0000000,0.0231180,1.1422760,28.9899006,0.2797019,0.1034594
8,-12,-5.547529611150471,22.526989847536477,-12.7687769,0.0038017,47.1074371,0.0054670,0.1875190,4.0000000,0.0401253,1.1416942,28.9306545,0.3349127,0.1771889
9,-12,-5.540072971150471,22.526989847536477,-12.7703104,-0.0047107,25.6198349,-0.0113370,0.1400157,4.0000000,-0.0234888,1.1412215,28.8938618,0.3035201,0.1357312
10,-12,-5.532616331150471,22.526989847536477,-12.7718830,-0.0032231,28.9256191,-0.0416790,0.0411611,4.0000000,-0.1652483,1.1405015,28.8447342,0.2475704,0.1429529
11,-12,-5.525159691150471,22.526989847536477,-12.7734003,-0.0017355,33.0578499,-0.1574565,-0.1720481,4.0000000,-0.5845743,1.1388885,28.6971169,0.2404781,0.8823797
12,-12,-5.517703051150471,22.526989847536477,-12.7748880,-0.0003306,36.3636360,-0.2006058,-0.1215247,4.0000000,-0.5855067,1.1362276,28.4258881,0.3424573,0.8930008
13,-12,-5.510246411150471,22.526989847536477,-12.7762890,0.0010744,39.6694221,-0.2698882,-0.1315023,4.0000000,-0.6656043,1.1333677,28.1562176,0.4025997,1.1580780
14,-12,-5.502789771150471,22.526989847536477,-12.7777176,0.0024793,43.8016510,-0.2837089,-0.1351125,4.0000000,-0.6784203,1.1306120,27.8982944,0.4081953,1.2014623
15,-12,-5.584812811150471,22.519533207536480,-12.7645464,-0.0008264,34.7107430,0.5947735,-0.9087055,4.0000000,-0.5641518,1.1433142,29.1191959,-1.2532592,3.1594181
16,-12,-5.577356171150471,22.519533207536480,-12.7663221,0.0009091,39.6694221,1.1567093,-1.1897470,4.0000000,-0.9410957,1.1428535,29.0408878,-1.4383982,5.3643746
17,-12,-5.569899531150471,22.519533207536480,-12.7680225,0.0025620,43.8016510,1.1174049,-1.1376517,4.0000000,-0.8614763,1.1411871,28.8224602,-1.4138269,4.5865712
