OID_,ClipsFinal_DEM_Large_S3_RegL2,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-3.288167691150471,19.059652247536480,-13.0051222,-0.0002479,28.0991745,-17.2138596,-0.6667669,3.0000000,-3.7318075,1.0505333,17.8129730,2.3982735,45.1628838
2,-13,-3.280711051150471,19.059652247536480,-13.0067663,0.0013223,34.7107430,-14.8613157,-0.7918064,3.0000000,-3.6687760,1.0385907,15.6097393,2.0851631,38.3137169
3,-13,-3.273254411150471,19.059652247536480,-13.0081358,0.0028099,42.1487617,-11.2998571,-0.6929101,3.0000000,-3.3136356,1.0294415,13.6441736,1.9278153,27.9885731
4,-13,-3.295624331150471,19.052195607536479,-13.0052509,-0.0000826,31.4049587,-16.0135002,-0.4820232,4.0000000,-4.2393422,1.0593840,19.2695427,3.2752960,42.7993584
5,-13,-3.288167691150471,19.052195607536479,-13.0068560,0.0013223,37.1900826,-15.9052439,-0.8233048,4.0000000,-4.4734492,1.0470154,17.1926785,2.8268394,42.9101028
6,-13,-3.280711051150471,19.052195607536479,-13.0082617,0.0027273,43.8016510,-14.1751194,-0.8304801,4.0000000,-4.3006454,1.0360378,15.0883875,2.6396849,36.7993774
7,-13,-3.273254411150471,19.052195607536479,-13.0094614,0.0040496,51.2396698,-11.4032640,-0.6439564,4.0000000,-3.8142393,1.0277307,13.2217913,2.5263264,27.7632523
8,-13,-3.265797771150471,19.052195607536479,-13.0105410,-0.0047934,0.0000000,-8.9621210,-0.6405084,4.0000000,-3.4143848,1.0218735,11.8444796,2.1333680,21.6740398
9,-13,-3.258341131150471,19.052195607536479,-13.0115061,-0.0038017,0.0000000,-7.6069021,-0.9170392,4.0000000,-3.5243504,1.0165329,10.3116169,1.6902719,20.1690598
10,-13,-3.250884491150471,19.052195607536479,-13.0122805,-0.0028926,0.0000000,-6.6380100,-1.2388924,4.0000000,-3.8422890,1.0119898,8.7915068,1.3645041,20.6799355
11,-13,-3.243427851150471,19.052195607536479,-13.0129118,-0.0022314,0.0000000,-6.4218683,-1.6879061,4.0000000,-4.5074472,1.0082800,7.2984209,1.1316351,25.3645267
12,-13,-3.235971211150471,19.052195607536479,-13.0133314,-0.0016529,0.0000000,-6.5075192,-1.8845776,4.0000000,-5.0540366,1.0048991,5.4394021,1.2848811,27.9381733
13,-13,-3.228514571150471,19.052195607536479,-13.0134373,-0.0011570,0.0000000,-6.0115781,-1.4137179,5.0000000,-3.2923009,1.0027413,4.0572863,0.4648654,20.2734756
14,-13,-3.221057931150471,19.052195607536479,-13.0133820,-0.0007438,0.0000000,-4.9554706,-0.6198212,4.0000000,-0.5378218,1.0017180,3.2043893,-0.7018207,11.5188932
15,-13,-3.213601291150471,19.052195607536479,-13.0132389,-0.0004132,0.0000000,-3.8452461,-0.0751425,4.0000000,1.2250614,1.0010933,2.5526714,-1.3753464,7.7429962
16,-12,-3.437300491150471,19.044738967536482,-12.9795218,0.0039669,45.4545441,-1.0538384,-1.2358168,4.0000000,0.2878184,1.1142471,26.2422161,-2.7594521,10.4264936
17,-12,-3.429843851150471,19.044738967536482,-12.9809027,-0.0045455,23.1404953,0.0821001,-1.1144302,4.0000000,-0.1242405,1.1174333,26.5674725,-2.1046197,6.1277733
18,-12,-3.422387211150471,19.044738967536482,-12.9822550,-0.0031405,27.2727280,0.3707993,-0.9380605,4.0000000,-0.2856218,1.1193641,26.7495880,-1.5904993,3.5958145
19,-12,-3.414930571150471,19.044738967536482,-12.9835606,-0.0017355,31.4049587,0.3369177,-0.7767652,4.0000000,-0.3253344,1.1200010,26.7922974,-1.2281960,2.2996922
