OID_,ClipsFinal_DEM_Large_S3_RegO,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.399207051150471,20.588263447536477,-13.1350527,0.0004959,45.4545441,-1.5890056,0.8681280,4.0000000,-0.2772826,1.6665025,53.1913643,2.0135386,28.9530563
2,-13,-4.391750411150471,20.588263447536477,-13.1370945,0.0019835,47.1074371,-1.9230431,0.3574300,4.0000000,-0.7822585,1.6727645,53.3719940,1.4971185,31.7340813
3,-13,-4.384293771150471,20.588263447536477,-13.1388264,0.0033058,48.7603302,-1.6360670,-0.1488804,4.0000000,-1.2606454,1.6737020,53.3798294,0.9628846,44.5521164
4,-13,-4.376837131150471,20.588263447536477,-13.1402369,-0.0054545,41.3223152,-0.7043380,-0.5185727,4.0000000,-1.4281991,1.6709929,53.2863617,0.3910536,47.3976097
5,-13,-4.369380491150471,20.588263447536477,-13.1412315,-0.0048760,42.1487617,0.2108771,-0.8875706,4.0000000,-1.6288748,1.6657733,53.1589165,-0.1462665,57.5804253
6,-13,-4.361923851150471,20.588263447536477,-13.1418238,-0.0044628,42.1487617,0.9614049,-1.0979302,4.0000000,-1.5887003,1.6606889,53.0194016,-0.6071600,54.3368149
7,-13,-4.354467211150471,20.588263447536477,-13.1419001,-0.0043802,42.1487617,1.1419672,-1.1061705,5.0000000,-1.2451216,1.6556753,52.8838387,-0.9672196,35.6201553
8,-13,-4.347010571150471,20.588263447536477,-13.1416607,-0.0043802,42.1487617,0.8628701,-1.0265698,4.0000000,-0.7876086,1.6489168,52.6734657,-1.2655312,18.8177452
9,-13,-4.339553931150471,20.588263447536477,-13.1412468,-0.0046281,42.1487617,0.8187256,-1.0814630,4.0000000,-0.6566423,1.6402907,52.4141197,-1.5062838,16.9334297
10,-13,-4.414120331150471,20.580806807536479,-13.1405849,-0.0044628,40.4958687,-2.0382111,0.3780143,4.0000000,-0.4506741,1.6840243,53.7096367,1.2067026,33.2344780
11,-13,-4.406663691150471,20.580806807536479,-13.1428337,-0.0023140,42.9752083,-0.8446816,0.2543911,4.0000000,-0.3407813,1.6893389,53.8801041,0.8495635,14.0407305
12,-13,-4.399207051150471,20.580806807536479,-13.1449738,-0.0002479,45.4545441,-0.3345237,-0.0996275,4.0000000,-0.4867766,1.6924251,53.9781532,0.2875216,9.2199125
13,-13,-4.391750411150471,20.580806807536479,-13.1470776,0.0012397,47.1074371,0.2583401,-0.6563037,4.0000000,-0.9756677,1.6894357,53.8799019,-0.3369397,24.1805115
14,-13,-4.384293771150471,20.580806807536479,-13.1488466,0.0025620,48.7603302,1.3723493,-1.1965967,4.0000000,-1.4314450,1.6796464,53.6054611,-0.9617485,49.6562805
15,-13,-4.376837131150471,20.580806807536479,-13.1502209,-0.0061983,40.4958687,2.4446173,-1.5703944,4.0000000,-1.5370667,1.6667992,53.2718849,-1.6037221,59.1640968
16,-13,-4.369380491150471,20.580806807536479,-13.1511497,-0.0057025,40.4958687,3.6094074,-1.9302803,4.0000000,-1.6849766,1.6548468,52.9458542,-2.1755841,73.2037659
17,-13,-4.361923851150471,20.580806807536479,-13.1516666,-0.0053719,40.4958687,4.0995855,-2.0956755,5.0000000,-1.6382935,1.6465001,52.6984138,-2.5530574,73.1683121
18,-13,-4.354467211150471,20.580806807536479,-13.1516657,-0.0052893,40.4958687,3.4396844,-2.0068183,4.0000000,-1.3146329,1.6407014,52.5420914,-2.6990037,55.4333534
19,-13,-4.347010571150471,20.580806807536479,-13.1513491,-0.0052893,40.4958687,2.0723813,-1.7441145,4.0000000,-0.8261148,1.6351506,52.3776169,-2.6621144,34.0312309
20,-13,-4.339553931150471,20.580806807536479,-13.1508265,-0.0054545,40.4958687,1.4759665,-1.5611866,4.0000000,-0.6550432,1.6280854,52.1720161,-2.4673300,26.2314720
21,-13,-4.332097291150471,20.580806807536479,-13.1501808,-0.0060331,40.4958687,1.6223426,-1.4717630,4.0000000,-0.8192665,1.6210417,51.9642754,-2.1242595,25.7898712
22,-13,-4.324640651150471,20.580806807536479,-13.1493483,0.0031405,49.5867767,1.7690693,-1.3925862,4.0000000,-1.0739402,1.6176631,51.8525085,-1.7112323,29.3844204
23,-13,-4.317184011150471,20.580806807536479,-13.1481943,0.0019835,47.9338837,1.3503412,-1.1704115,4.0000000,-1.1319586,1.6193554,51.8931999,-1.2088643,27.2814121
24,-13,-4.309727371150471,20.580806807536479,-13.1467781,0.0004959,46.2809906,0.6377821,-0.8162619,4.0000000,-0.9829983,1.6253155,52.0614586,-0.6495254,19.0169277
25,-13,-4.302270731150471,20.580806807536479,-13.1451168,-0.0009917,44.6280975,0.0270554,-0.3593146,4.0000000,-0.6058986,1.6340791,52.3038559,-0.1127305,7.6472430
