OID_,ClipsFinal_DEM_Large_S3_RegB,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-3.907068811150472,17.985896087536482,-13.0567923,0.0014050,37.1900826,-0.1307960,-0.0823572,4.0000000,0.2492786,1.0465827,17.1624565,-0.4139930,0.3356305
2,-13,-3.899612171150472,17.985896087536482,-13.0545034,-0.0004132,28.0991745,-0.1498246,-0.0541031,4.0000000,0.2671151,1.0472400,17.2799988,-0.3753214,0.3678898
3,-13,-3.944352011150472,17.978439447536481,-13.0682516,0.0028099,42.9752083,-0.0947910,-0.2263012,4.0000000,0.1387734,1.0417893,16.2856770,-0.5913758,0.4341736
4,-13,-3.936895371150472,17.978439447536481,-13.0660887,0.0009091,33.8842964,-0.0944541,-0.2087180,4.0000000,0.1575141,1.0430592,16.5240726,-0.5749500,0.4008301
5,-13,-3.929438731150472,17.978439447536481,-13.0638933,-0.0009091,24.7933884,-0.0977952,-0.1881969,4.0000000,0.1766431,1.0442485,16.7423820,-0.5530369,0.3742405
6,-13,-3.921982091150472,17.978439447536481,-13.0616655,-0.0031405,15.7024794,-0.1051592,-0.1665850,4.0000000,0.1955323,1.0453498,16.9420776,-0.5287023,0.3596133
7,-13,-3.914525451150472,17.978439447536481,-13.0594101,0.0041322,47.9338837,-0.1155576,-0.1406119,4.0000000,0.2145313,1.0463473,17.1228104,-0.4957550,0.3515755
8,-13,-3.907068811150472,17.978439447536481,-13.0571280,0.0017355,38.8429756,-0.1302933,-0.1137738,4.0000000,0.2334570,1.0472438,17.2793941,-0.4610046,0.3595301
9,-13,-3.899612171150472,17.978439447536481,-13.0548220,-0.0001653,29.7520657,-0.1479640,-0.0848399,4.0000000,0.2512966,1.0480198,17.4156609,-0.4209763,0.3801081
10,-13,-3.892155531150472,17.978439447536481,-13.0524960,-0.0019835,20.6611576,-0.1681874,-0.0528585,4.0000000,0.2680411,1.0486689,17.5298023,-0.3737580,0.4137055
11,-13,-3.884698891150472,17.978439447536481,-13.0501528,-0.0047107,11.5702477,-0.1906600,-0.0171464,4.0000000,0.2845516,1.0491676,17.6156178,-0.3188444,0.4621183
12,-13,-3.951808651150472,17.970982807536483,-13.0707626,-0.0042975,8.2644625,-0.0968111,-0.2699991,4.0000000,0.1055087,1.0404475,16.0304661,-0.6455070,0.5324793
13,-13,-3.944352011150472,17.970982807536483,-13.0686369,0.0032231,44.6280975,-0.0923466,-0.2570809,4.0000000,0.1217643,1.0418779,16.3032017,-0.6359262,0.4931115
14,-13,-3.936895371150472,17.970982807536483,-13.0664721,0.0012397,35.5371895,-0.0916182,-0.2396173,4.0000000,0.1393827,1.0432607,16.5605259,-0.6186172,0.4543560
15,-13,-3.929438731150472,17.970982807536483,-13.0642710,-0.0005785,26.4462814,-0.0944136,-0.2190031,4.0000000,0.1576664,1.0445523,16.7984695,-0.5956726,0.4206383
16,-13,-3.921982091150472,17.970982807536483,-13.0620365,-0.0027273,17.3553715,-0.1024374,-0.1978505,4.0000000,0.1772555,1.0457639,17.0159149,-0.5729566,0.4022247
17,-13,-3.914525451150472,17.970982807536483,-13.0597696,0.0045455,49.5867767,-0.1131648,-0.1727924,4.0000000,0.1963432,1.0468822,17.2163830,-0.5419281,0.3888832
18,-13,-3.907068811150472,17.970982807536483,-13.0574741,0.0020661,40.4958687,-0.1278284,-0.1452736,4.0000000,0.2158678,1.0478821,17.3926926,-0.5064150,0.3879658
19,-13,-3.899612171150472,17.970982807536483,-13.0551529,0.0000826,31.4049587,-0.1447397,-0.1149894,4.0000000,0.2345731,1.0487732,17.5466709,-0.4645520,0.3971742
20,-13,-3.892155531150472,17.970982807536483,-13.0528078,-0.0017355,22.3140488,-0.1644680,-0.0833002,4.0000000,0.2519064,1.0495428,17.6794395,-0.4185068,0.4210732
21,-13,-3.884698891150472,17.970982807536483,-13.0504427,-0.0044628,13.2231407,-0.1861374,-0.0472136,4.0000000,0.2691894,1.0501562,17.7848263,-0.3636167,0.4577376
22,-13,-3.877242251150472,17.970982807536483,-13.0480623,0.0028099,42.1487617,-0.2099585,-0.0108659,4.0000000,0.2854977,1.0506284,17.8653259,-0.3072294,0.5117708
23,-13,-3.959265291150472,17.963526167536482,-13.0732403,-0.0016529,19.0082645,-0.1022167,-0.3082663,4.0000000,0.0774623,1.0388899,15.7283936,-0.6939949,0.6402709
24,-13,-3.951808651150472,17.963526167536482,-13.0711565,-0.0038843,9.9173555,-0.0931852,-0.2974119,4.0000000,0.0906582,1.0404439,16.0291767,-0.6854821,0.5918488
25,-13,-3.944352011150472,17.963526167536482,-13.0690308,0.0035537,46.2809906,-0.0895719,-0.2848943,4.0000000,0.1070395,1.0419649,16.3187733,-0.6768281,0.5523990
26,-13,-3.936895371150472,17.963526167536482,-13.0668640,0.0014876,37.1900826,-0.0885689,-0.2694120,4.0000000,0.1232202,1.0434467,16.5947094,-0.6620441,0.5134046
