OID_,ClipsFinal_DEM_Large_S3_RegC,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.018108171150472,18.500404247536480,-13.2857418,0.0004132,33.0578499,0.3536930,-0.9189964,4.0000000,-1.2571198,1.0516648,18.0457897,-0.5808730,3.4335673
2,-13,-5.010651531150472,18.500404247536480,-13.2858734,0.0005785,33.8842964,0.4029737,-0.9122316,4.0000000,-1.3085346,1.0527964,18.2354298,-0.5159286,3.2965000
3,-13,-5.003194891150472,18.500404247536480,-13.2859182,0.0005785,33.8842964,0.4399456,-0.9026563,5.0000000,-1.3422071,1.0539175,18.4196625,-0.4631056,3.1564865
4,-13,-4.995738251150472,18.500404247536480,-13.2858763,0.0004959,33.8842964,0.4632351,-0.8901202,4.0000000,-1.3583670,1.0550237,18.5973988,-0.4218735,3.0158770
5,-13,-4.988281611150472,18.500404247536480,-13.2857456,0.0004132,33.8842964,0.4738500,-0.8725895,4.0000000,-1.3524966,1.0561030,18.7721481,-0.3926823,2.8537576
6,-13,-4.980824971150472,18.500404247536480,-13.2855291,0.0002479,33.0578499,0.4711086,-0.8502166,4.0000000,-1.3281690,1.0571616,18.9414806,-0.3722642,2.6767850
7,-13,-4.973368331150472,18.500404247536480,-13.2852278,-0.0000826,32.2314034,0.4596739,-0.8255250,4.0000000,-1.2908552,1.0582095,19.1058655,-0.3601948,2.4995463
8,-13,-4.965911691150472,18.500404247536480,-13.2848434,-0.0004959,30.5785122,0.4401135,-0.7976698,4.0000000,-1.2405728,1.0592331,19.2630844,-0.3547668,2.3158085
9,-13,-4.958455051150472,18.500404247536480,-13.2843790,-0.0009091,28.9256191,0.4121996,-0.7658703,4.0000000,-1.1789287,1.0602194,19.4157887,-0.3528119,2.1242845
10,-13,-5.047934731150472,18.492947607536482,-13.2865982,0.0009091,33.8842964,0.2308017,-1.0193297,4.0000000,-0.8911960,1.0460149,17.0670528,-1.1474633,4.3776479
11,-13,-5.040478091150472,18.492947607536482,-13.2871161,0.0014050,36.3636360,0.3355209,-1.0255871,4.0000000,-1.0171268,1.0471284,17.2644787,-1.0340475,4.2592921
12,-13,-5.033021451150472,18.492947607536482,-13.2875490,0.0019008,38.8429756,0.4318513,-1.0303178,4.0000000,-1.1298807,1.0482283,17.4581661,-0.9307548,4.1430445
13,-13,-5.025564811150472,18.492947607536482,-13.2878933,0.0022314,40.4958687,0.5140157,-1.0309350,4.0000000,-1.2262138,1.0493231,17.6484470,-0.8356562,4.0155392
14,-13,-5.018108171150472,18.492947607536482,-13.2881489,0.0025620,42.1487617,0.5781167,-1.0266047,4.0000000,-1.3010888,1.0504180,17.8355732,-0.7521205,3.8744521
15,-13,-5.010651531150472,18.492947607536482,-13.2883129,0.0027273,42.9752083,0.6291212,-1.0195525,4.0000000,-1.3582014,1.0515130,18.0197849,-0.6809034,3.7303336
16,-13,-5.003194891150472,18.492947607536482,-13.2883873,0.0027273,42.9752083,0.6667284,-1.0096939,5.0000000,-1.3960223,1.0526026,18.2016354,-0.6233655,3.5821950
17,-13,-4.995738251150472,18.492947607536482,-13.2883692,0.0026446,42.9752083,0.6859875,-0.9945959,4.0000000,-1.4134505,1.0536857,18.3821259,-0.5757414,3.4187212
18,-13,-4.988281611150472,18.492947607536482,-13.2882605,0.0025620,42.9752083,0.6923537,-0.9750116,4.0000000,-1.4077191,1.0547762,18.5585213,-0.5423040,3.2333393
19,-13,-4.980824971150472,18.492947607536482,-13.2880611,0.0023967,42.1487617,0.6820284,-0.9500787,4.0000000,-1.3830265,1.0558629,18.7323380,-0.5171309,3.0321040
20,-13,-4.973368331150472,18.492947607536482,-13.2877750,0.0021488,41.3223152,0.6630358,-0.9232233,4.0000000,-1.3457007,1.0569346,18.9033852,-0.5007457,2.8327775
21,-13,-4.965911691150472,18.492947607536482,-13.2874022,0.0018182,39.6694221,0.6322255,-0.8918170,4.0000000,-1.2942449,1.0579925,19.0710049,-0.4893892,2.6213627
22,-13,-4.958455051150472,18.492947607536482,-13.2869463,0.0014050,38.0165291,0.5938785,-0.8567739,4.0000000,-1.2302977,1.0590315,19.2334270,-0.4832500,2.4000108
23,-13,-4.950998411150472,18.492947607536482,-13.2864094,0.0009091,36.3636360,0.5464541,-0.8170491,4.0000000,-1.1567808,1.0600499,19.3898487,-0.4773174,2.1700127
24,-13,-4.943541771150472,18.492947607536482,-13.2857971,0.0002479,33.8842964,0.4974719,-0.7762319,4.0000000,-1.0796396,1.0610439,19.5403347,-0.4728243,1.9486108
25,-13,-4.936085131150472,18.492947607536482,-13.2851114,-0.0004132,31.4049587,0.4443182,-0.7322510,4.0000000,-0.9987730,1.0619946,19.6855659,-0.4657290,1.7294184
26,-13,-4.928628491150472,18.492947607536482,-13.2843580,-0.0012397,28.0991745,0.3914768,-0.6865238,4.0000000,-0.9144556,1.0628997,19.8220367,-0.4585920,1.5152010
27,-13,-4.921171851150472,18.492947607536482,-13.2835398,-0.0019008,25.6198349,0.3398289,-0.6409645,4.0000000,-0.8326291,1.0637543,19.9492683,-0.4492999,1.3212206
28,-13,-5.070304651150472,18.485490967536482,-13.2865877,0.0007438,30.5785122,0.0625467,-1.0864067,4.0000000,-0.4677576,1.0419185,16.3136234,-1.7050560,5.1688714
