OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,,-3.288167691150471,19.059652247536480,-13.0031872,-0.0023140,1.6528926,-1.5606691,-0.3200840,4.0000000,-1.3242300,1.0170280,10.5014801,0.6840619,3.8258212
2,,-3.280711051150471,19.059652247536480,-13.0041628,-0.0014876,3.3057852,-1.5808723,-0.3707469,4.0000000,-1.3860881,1.0149326,9.8385191,0.6445944,3.9866052
3,,-3.273254411150471,19.059652247536480,-13.0050716,-0.0006612,5.7851238,-1.5781089,-0.4169945,4.0000000,-1.4394280,1.0129051,9.1525717,0.6054390,4.1011701
4,,-3.295624331150471,19.052195607536479,-13.0031691,-0.0022314,3.3057852,-1.4175050,-0.3603920,3.0000000,-1.4352061,1.0184362,10.9212894,0.7144221,3.6717765
5,,-3.288167691150471,19.052195607536479,-13.0041447,-0.0014876,4.9586778,-1.4553009,-0.4076026,3.0000000,-1.5038905,1.0162830,10.2711992,0.6886852,3.8769567
6,,-3.280711051150471,19.052195607536479,-13.0050573,-0.0006612,7.4380164,-1.4697280,-0.4509573,3.0000000,-1.5625376,1.0141976,9.5968027,0.6606230,4.0315623
7,,-3.273254411150471,19.052195607536479,-13.0059032,0.0001653,10.7438021,-1.4654946,-0.4897943,3.0000000,-1.6129601,1.0122033,8.9004803,0.6333716,4.1406488
8,,-3.265797771150471,19.052195607536479,-13.0066805,0.0009091,14.0495872,-1.4433173,-0.5229625,4.0000000,-1.6538624,1.0103363,8.1936359,0.6079373,4.1986260
9,,-3.258341131150471,19.052195607536479,-13.0073872,0.0015702,18.1818180,-1.4017088,-0.5505801,4.0000000,-1.6852816,1.0086012,7.4759369,0.5841214,4.2001033
10,,-3.250884491150471,19.052195607536479,-13.0080204,0.0022314,23.1404953,-1.3516293,-0.5724713,4.0000000,-1.7102845,1.0070219,6.7556262,0.5653418,4.1652541
11,,-3.243427851150471,19.052195607536479,-13.0085812,0.0028099,28.0991745,-1.2855223,-0.5870943,4.0000000,-1.7250079,1.0056129,6.0380650,0.5508193,4.0692520
12,,-3.235971211150471,19.052195607536479,-13.0090675,0.0033884,33.8842964,-1.2152491,-0.5957910,4.0000000,-1.7344074,1.0043769,5.3287086,0.5428255,3.9416935
13,,-3.228514571150471,19.052195607536479,-13.0094814,0.0039669,39.6694221,-1.1398546,-0.5965632,4.0000000,-1.7356199,1.0033171,4.6337566,0.5424936,3.7701788
14,,-3.221057931150471,19.052195607536479,-13.0098219,0.0046281,46.2809906,-1.0618082,-0.5925414,4.0000000,-1.7300531,1.0024291,3.9594951,0.5449702,3.5749714
15,,-3.213601291150471,19.052195607536479,-13.0100927,-0.0047107,0.0000000,-0.9810956,-0.5812832,4.0000000,-1.7110265,1.0017090,3.3125596,0.5484601,3.3448536
16,,-3.437300491150471,19.044738967536482,-12.9797688,0.0048760,45.4545441,-0.1977644,0.1857317,4.0000000,0.6291824,1.0384488,15.6594038,-0.2577191,0.6512157
17,,-3.429843851150471,19.044738967536482,-12.9811850,-0.0036364,11.5702477,-0.1222150,0.1712776,4.0000000,0.5092363,1.0391812,15.8042860,-0.1666812,0.4439006
18,,-3.422387211150471,19.044738967536482,-12.9826031,-0.0022314,15.7024794,-0.0674589,0.1549587,4.0000000,0.3852825,1.0397079,15.9078093,-0.0753650,0.2836096
19,,-3.414930571150471,19.044738967536482,-12.9840212,-0.0009091,20.6611576,-0.0364236,0.1346225,4.0000000,0.2563111,1.0400051,15.9670076,0.0129340,0.1763909
20,,-3.407473931150471,19.044738967536482,-12.9854364,0.0003306,26.4462814,-0.0278895,0.1130655,4.0000000,0.1264624,1.0400751,15.9800215,0.0996686,0.1258225
21,,-3.400017291150471,19.044738967536482,-12.9868469,0.0016529,33.0578499,-0.0428458,0.0887763,4.0000000,-0.0046941,1.0399047,15.9478912,0.1822466,0.1342103
22,,-3.392560651150471,19.044738967536482,-12.9882498,0.0030579,40.4958687,-0.0797407,0.0632580,4.0000000,-0.1364754,1.0394952,15.8681335,0.2629913,0.2007106
23,,-3.385104011150471,19.044738967536482,-12.9896421,0.0045455,48.7603302,-0.1371787,0.0354147,4.0000000,-0.2681933,1.0388387,15.7397289,0.3390228,0.3223214
24,,-3.377647371150471,19.044738967536482,-12.9910202,-0.0039669,8.2644625,-0.2124901,0.0050741,4.0000000,-0.3985623,1.0379463,15.5640879,0.4087104,0.4939417
25,,-3.370190731150471,19.044738967536482,-12.9923820,-0.0025620,12.3966942,-0.3040036,-0.0285684,4.0000000,-0.5280929,1.0368394,15.3409815,0.4709561,0.7130625
26,,-3.362734091150471,19.044738967536482,-12.9937239,-0.0013223,16.5289249,-0.4082346,-0.0658670,4.0000000,-0.6566975,1.0355122,15.0698442,0.5249634,0.9736429
27,,-3.355277451150471,19.044738967536482,-12.9950409,-0.0001653,21.4876041,-0.5213701,-0.1057763,4.0000000,-0.7834873,1.0339828,14.7501411,0.5719346,1.2678906
28,,-3.347820811150471,19.044738967536482,-12.9963293,0.0009917,27.2727280,-0.6394016,-0.1477237,4.0000000,-0.9065664,1.0322770,14.3837929,0.6111190,1.5869137
29,,-3.340364171150471,19.044738967536482,-12.9975853,0.0022314,34.7107430,-0.7574919,-0.1904082,4.0000000,-1.0234408,1.0304120,13.9717302,0.6426244,1.9178553
30,,-3.332907531150471,19.044738967536482,-12.9988050,0.0034711,42.9752083,-0.8728361,-0.2365775,4.0000000,-1.1376581,1.0284213,13.5171738,0.6645032,2.2604642
31,,-3.310537611150471,19.044738967536482,-13.0022011,-0.0030579,2.4793389,-1.1659504,-0.3744609,4.0000000,-1.4365159,1.0219556,11.9055843,0.6875942,3.2337916
32,,-3.303080971150471,19.044738967536482,-13.0032310,-0.0021488,4.1322312,-1.2329284,-0.4199493,4.0000000,-1.5200534,1.0197401,11.2979498,0.6801549,3.5100188
33,,-3.295624331150471,19.044738967536482,-13.0042048,-0.0013223,6.6115704,-1.2843435,-0.4596652,4.0000000,-1.5913948,1.0175536,10.6603613,0.6720643,3.7397003
34,,-3.288167691150471,19.044738967536482,-13.0051165,-0.0005785,9.0909090,-1.3189182,-0.4995753,4.0000000,-1.6570795,1.0154235,9.9980125,0.6579288,3.9425178
35,,-3.280711051150471,19.044738967536482,-13.0059652,0.0002479,12.3966942,-1.3315618,-0.5345787,4.0000000,-1.7102742,1.0133725,9.3147230,0.6411169,4.0853972
36,,-3.273254411150471,19.044738967536482,-13.0067472,0.0010744,16.5289249,-1.3267530,-0.5661397,4.0000000,-1.7556058,1.0114263,8.6132822,0.6233264,4.1831102
37,,-3.265797771150471,19.044738967536482,-13.0074606,0.0018182,20.6611576,-1.3074218,-0.5902557,4.0000000,-1.7875159,1.0096152,7.9033523,0.6070046,4.2211699
38,,-3.258341131150471,19.044738967536482,-13.0081034,0.0024793,25.6198349,-1.2718197,-0.6103709,4.0000000,-1.8119044,1.0079461,7.1866026,0.5911625,4.2113647
39,,-3.250884491150471,19.044738967536482,-13.0086737,0.0031405,31.4049587,-1.2251669,-0.6251522,4.0000000,-1.8275529,1.0064453,6.4713573,0.5772486,4.1572819
40,,-3.243427851150471,19.044738967536482,-13.0091734,0.0037190,37.1900826,-1.1678934,-0.6318448,4.0000000,-1.8309351,1.0051166,5.7623463,0.5672455,4.0447283
41,,-3.235971211150471,19.044738967536482,-13.0095997,0.0042975,42.9752083,-1.1055365,-0.6339960,4.0000000,-1.8269877,1.0039589,5.0657806,0.5589958,3.9032986
42,,-3.228514571150471,19.044738967536482,-13.0099554,0.0048760,48.7603302,-1.0360539,-0.6288998,4.0000000,-1.8096548,1.0029776,4.3881469,0.5518553,3.7150393
43,,-3.221057931150471,19.044738967536482,-13.0102396,-0.0044628,0.0000000,-0.9657500,-0.6192135,4.0000000,-1.7787194,1.0021659,3.7356346,0.5402925,3.5071616
44,,-3.213601291150471,19.044738967536482,-13.0104551,-0.0038017,0.0000000,-0.8929455,-0.6022623,4.0000000,-1.7184452,1.0015186,3.1183124,0.5139207,3.2640419
45,,-3.206144651150471,19.044738967536482,-13.0106039,-0.0031405,0.0000000,-0.8227146,-0.5836822,4.0000000,-1.6145469,1.0010232,2.5490527,0.4471824,3.0248947
46,,-3.198688011150471,19.044738967536482,-13.0106888,-0.0025620,0.0000000,-0.7564870,-0.5593723,4.0000000,-1.4051297,1.0006667,2.0441206,0.2863851,2.7740283
