OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,,-3.564063371150472,21.475603607536478,-12.8298168,0.0047107,48.7603302,-0.0771864,-0.0577055,4.0000000,-0.3105175,1.0578561,19.0427589,0.1951065,0.2193417
2,,-3.556606731150472,21.475603607536478,-12.8291445,0.0039669,46.2809906,-0.0761860,-0.0351677,4.0000000,-0.2914673,1.0586225,19.1645298,0.2211320,0.2038879
3,,-3.549150091150472,21.475603607536478,-12.8284578,0.0033058,44.6280975,-0.0737905,-0.0102325,4.0000000,-0.2675705,1.0593432,19.2775517,0.2471055,0.1890723
4,,-3.541693451150472,21.475603607536478,-12.8277597,0.0026446,42.1487617,-0.0699846,0.0142911,4.0000000,-0.2421505,1.0600210,19.3817749,0.2707326,0.1767609
5,,-3.534236811150472,21.475603607536478,-12.8270493,0.0019835,39.6694221,-0.0643735,0.0400959,4.0000000,-0.2126472,1.0606507,19.4771194,0.2928389,0.1662008
6,,-3.526780171150472,21.475603607536478,-12.8263283,0.0013223,37.1900826,-0.0567622,0.0684936,4.0000000,-0.1779544,1.0612022,19.5614853,0.3149417,0.1587711
7,,-3.519323531150472,21.475603607536478,-12.8255997,0.0006612,34.7107430,-0.0472604,0.0964529,4.0000000,-0.1412133,1.0616739,19.6347713,0.3341190,0.1546101
8,,-3.564063371150472,21.468146967536480,-12.8323050,-0.0027273,21.4876041,-0.0782589,-0.0995053,4.0000000,-0.3401617,1.0577993,19.0356903,0.1411510,0.2601910
9,,-3.556606731150472,21.468146967536480,-12.8316479,-0.0033884,19.0082645,-0.0770110,-0.0790073,4.0000000,-0.3240413,1.0586747,19.1716404,0.1660267,0.2370923
10,,-3.549150091150472,21.468146967536480,-12.8309765,-0.0039669,17.3553715,-0.0746844,-0.0561656,4.0000000,-0.3021917,1.0595024,19.3002815,0.1898604,0.2133077
11,,-3.541693451150472,21.468146967536480,-12.8302908,-0.0047107,14.8760328,-0.0711601,-0.0324393,4.0000000,-0.2774963,1.0602717,19.4197712,0.2126177,0.1909969
12,,-3.534236811150472,21.468146967536480,-12.8295937,0.0045455,48.7603302,-0.0660874,-0.0068073,4.0000000,-0.2478950,1.0609870,19.5290051,0.2342803,0.1697824
13,,-3.526780171150472,21.468146967536480,-12.8288841,0.0038017,46.2809906,-0.0593928,0.0189984,4.0000000,-0.2152817,1.0616344,19.6276913,0.2532785,0.1510493
14,,-3.519323531150472,21.468146967536480,-12.8281641,0.0031405,43.8016510,-0.0510090,0.0467364,4.0000000,-0.1782732,1.0622041,19.7134247,0.2717459,0.1355178
15,,-3.511866891150472,21.468146967536480,-12.8274364,0.0024793,41.3223152,-0.0422754,0.0733312,4.0000000,-0.1426917,1.0626973,19.7884331,0.2893542,0.1264184
16,,-3.504410251150472,21.468146967536480,-12.8267031,0.0018182,38.8429756,-0.0312838,0.1024885,4.0000000,-0.1014834,1.0631160,19.8509502,0.3064604,0.1215009
17,,-3.496953611150472,21.468146967536480,-12.8259640,0.0009917,36.3636360,-0.0194325,0.1302230,4.0000000,-0.0605246,1.0634531,19.9003391,0.3209706,0.1218382
18,,-3.571520011150472,21.460690327536479,-12.8354168,0.0001653,33.0578499,-0.0793941,-0.1584405,4.0000000,-0.3775173,1.0565732,18.8406544,0.0606364,0.3432784
19,,-3.564063371150472,21.460690327536479,-12.8347940,-0.0004132,30.5785122,-0.0796488,-0.1412008,4.0000000,-0.3696189,1.0575625,18.9969902,0.0872172,0.3183202
