OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,,-3.034641931150471,23.071324567536479,-12.7585812,0.0034711,42.1487617,0.0057431,0.0867174,4.0000000,0.1287923,1.0437983,16.6635075,0.0446425,0.0236441
2,,-3.027185291150471,23.071324567536479,-12.7599955,0.0049587,49.5867767,0.0026189,0.0721473,4.0000000,0.1229108,1.0440242,16.7042503,0.0213837,0.0200880
3,,-3.019728651150471,23.071324567536479,-12.7614145,-0.0035537,12.3966942,-0.0003671,0.0568892,4.0000000,0.1168529,1.0442462,16.7458935,-0.0030745,0.0177381
4,,-3.012272011150471,23.071324567536479,-12.7628384,-0.0021488,16.5289249,-0.0031241,0.0418402,4.0000000,0.1116393,1.0444531,16.7838306,-0.0279590,0.0170429
5,,-3.004815371150471,23.071324567536479,-12.7642651,-0.0007438,21.4876041,-0.0055989,0.0250358,4.0000000,0.1039304,1.0446711,16.8234921,-0.0538588,0.0172124
6,,-2.997358731150471,23.071324567536479,-12.7656956,0.0005785,27.2727280,-0.0077151,0.0071230,4.0000000,0.0950902,1.0448807,16.8607368,-0.0808441,0.0189716
7,,-2.989902091150471,23.071324567536479,-12.7671270,0.0019008,33.8842964,-0.0092067,-0.0118592,4.0000000,0.0843047,1.0450578,16.8933582,-0.1080231,0.0222442
8,,-2.982445451150471,23.071324567536479,-12.7685585,0.0033884,41.3223152,-0.0101924,-0.0308404,4.0000000,0.0737314,1.0452329,16.9254284,-0.1354121,0.0276225
9,,-3.042098571150471,23.063867927536482,-12.7589016,0.0038017,43.8016510,-0.0022149,0.0477754,4.0000000,0.0762018,1.0436761,16.6405430,0.0193490,0.0166698
10,,-3.034641931150471,23.063867927536482,-12.7603121,-0.0047934,9.0909090,-0.0044528,0.0360277,4.0000000,0.0758727,1.0438859,16.6784248,-0.0038174,0.0173543
11,,-3.027185291150471,23.063867927536482,-12.7617283,-0.0033058,13.2231407,-0.0060774,0.0221482,4.0000000,0.0708797,1.0440876,16.7162609,-0.0265832,0.0172475
12,,-3.019728651150471,23.063867927536482,-12.7631502,-0.0018182,18.1818180,-0.0074953,0.0061919,4.0000000,0.0652749,1.0442936,16.7556725,-0.0528911,0.0181967
13,,-3.012272011150471,23.063867927536482,-12.7645769,-0.0004132,23.1404953,-0.0085820,-0.0090287,4.0000000,0.0591959,1.0444976,16.7913036,-0.0772533,0.0206071
14,,-3.004815371150471,23.063867927536482,-12.7660084,0.0009917,28.9256191,-0.0089156,-0.0248762,4.0000000,0.0516101,1.0447111,16.8293514,-0.1013625,0.0234565
15,,-2.997358731150471,23.063867927536482,-12.7674437,0.0023140,35.5371895,-0.0086492,-0.0430026,4.0000000,0.0428055,1.0448982,16.8642082,-0.1288108,0.0279784
16,,-2.989902091150471,23.063867927536482,-12.7688799,0.0037190,42.9752083,-0.0076172,-0.0626496,4.0000000,0.0315957,1.0450579,16.8937798,-0.1568949,0.0345340
17,,-2.982445451150471,23.063867927536482,-12.7703171,-0.0047934,9.9173555,-0.0062714,-0.0814139,4.0000000,0.0217934,1.0452214,16.9231625,-0.1846213,0.0432265
18,,-2.974988811150471,23.063867927536482,-12.7717543,-0.0033058,14.0495872,-0.0025981,-0.1045424,4.0000000,0.0051778,1.0453591,16.9479809,-0.2142625,0.0537627
19,,-2.967532171150471,23.063867927536482,-12.7731886,-0.0018182,19.0082645,0.0023310,-0.1285220,4.0000000,-0.0131792,1.0454519,16.9649124,-0.2438648,0.0673411
20,,-2.960075531150471,23.063867927536482,-12.7746181,-0.0004132,23.9669418,0.0080477,-0.1518063,4.0000000,-0.0313123,1.0455116,16.9764633,-0.2723004,0.0834829
21,,-2.952618891150470,23.063867927536482,-12.7760420,0.0009917,29.7520657,0.0156697,-0.1765791,4.0000000,-0.0527292,1.0455464,16.9826965,-0.3004289,0.1027193
22,,-3.288167691150471,23.056411287536481,-12.7195730,0.0047934,47.1074371,-0.1042780,0.1827943,4.0000000,0.5385204,1.0336601,14.6699953,-0.1729318,0.4112246
23,,-3.280711051150471,23.056411287536481,-12.7206144,-0.0042149,8.2644625,-0.0814326,0.1845177,4.0000000,0.5109499,1.0345559,14.8567972,-0.1419145,0.3621522
24,,-3.116664971150471,23.056411287536481,-12.7469788,0.0020661,35.5371895,0.0005540,0.0976846,4.0000000,0.0349784,1.0423406,16.3933220,0.1603907,0.0414597
25,,-3.049555211150471,23.056411287536481,-12.7592268,0.0041322,45.4545441,-0.0142094,0.0112372,4.0000000,0.0272512,1.0433828,16.5867405,-0.0047767,0.0343597
26,,-3.042098571150471,23.056411287536481,-12.7606297,-0.0044628,9.9173555,-0.0154795,-0.0008559,4.0000000,0.0244863,1.0435666,16.6191807,-0.0261982,0.0367211
27,,-3.034641931150471,23.056411287536481,-12.7620401,-0.0030579,14.0495872,-0.0168393,-0.0121149,4.0000000,0.0241748,1.0437468,16.6545448,-0.0484046,0.0405066
28,,-3.027185291150471,23.056411287536481,-12.7634573,-0.0016529,19.0082645,-0.0170444,-0.0273531,4.0000000,0.0184981,1.0439434,16.6916313,-0.0732043,0.0435609
29,,-3.019728651150471,23.056411287536481,-12.7648821,-0.0001653,24.7933884,-0.0166506,-0.0430673,4.0000000,0.0131476,1.0441457,16.7263889,-0.0992822,0.0474553
30,,-3.012272011150471,23.056411287536481,-12.7663116,0.0012397,30.5785122,-0.0163833,-0.0578524,4.0000000,0.0081750,1.0443335,16.7604847,-0.1238797,0.0533954
31,,-3.004815371150471,23.056411287536481,-12.7677460,0.0026446,37.1900826,-0.0150288,-0.0739356,4.0000000,0.0009725,1.0445230,16.7955284,-0.1488438,0.0596132
32,,-2.997358731150471,23.056411287536481,-12.7691851,0.0040496,44.6280975,-0.0118753,-0.0935892,4.0000000,-0.0100539,1.0446857,16.8273029,-0.1771246,0.0669112
33,,-2.989902091150471,23.056411287536481,-12.7706251,-0.0045455,10.7438021,-0.0083923,-0.1125485,4.0000000,-0.0207508,1.0448347,16.8523502,-0.2043462,0.0762640
34,,-2.982445451150471,23.056411287536481,-12.7720671,-0.0030579,14.8760328,-0.0044744,-0.1317322,4.0000000,-0.0314618,1.0449804,16.8787327,-0.2320025,0.0881521
35,,-2.974988811150471,23.056411287536481,-12.7735090,-0.0015702,19.8347111,0.0031066,-0.1552577,4.0000000,-0.0496030,1.0450929,16.9005890,-0.2609124,0.1010367
36,,-2.967532171150471,23.056411287536481,-12.7749491,-0.0000826,25.6198349,0.0119570,-0.1806085,4.0000000,-0.0688911,1.0451611,16.9128494,-0.2923258,0.1190720
37,,-2.960075531150471,23.056411287536481,-12.7763844,0.0013223,31.4049587,0.0212876,-0.2043399,4.0000000,-0.0877726,1.0452025,16.9195862,-0.3209072,0.1389803
38,,-2.952618891150470,23.056411287536481,-12.7778149,0.0027273,38.0165291,0.0326483,-0.2296120,4.0000000,-0.1089652,1.0452112,16.9209843,-0.3502587,0.1626928
39,,-2.945162251150471,23.056411287536481,-12.7792368,0.0041322,45.4545441,0.0473612,-0.2575313,4.0000000,-0.1341337,1.0451635,16.9136543,-0.3809290,0.1908963
40,,-2.885509131150471,23.056411287536481,-12.7900457,-0.0052066,7.4380164,0.2497522,-0.5037835,4.0000000,-0.4416015,1.0427006,16.4641304,-0.5659655,0.5994178
41,,-2.878052491150471,23.056411287536481,-12.7912884,-0.0039669,10.7438021,0.2834124,-0.5345392,4.0000000,-0.4889394,1.0421005,16.3512421,-0.5801390,0.6723616
42,,-2.870595851150471,23.056411287536481,-12.7924976,-0.0028099,14.0495872,0.3176536,-0.5644805,4.0000000,-0.5372684,1.0414304,16.2254505,-0.5916925,0.7487019
43,,-2.863139211150471,23.056411287536481,-12.7936726,-0.0016529,18.1818180,0.3522026,-0.5936282,4.0000000,-0.5861536,1.0407056,16.0884590,-0.6011027,0.8283467
44,,-2.855682571150471,23.056411287536481,-12.7948103,-0.0005785,22.3140488,0.3852762,-0.6208766,4.0000000,-0.6345215,1.0399235,15.9374676,-0.6072317,0.9082236
45,,-3.295624331150471,23.048954647536480,-12.7201824,-0.0046281,6.6115704,-0.1543724,0.1241352,4.0000000,0.5283264,1.0332969,14.5918055,-0.2800560,0.4381782
46,,-3.288167691150471,23.048954647536480,-12.7212315,-0.0035537,9.9173555,-0.1310404,0.1215408,4.0000000,0.4963916,1.0342129,14.7857361,-0.2533101,0.3823379
47,,-3.280711051150471,23.048954647536480,-12.7222948,-0.0025620,13.2231407,-0.1088264,0.1217576,4.0000000,0.4678177,1.0350863,14.9684248,-0.2243025,0.3320678
48,,-3.273254411150471,23.048954647536480,-12.7233715,-0.0014876,17.3553715,-0.0875780,0.1207515,4.0000000,0.4360800,1.0359107,15.1388206,-0.1945770,0.2819678
49,,-3.265797771150471,23.048954647536480,-12.7244606,-0.0004132,22.3140488,-0.0683193,0.1193829,4.0000000,0.4037632,1.0366827,15.2954798,-0.1649973,0.2355952
50,,-3.131578251150470,23.048954647536480,-12.7461147,0.0010744,30.5785122,-0.0141779,0.0606034,4.0000000,-0.0041717,1.0421385,16.3558884,0.1253785,0.0493127
51,,-3.124121611150471,23.048954647536480,-12.7474174,0.0023967,37.1900826,-0.0161161,0.0542348,4.0000000,-0.0091824,1.0421686,16.3616562,0.1176520,0.0506222
52,,-3.116664971150471,23.048954647536480,-12.7487297,0.0038017,44.6280975,-0.0178645,0.0464478,4.0000000,-0.0140038,1.0422124,16.3691616,0.1068995,0.0512921
53,,-3.109208331150471,23.048954647536480,-12.7500515,-0.0048760,8.2644625,-0.0192412,0.0374821,4.0000000,-0.0187268,1.0422599,16.3776722,0.0936910,0.0512616
54,,-3.101751691150471,23.048954647536480,-12.7513819,-0.0035537,11.5702477,-0.0207813,0.0279896,4.0000000,-0.0221092,1.0422994,16.3853607,0.0780883,0.0522362
55,,-3.094295051150471,23.048954647536480,-12.7527208,-0.0022314,15.7024794,-0.0227320,0.0209216,4.0000000,-0.0217422,1.0423588,16.3967590,0.0635854,0.0554129
56,,-3.086838411150471,23.048954647536480,-12.7540693,-0.0009091,20.6611576,-0.0245412,0.0124852,4.0000000,-0.0223146,1.0424404,16.4123993,0.0472849,0.0585452
57,,-3.079381771150471,23.048954647536480,-12.7554264,0.0004132,26.4462814,-0.0259432,0.0029139,4.0000000,-0.0237767,1.0425382,16.4292736,0.0296045,0.0613171
58,,-3.057011851150471,23.048954647536480,-12.7595539,0.0044628,47.1074371,-0.0301507,-0.0262313,4.0000000,-0.0232881,1.0429149,16.4993496,-0.0291745,0.0745782
59,,-3.049555211150471,23.048954647536480,-12.7609472,-0.0041322,10.7438021,-0.0308034,-0.0369767,4.0000000,-0.0244722,1.0430704,16.5285892,-0.0494813,0.0792378
60,,-3.042098571150471,23.048954647536480,-12.7623501,-0.0027273,14.8760328,-0.0311619,-0.0483969,4.0000000,-0.0262367,1.0432305,16.5590858,-0.0705571,0.0845227
61,,-3.034641931150471,23.048954647536480,-12.7637596,-0.0014050,19.8347111,-0.0316248,-0.0609475,4.0000000,-0.0288737,1.0434012,16.5911350,-0.0930213,0.0918423
62,,-3.027185291150471,23.048954647536480,-12.7651777,0.0000000,25.6198349,-0.0306042,-0.0761684,4.0000000,-0.0346751,1.0435935,16.6246567,-0.1176617,0.0989200
63,,-3.019728651150471,23.048954647536480,-12.7666035,0.0014876,32.2314034,-0.0288961,-0.0907709,4.0000000,-0.0384003,1.0437716,16.6574554,-0.1431414,0.1058835
