OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,,-4.399207051150471,20.588263447536477,-13.1337852,-0.0012397,42.1487617,-1.3170038,0.1582936,4.0000000,-0.6962063,1.3865007,43.8629532,1.0127935,9.9521894
2,,-4.391750411150471,20.588263447536477,-13.1345482,-0.0004959,42.9752083,-1.2766525,0.1398615,4.0000000,-0.7555913,1.3906739,44.0414734,1.0353143,9.9154959
3,,-4.384293771150471,20.588263447536477,-13.1351843,0.0001653,43.8016510,-1.2336059,0.1254496,4.0000000,-0.8039914,1.3945376,44.2058296,1.0548905,9.8493109
4,,-4.376837131150471,20.588263447536477,-13.1356897,0.0006612,44.6280975,-1.1922603,0.1136176,4.0000000,-0.8437812,1.3981370,44.3576012,1.0710163,9.7813177
5,,-4.369380491150471,20.588263447536477,-13.1360598,0.0010744,45.4545441,-1.1530044,0.1055788,4.0000000,-0.8739281,1.4014990,44.4980583,1.0850856,9.6958933
6,,-4.361923851150471,20.588263447536477,-13.1362925,0.0013223,45.4545441,-1.1150968,0.0995774,4.0000000,-0.8955252,1.4046489,44.6287193,1.0946801,9.5894508
7,,-4.354467211150471,20.588263447536477,-13.1363840,0.0013223,45.4545441,-1.0809927,0.0969621,5.0000000,-0.9084717,1.4076070,44.7502213,1.1023959,9.4674110
8,,-4.347010571150471,20.588263447536477,-13.1363344,0.0011570,45.4545441,-1.0487397,0.0965883,4.0000000,-0.9129336,1.4103546,44.8624344,1.1061101,9.3162184
9,,-4.339553931150471,20.588263447536477,-13.1361418,0.0009917,45.4545441,-1.0204883,0.0992590,4.0000000,-0.9093937,1.4128772,44.9658852,1.1079116,9.1478491
10,,-4.414120331150471,20.580806807536479,-13.1389370,0.0038017,48.7603302,-1.1317854,0.0316667,4.0000000,-0.5690162,1.3860708,43.8449478,0.6323495,8.7758541
11,,-4.406663691150471,20.580806807536479,-13.1400013,-0.0051240,36.3636360,-1.0823495,0.0039349,4.0000000,-0.6462194,1.3905966,44.0391731,0.6540892,8.7943878
12,,-4.399207051150471,20.580806807536479,-13.1409473,-0.0042975,38.0165291,-1.0334252,-0.0205719,4.0000000,-0.7155951,1.3947566,44.2159767,0.6744513,8.8381729
13,,-4.391750411150471,20.580806807536479,-13.1417675,-0.0034711,39.6694221,-0.9838932,-0.0400310,4.0000000,-0.7738101,1.3986111,44.3784561,0.6937480,8.8599205
14,,-4.384293771150471,20.580806807536479,-13.1424561,-0.0028099,40.4958687,-0.9337054,-0.0556002,4.0000000,-0.8212763,1.4022212,44.5286865,0.7100759,8.8445263
15,,-4.376837131150471,20.580806807536479,-13.1430082,-0.0023140,41.3223152,-0.8882679,-0.0677222,4.0000000,-0.8601443,1.4055988,44.6678162,0.7246998,8.8269854
16,,-4.369380491150471,20.580806807536479,-13.1434212,-0.0019008,42.1487617,-0.8447320,-0.0769776,4.0000000,-0.8895805,1.4087507,44.7976837,0.7356254,8.7746630
