OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,,-4.309727371150472,19.357917847536477,-13.1726360,-0.0024793,24.7933884,-1.2778144,-0.2314609,4.0000000,0.0727627,1.0825322,22.5252972,-0.5356845,3.7481406
2,,-4.302270731150472,19.357917847536477,-13.1700001,-0.0051240,17.3553715,-1.2522864,-0.2407645,4.0000000,0.1764558,1.0866462,23.0419178,-0.6579848,3.7314808
3,,-4.294814091150472,19.357917847536477,-13.1672754,0.0021488,42.1487617,-1.2369394,-0.2473299,4.0000000,0.2793958,1.0907094,23.5389347,-0.7740555,3.7339375
4,,-4.287357451150472,19.357917847536477,-13.1644630,-0.0006612,33.0578499,-1.2270647,-0.2468124,4.0000000,0.3827274,1.0947113,24.0164757,-0.8763523,3.7343783
5,,-4.279900811150472,19.357917847536477,-13.1615620,-0.0035537,23.9669418,-1.2234579,-0.2386149,4.0000000,0.4865877,1.0986034,24.4693623,-0.9638175,3.7364390
6,,-4.272444171150472,19.357917847536477,-13.1585760,0.0033884,45.4545441,-1.2213931,-0.2232458,4.0000000,0.5871516,1.1023473,24.8930893,-1.0336434,3.7325647
7,,-4.264987531150472,19.357917847536477,-13.1555052,0.0004132,36.3636360,-1.2228613,-0.2011473,4.0000000,0.6847497,1.1058972,25.2875919,-1.0870442,3.7354136
8,,-4.257530891150472,19.357917847536477,-13.1523552,-0.0026446,27.2727280,-1.2253361,-0.1726687,4.0000000,0.7775500,1.1091944,25.6460819,-1.1228874,3.7446172
9,,-4.324640651150472,19.350461207536480,-13.1793261,0.0042149,48.7603302,-1.2639601,-0.2939427,4.0000000,-0.2737626,1.0749354,21.5258121,-0.3141228,3.8350136
10,,-4.317184011150472,19.350461207536480,-13.1768847,0.0017355,39.6694221,-1.2283000,-0.3146262,4.0000000,-0.1738114,1.0792584,22.1011524,-0.4554411,3.8378274
11,,-4.309727371150472,19.350461207536480,-13.1743517,-0.0008264,30.5785122,-1.1986483,-0.3284645,4.0000000,-0.0682559,1.0836185,22.6630249,-0.5886731,3.8314247
12,,-4.302270731150472,19.350461207536480,-13.1717253,-0.0034711,22.3140488,-1.1771300,-0.3365314,4.0000000,0.0401106,1.0879873,23.2088375,-0.7131734,3.8241394
13,,-4.294814091150472,19.350461207536480,-13.1690044,0.0038017,47.1074371,-1.1651553,-0.3399001,4.0000000,0.1493531,1.0923332,23.7356262,-0.8291534,3.8241580
14,,-4.287357451150472,19.350461207536480,-13.1661892,0.0009091,38.0165291,-1.1613699,-0.3358293,4.0000000,0.2603046,1.0966254,24.2408772,-0.9319632,3.8207538
