OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,,-6.017297931150472,22.676122647536477,-12.6109629,-0.0039669,21.4876041,-0.0153285,0.0459306,4.0000000,-0.0616926,1.0936873,23.8927555,0.1535538,0.0514788
2,,-6.009841291150472,22.676122647536477,-12.6125345,-0.0023967,26.4462814,-0.0169860,0.0468601,4.0000000,-0.0735903,1.0933802,23.8556709,0.1673105,0.0560817
3,,-6.002384651150472,22.676122647536477,-12.6140995,-0.0008264,31.4049587,-0.0194423,0.0462149,4.0000000,-0.0878462,1.0930170,23.8127670,0.1802760,0.0622843
4,,-5.994928011150472,22.676122647536477,-12.6156597,0.0006612,36.3636360,-0.0214643,0.0485392,4.0000000,-0.0982039,1.0925978,23.7639618,0.1952823,0.0684577
5,,-6.024754571150472,22.668666007536480,-12.6122971,-0.0026446,25.6198349,-0.0116164,0.0202292,4.0000000,-0.0642394,1.0943210,23.9668884,0.1046977,0.0342455
6,,-6.017297931150472,22.668666007536480,-12.6138716,-0.0009917,30.5785122,-0.0135495,0.0167468,4.0000000,-0.0813525,1.0940377,23.9327507,0.1148462,0.0391915
7,,-6.009841291150472,22.668666007536480,-12.6154394,0.0004959,35.5371895,-0.0154788,0.0167508,4.0000000,-0.0953685,1.0936946,23.8931561,0.1288701,0.0445619
8,,-6.002384651150472,22.668666007536480,-12.6170006,0.0020661,40.4958687,-0.0178528,0.0157205,4.0000000,-0.1104426,1.0933006,23.8472672,0.1418837,0.0511386
9,,-5.994928011150472,22.668666007536480,-12.6185541,0.0036364,45.4545441,-0.0202101,0.0172252,4.0000000,-0.1218542,1.0928595,23.7931614,0.1563045,0.0578016
10,,-5.987471371150472,22.668666007536480,-12.6201019,-0.0047934,20.6611576,-0.0227871,0.0208767,4.0000000,-0.1301196,1.0923661,23.7343235,0.1718730,0.0652273
11,,-6.032211211150472,22.661209367536479,-12.6136370,-0.0013223,29.7520657,-0.0081675,-0.0007615,4.0000000,-0.0644010,1.0948361,24.0280781,0.0628779,0.0237194
12,,-6.024754571150472,22.661209367536479,-12.6152163,0.0002479,34.7107430,-0.0097200,-0.0053866,4.0000000,-0.0834286,1.0945916,23.9988079,0.0726554,0.0288035
