OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S10_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.518513291150471,20.125951767536478,-13.2518997,-0.0018182,0.0000000,-0.1226961,-0.3496791,4.0000000,-0.0444173,1.0024314,3.9859381,-0.6549409,0.7395606
2,-13,-4.511056651150471,20.125951767536478,-13.2523994,-0.0009091,0.0000000,-0.1807233,-0.3663749,4.0000000,0.0535086,1.0021765,3.7669501,-0.7862585,0.9034957
3,-13,-4.503600011150471,20.125951767536478,-13.2528639,0.0000000,0.0000000,-0.2525518,-0.3747372,4.0000000,0.1644297,1.0019249,3.5379484,-0.9139041,1.0718862
4,-13,-4.496143371150471,20.125951767536478,-13.2532892,0.0000000,0.0000000,-0.3372366,-0.3752229,4.0000000,0.2795028,1.0017011,3.3227725,-1.0299486,1.2426770
5,-13,-4.488686731150471,20.125951767536478,-13.2536745,0.0000000,0.0000000,-0.4351793,-0.3685470,4.0000000,0.3842916,1.0015219,3.1360304,-1.1213856,1.4188260
6,-13,-4.481230091150471,20.125951767536478,-13.2540178,0.0000000,0.0000000,-0.5438806,-0.3549302,4.0000000,0.4487382,1.0013949,2.9965954,-1.1585987,1.5972646
7,-13,-4.473773451150471,20.125951767536478,-13.2543163,0.0000000,0.0000000,-0.6619133,-0.3324030,5.0000000,0.4423701,1.0013372,2.9293625,-1.1071761,1.7723501
8,-13,-4.466316811150471,20.125951767536478,-13.2545710,0.0000000,0.0000000,-0.7848390,-0.3026693,4.0000000,0.3469569,1.0013622,2.9526243,-0.9522956,1.9443310
9,-13,-4.525969931150471,20.118495127536480,-13.2513247,-0.0028099,0.0000000,-0.0287091,-0.3655455,4.0000000,-0.1430483,1.0024819,4.0291085,-0.5880427,0.5961785
10,-13,-4.518513291150471,20.118495127536480,-13.2518320,-0.0019008,0.0000000,-0.0670752,-0.3866298,4.0000000,-0.0661199,1.0022240,3.8120570,-0.7071398,0.7363856
11,-13,-4.511056651150471,20.118495127536480,-13.2523060,-0.0009917,0.0000000,-0.1177135,-0.4047791,4.0000000,0.0246096,1.0019630,3.5776811,-0.8341678,0.8950613
12,-13,-4.503600011150471,20.118495127536480,-13.2527428,-0.0000826,0.0000000,-0.1819312,-0.4143428,4.0000000,0.1251998,1.0017083,3.3335960,-0.9538854,1.0546793
13,-13,-4.496143371150471,20.118495127536480,-13.2531376,0.0000000,0.0000000,-0.2590001,-0.4160245,4.0000000,0.2260450,1.0014840,3.1020799,-1.0580940,1.2142786
14,-13,-4.488686731150471,20.118495127536480,-13.2534904,0.0000000,0.0000000,-0.3492377,-0.4110258,4.0000000,0.3082791,1.0013045,2.9020984,-1.1303307,1.3782701
15,-13,-4.481230091150471,20.118495127536480,-13.2537966,0.0000000,0.0000000,-0.4521250,-0.3995707,4.0000000,0.3383721,1.0011783,2.7518096,-1.1375134,1.5472834
16,-13,-4.473773451150471,20.118495127536480,-13.2540560,0.0000000,0.0000000,-0.5648951,-0.3774852,5.0000000,0.2830599,1.0011226,2.6811388,-1.0380303,1.7050419
17,-13,-4.466316811150471,20.118495127536480,-13.2542686,0.0000000,0.0000000,-0.6833405,-0.3489206,4.0000000,0.1303715,1.0011475,2.7088573,-0.8282127,1.8604712
18,-13,-4.458860171150471,20.118495127536480,-13.2544346,0.0000000,0.0000000,-0.8081919,-0.3121687,4.0000000,-0.0838001,1.0012624,2.8396397,-0.5405374,2.0153615
