OID_,ClipsFinal_DEM_Large_S3_RegD,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.458049931150471,20.685199767536478,-13.1264229,0.0012397,38.0165291,-0.4173776,-0.3033957,4.0000000,-0.5417756,1.0814514,22.3871136,-0.0650158,1.7130785
2,-13,-5.450593291150471,20.685199767536478,-13.1273851,0.0022314,41.3223152,-0.3906381,-0.3152764,4.0000000,-0.6195846,1.0815425,22.3993855,-0.0109681,1.7026373
3,-13,-5.443136651150471,20.685199767536478,-13.1282835,0.0030579,43.8016510,-0.3687613,-0.3238603,4.0000000,-0.6892608,1.0815357,22.3989887,0.0415402,1.6936494
4,-13,-5.435680011150471,20.685199767536478,-13.1291170,0.0038843,46.2809906,-0.3512683,-0.3289989,4.0000000,-0.7501783,1.0814438,22.3860512,0.0921806,1.6823810
5,-13,-5.428223371150471,20.685199767536478,-13.1298838,0.0045455,47.9338837,-0.3404676,-0.3310667,4.0000000,-0.8031606,1.0812708,22.3633461,0.1410272,1.6757157
6,-13,-5.420766731150471,20.685199767536478,-13.1305838,-0.0047107,20.6611576,-0.3345730,-0.3317356,4.0000000,-0.8498957,1.0810198,22.3315296,0.1864244,1.6749201
7,-13,-5.413310091150471,20.685199767536478,-13.1312151,-0.0041322,22.3140488,-0.3333196,-0.3298463,4.0000000,-0.8879221,1.0807159,22.2916069,0.2282295,1.6738786
8,-13,-5.405853451150471,20.685199767536478,-13.1317778,-0.0036364,23.9669418,-0.3370830,-0.3246551,4.0000000,-0.9177285,1.0803653,22.2452965,0.2684183,1.6709818
9,-13,-5.398396811150471,20.685199767536478,-13.1322718,-0.0032231,24.7933884,-0.3449335,-0.3160253,4.0000000,-0.9380351,1.0799652,22.1931934,0.3059844,1.6631866
10,-13,-5.338743691150472,20.685199767536478,-13.1338015,-0.0019008,27.2727280,-0.4804938,-0.1847623,4.0000000,-0.8791264,1.0763679,21.7175198,0.5096017,1.5902611
11,-13,-5.331287051150472,20.685199767536478,-13.1337032,-0.0019835,27.2727280,-0.4997776,-0.1628503,4.0000000,-0.8541183,1.0759827,21.6630230,0.5284177,1.5852991
12,-13,-5.472963211150471,20.677743127536477,-13.1271772,0.0020661,40.4958687,-0.4289091,-0.3302459,4.0000000,-0.4094082,1.0823296,22.5006371,-0.2510835,1.8030508
13,-13,-5.465506571150471,20.677743127536477,-13.1282892,0.0030579,43.8016510,-0.3913330,-0.3471793,4.0000000,-0.4972848,1.0825613,22.5293941,-0.1970738,1.7881430
14,-13,-5.458049931150471,20.677743127536477,-13.1293383,0.0040496,47.1074371,-0.3574046,-0.3614141,4.0000000,-0.5803363,1.0826696,22.5446949,-0.1424920,1.7761468
15,-13,-5.450593291150471,20.677743127536477,-13.1303225,-0.0049587,19.0082645,-0.3290483,-0.3739477,4.0000000,-0.6578978,1.0826855,22.5468845,-0.0899976,1.7742182
16,-13,-5.443136651150471,20.677743127536477,-13.1312408,-0.0040496,22.3140488,-0.3062461,-0.3819329,4.0000000,-0.7265007,1.0826195,22.5369282,-0.0373653,1.7679439
