OID_,ClipsFinal_DEM_Large_S3_RegQ1,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-6.576545931150471,22.713405847536478,-12.5117788,-0.0030579,27.2727280,-0.7545390,0.1614778,4.0000000,0.4210119,1.1055731,25.2530270,-0.0980562,2.4675138
2,-12,-6.569089291150471,22.713405847536478,-12.5130386,-0.0019008,30.5785122,-0.7201342,0.1250961,4.0000000,0.3353805,1.1082054,25.5395699,-0.0851883,2.3041711
3,-12,-6.561632651150471,22.713405847536478,-12.5142822,-0.0006612,34.7107430,-0.6843825,0.0898871,4.0000000,0.2500876,1.1106656,25.8046284,-0.0703134,2.1536157
4,-12,-6.554176011150471,22.713405847536478,-12.5155058,0.0004959,38.0165291,-0.6432189,0.0597269,4.0000000,0.1708424,1.1129532,26.0468330,-0.0513885,2.0062478
5,-12,-6.546719371150471,22.713405847536478,-12.5167065,0.0017355,41.3223152,-0.5992203,0.0338768,4.0000000,0.0970874,1.1150671,26.2692509,-0.0293337,1.8638415
6,-12,-6.539262731150471,22.713405847536478,-12.5178804,0.0028099,43.8016510,-0.5525513,0.0118515,4.0000000,0.0282481,1.1170058,26.4713879,-0.0045451,1.7222749
7,-12,-6.531806091150471,22.713405847536478,-12.5190258,0.0039669,47.1074371,-0.5076228,-0.0071758,4.0000000,-0.0369110,1.1187860,26.6536617,0.0225594,1.5919453
8,-12,-6.524349451150471,22.713405847536478,-12.5201397,-0.0048760,23.9669418,-0.4618906,-0.0223589,4.0000000,-0.0954207,1.1203967,26.8170300,0.0507030,1.4622257
9,-12,-6.584002571150471,22.705949207536481,-12.5137510,-0.0010744,32.2314034,-0.7400373,0.1368191,4.0000000,0.4714551,1.1058872,25.2863064,-0.1978168,2.3899541
10,-12,-6.576545931150471,22.705949207536481,-12.5150776,0.0001653,36.3636360,-0.7077852,0.0941944,4.0000000,0.3817179,1.1085473,25.5765018,-0.1933291,2.2318997
11,-12,-6.569089291150471,22.705949207536481,-12.5163908,0.0014050,39.6694221,-0.6702934,0.0551281,4.0000000,0.2951137,1.1110454,25.8454723,-0.1848575,2.0832920
12,-12,-6.561632651150471,22.705949207536481,-12.5176859,0.0027273,43.8016510,-0.6305183,0.0189966,4.0000000,0.2104647,1.1133699,26.0909405,-0.1724715,1.9480625
13,-12,-6.554176011150471,22.705949207536481,-12.5189581,0.0039669,47.1074371,-0.5874791,-0.0135567,4.0000000,0.1305899,1.1155261,26.3166962,-0.1577033,1.8201396
14,-12,-6.546719371150471,22.705949207536481,-12.5202045,-0.0047107,23.9669418,-0.5429838,-0.0418412,4.0000000,0.0560634,1.1175100,26.5221367,-0.1397458,1.7003582
15,-12,-6.539262731150471,22.705949207536481,-12.5214214,-0.0036364,27.2727280,-0.4967207,-0.0661502,4.0000000,-0.0134620,1.1193304,26.7086353,-0.1188385,1.5831549
16,-12,-6.531806091150471,22.705949207536481,-12.5226068,-0.0024793,30.5785122,-0.4507889,-0.0869813,4.0000000,-0.0783330,1.1209819,26.8761806,-0.0956295,1.4715462
17,-12,-6.524349451150471,22.705949207536481,-12.5237589,-0.0013223,33.0578499,-0.4041948,-0.1040922,4.0000000,-0.1377530,1.1224642,27.0258751,-0.0704314,1.3588433
18,-12,-6.516892811150471,22.705949207536481,-12.5248737,-0.0003306,35.5371895,-0.3580143,-0.1158190,4.0000000,-0.1884959,1.1237795,27.1569614,-0.0431420,1.2423676
19,-12,-6.509436171150471,22.705949207536481,-12.5259514,0.0007438,38.8429756,-0.3142177,-0.1249261,4.0000000,-0.2333823,1.1249293,27.2720947,-0.0164698,1.1299680
20,-12,-6.501979531150471,22.705949207536481,-12.5269909,0.0018182,41.3223152,-0.2726783,-0.1311329,4.0000000,-0.2734117,1.1259253,27.3696880,0.0111459,1.0195849
21,-12,-6.494522891150471,22.705949207536481,-12.5279913,0.0028926,43.8016510,-0.2332779,-0.1319570,4.0000000,-0.3032104,1.1267490,27.4499931,0.0392964,0.9040984
