OID_,ClipsFinal_DEM_Large_S3_RegH,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-7.650302091150470,21.207164567536481,-12.7037497,-0.0011570,22.3140488,-0.0904804,0.0751480,4.0000000,0.2348580,1.0387645,15.7128506,-0.0845621,0.2415183
2,-12,-7.642845451150470,21.207164567536481,-12.7039719,-0.0009917,23.1404953,-0.0708113,0.0859296,4.0000000,0.2251495,1.0394284,15.8428450,-0.0532903,0.2043543
3,-12,-7.635388811150470,21.207164567536481,-12.7042055,-0.0008264,23.9669418,-0.0503314,0.0979351,4.0000000,0.2148194,1.0400319,15.9594049,-0.0189492,0.1670831
4,-12,-7.627932171150470,21.207164567536481,-12.7044497,-0.0005785,25.6198349,-0.0300639,0.1135245,4.0000000,0.2093703,1.0405601,16.0635452,0.0176786,0.1352002
5,-12,-7.620475531150470,21.207164567536481,-12.7047033,-0.0003306,27.2727280,-0.0109893,0.1287526,4.0000000,0.2017602,1.0410186,16.1510410,0.0557449,0.1074457
6,-12,-7.613018891150470,21.207164567536481,-12.7049675,0.0000000,28.9256191,0.0061123,0.1451912,4.0000000,0.1939057,1.0413932,16.2218132,0.0964767,0.0877090
7,-12,-7.657758731150470,21.199707927536480,-12.7056026,0.0004959,30.5785122,-0.1435348,-0.0014137,4.0000000,0.2381053,1.0378951,15.5385523,-0.2409328,0.3334345
8,-12,-7.650302091150470,21.199707927536480,-12.7058334,0.0006612,31.4049587,-0.1246708,0.0023444,4.0000000,0.2216025,1.0386537,15.6900749,-0.2169137,0.2907732
9,-12,-7.642845451150470,21.199707927536480,-12.7060747,0.0008264,32.2314034,-0.1033002,0.0089166,4.0000000,0.2062958,1.0393692,15.8296957,-0.1884625,0.2424325
10,-12,-7.635388811150470,21.199707927536480,-12.7063246,0.0009917,33.0578499,-0.0824456,0.0175559,4.0000000,0.1929677,1.0400178,15.9562960,-0.1578560,0.1957541
11,-12,-7.627932171150470,21.199707927536480,-12.7065821,0.0012397,34.7107430,-0.0622001,0.0286918,4.0000000,0.1823930,1.0406009,16.0702114,-0.1250094,0.1515992
12,-12,-7.620475531150470,21.199707927536480,-12.7068481,0.0014876,36.3636360,-0.0425468,0.0412914,4.0000000,0.1710180,1.0411180,16.1685486,-0.0884353,0.1101922
13,-12,-7.613018891150470,21.199707927536480,-12.7071228,0.0018182,38.0165291,-0.0248225,0.0557590,4.0000000,0.1604133,1.0415479,16.2503853,-0.0488952,0.0754315
14,-12,-7.605562251150470,21.199707927536480,-12.7074041,0.0021488,39.6694221,-0.0095062,0.0729182,4.0000000,0.1533123,1.0418829,16.3139725,-0.0074760,0.0498456
