OID_,ClipsFinal_DEM_Large_S3_RegN,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.034641931150471,23.071324567536479,-12.7583227,0.0033884,42.1487617,-0.0014771,0.0641300,4.0000000,0.0990423,1.0505433,17.8547325,0.0292177,0.0247829
2,-12,-3.027185291150471,23.071324567536479,-12.7597790,0.0047934,48.7603302,-0.0031430,0.0450879,4.0000000,0.0788883,1.0507705,17.8940372,0.0112876,0.0183569
3,-12,-3.019728651150471,23.071324567536479,-12.7612429,-0.0038017,14.0495872,-0.0036619,0.0267202,4.0000000,0.0596519,1.0509638,17.9253464,-0.0062116,0.0128713
4,-12,-3.012272011150471,23.071324567536479,-12.7627115,-0.0023140,19.0082645,-0.0034641,0.0109312,4.0000000,0.0448904,1.0511227,17.9501991,-0.0230281,0.0092390
5,-12,-3.004815371150471,23.071324567536479,-12.7641850,-0.0008264,23.9669418,-0.0028444,-0.0022318,4.0000000,0.0335614,1.0512458,17.9718990,-0.0380251,0.0069498
6,-12,-2.997358731150471,23.071324567536479,-12.7656603,0.0006612,29.7520657,-0.0022235,-0.0137235,4.0000000,0.0260227,1.0513477,17.9891281,-0.0534697,0.0061088
7,-12,-2.989902091150471,23.071324567536479,-12.7671375,0.0021488,36.3636360,-0.0017298,-0.0230539,4.0000000,0.0217577,1.0514423,18.0023422,-0.0678654,0.0063508
8,-12,-2.982445451150471,23.071324567536479,-12.7686148,0.0036364,43.8016510,-0.0018730,-0.0300874,4.0000000,0.0225681,1.0515156,18.0145416,-0.0827428,0.0082729
9,-12,-3.042098571150471,23.063867927536482,-12.7587852,0.0038017,44.6280975,-0.0201168,0.0107663,4.0000000,0.0491768,1.0501729,17.7923660,-0.0276443,0.0497279
10,-12,-3.034641931150471,23.063867927536482,-12.7602339,-0.0047934,10.7438021,-0.0203809,-0.0053158,4.0000000,0.0351241,1.0503985,17.8301430,-0.0457557,0.0496861
11,-12,-3.027185291150471,23.063867927536482,-12.7616911,-0.0033884,14.8760328,-0.0190270,-0.0213902,4.0000000,0.0211894,1.0506024,17.8628235,-0.0639698,0.0481869
12,-12,-3.019728651150471,23.063867927536482,-12.7631550,-0.0019835,19.8347111,-0.0162480,-0.0379138,4.0000000,0.0071460,1.0507784,17.8933849,-0.0829735,0.0458491
13,-12,-3.012272011150471,23.063867927536482,-12.7646255,-0.0004959,25.6198349,-0.0129997,-0.0520825,4.0000000,-0.0027153,1.0509207,17.9172287,-0.1014496,0.0437695
14,-12,-3.004815371150471,23.063867927536482,-12.7660990,0.0009917,31.4049587,-0.0098141,-0.0640713,4.0000000,-0.0095811,1.0510490,17.9383755,-0.1185615,0.0423848
15,-12,-2.997358731150471,23.063867927536482,-12.7675762,0.0024793,38.0165291,-0.0071284,-0.0725739,4.0000000,-0.0117502,1.0511698,17.9570274,-0.1333975,0.0410873
16,-12,-2.989902091150471,23.063867927536482,-12.7690554,0.0039669,45.4545441,-0.0046471,-0.0800660,4.0000000,-0.0109437,1.0512762,17.9745407,-0.1491882,0.0401041
17,-12,-2.982445451150471,23.063867927536482,-12.7705355,-0.0045455,11.5702477,-0.0033016,-0.0845179,4.0000000,-0.0058929,1.0513759,17.9922619,-0.1631428,0.0398893
18,-12,-2.974988811150471,23.063867927536482,-12.7720146,-0.0031405,15.7024794,-0.0034024,-0.0871396,4.0000000,0.0041954,1.0514890,18.0087471,-0.1784747,0.0417315
19,-12,-2.967532171150471,23.063867927536482,-12.7734938,-0.0016529,20.6611576,-0.0051636,-0.0872285,4.0000000,0.0192692,1.0516278,18.0320740,-0.1937261,0.0455093
20,-12,-2.960075531150471,23.063867927536482,-12.7749720,-0.0000826,26.4462814,-0.0073463,-0.0897719,4.0000000,0.0322485,1.0517881,18.0599098,-0.2117922,0.0522973
21,-12,-2.952618891150470,23.063867927536482,-12.7764482,0.0014050,32.2314034,-0.0103537,-0.0936781,4.0000000,0.0445103,1.0519716,18.0889797,-0.2318666,0.0622650
22,-12,-3.288167691150471,23.056411287536481,-12.7190552,0.0041322,45.4545441,-0.2664632,0.1170025,4.0000000,0.5754586,1.0398687,15.9262323,-0.3414535,0.7085550
23,-12,-3.280711051150471,23.056411287536481,-12.7200880,-0.0048760,8.2644625,-0.2177769,0.1235469,4.0000000,0.5391790,1.0410389,16.1510124,-0.2920852,0.6042891
24,-12,-3.116664971150471,23.056411287536481,-12.7467489,0.0019008,34.7107430,-0.0110735,0.0538599,4.0000000,-0.0399139,1.0488293,17.5607243,0.1476337,0.0386408
25,-12,-3.049555211150471,23.056411287536481,-12.7592497,0.0042149,46.2809906,-0.0431476,-0.0381643,4.0000000,-0.0023804,1.0495508,17.6860504,-0.0739481,0.1111956
26,-12,-3.042098571150471,23.056411287536481,-12.7606878,-0.0043802,11.5702477,-0.0423282,-0.0544802,4.0000000,-0.0118099,1.0497657,17.7199955,-0.0971505,0.1162008
27,-12,-3.034641931150471,23.056411287536481,-12.7621365,-0.0029752,15.7024794,-0.0401313,-0.0698063,4.0000000,-0.0221430,1.0499594,17.7534389,-0.1174695,0.1197553
28,-12,-3.027185291150471,23.056411287536481,-12.7635927,-0.0014876,20.6611576,-0.0364482,-0.0844571,4.0000000,-0.0318155,1.0501385,17.7855549,-0.1370986,0.1213707
29,-12,-3.019728651150471,23.056411287536481,-12.7650576,-0.0000826,26.4462814,-0.0305024,-0.1000039,4.0000000,-0.0420932,1.0503110,17.8134956,-0.1579145,0.1203248
30,-12,-3.012272011150471,23.056411287536481,-12.7665272,0.0014050,33.0578499,-0.0248204,-0.1120751,4.0000000,-0.0473248,1.0504583,17.8375912,-0.1768255,0.1183503
31,-12,-3.004815371150471,23.056411287536481,-12.7680025,0.0028926,39.6694221,-0.0197586,-0.1215798,4.0000000,-0.0479974,1.0506045,17.8614502,-0.1951621,0.1161203
32,-12,-2.997358731150471,23.056411287536481,-12.7694817,0.0043802,47.1074371,-0.0149935,-0.1293284,4.0000000,-0.0465198,1.0507439,17.8850403,-0.2121370,0.1132211
33,-12,-2.989902091150471,23.056411287536481,-12.7709627,-0.0041322,13.2231407,-0.0105635,-0.1358068,4.0000000,-0.0425512,1.0508766,17.9083271,-0.2290624,0.1099355
34,-12,-2.982445451150471,23.056411287536481,-12.7724457,-0.0026446,17.3553715,-0.0086574,-0.1381716,4.0000000,-0.0325567,1.0510223,17.9307499,-0.2437866,0.1075863
35,-12,-2.974988811150471,23.056411287536481,-12.7739296,-0.0011570,22.3140488,-0.0085890,-0.1379520,4.0000000,-0.0184782,1.0511820,17.9576454,-0.2574257,0.1062832
36,-12,-2.967532171150471,23.056411287536481,-12.7754135,0.0003306,28.0991745,-0.0095356,-0.1384833,4.0000000,-0.0034365,1.0513673,17.9894009,-0.2735301,0.1083258
37,-12,-2.960075531150471,23.056411287536481,-12.7768974,0.0019008,34.7107430,-0.0104694,-0.1398705,4.0000000,0.0100937,1.0515791,18.0240459,-0.2898347,0.1114877
38,-12,-2.952618891150470,23.056411287536481,-12.7783813,0.0033884,41.3223152,-0.0117291,-0.1430437,4.0000000,0.0220942,1.0517998,18.0617409,-0.3081815,0.1177819
39,-12,-2.945162251150471,23.056411287536481,-12.7798634,0.0047934,47.9338837,-0.0131815,-0.1488743,4.0000000,0.0314776,1.0520368,18.1027508,-0.3292262,0.1282223
40,-12,-2.885509131150471,23.056411287536481,-12.7914495,-0.0038017,14.0495872,0.1093090,-0.3846754,4.0000000,-0.2413203,1.0527071,18.2222309,-0.5280305,0.4328415
41,-12,-2.878052491150471,23.056411287536481,-12.7928152,-0.0025620,18.1818180,0.1529337,-0.4335505,4.0000000,-0.3239283,1.0523325,18.1604538,-0.5431726,0.5258249
42,-12,-2.870595851150471,23.056411287536481,-12.7941494,-0.0012397,23.1404953,0.2028471,-0.4852662,4.0000000,-0.4145086,1.0518097,18.0737076,-0.5560238,0.6425108
43,-12,-2.863139211150471,23.056411287536481,-12.7954454,0.0000826,28.0991745,0.2568385,-0.5363594,4.0000000,-0.5096681,1.0511272,17.9609241,-0.5630508,0.7744901
44,-12,-2.855682571150471,23.056411287536481,-12.7966986,0.0013223,33.8842964,0.3143127,-0.5867727,4.0000000,-0.6076028,1.0503066,17.8209286,-0.5659428,0.9212224
45,-12,-3.295624331150471,23.048954647536480,-12.7198629,0.0048760,48.7603302,-0.3326899,0.0426220,4.0000000,0.5702773,1.0393599,15.8267918,-0.4850333,0.7951751
46,-12,-3.288167691150471,23.048954647536480,-12.7209196,-0.0039669,10.7438021,-0.2881606,0.0388926,4.0000000,0.5274826,1.0405635,16.0600109,-0.4496974,0.6917897
47,-12,-3.280711051150471,23.048954647536480,-12.7219839,-0.0029752,14.0495872,-0.2417496,0.0408212,4.0000000,0.4880002,1.0417037,16.2772236,-0.4063578,0.5859428
48,-12,-3.273254411150471,23.048954647536480,-12.7230549,-0.0019008,18.1818180,-0.1954896,0.0478724,4.0000000,0.4526218,1.0427687,16.4766903,-0.3568770,0.4822969
49,-12,-3.265797771150471,23.048954647536480,-12.7241325,-0.0009091,22.3140488,-0.1500507,0.0597895,4.0000000,0.4208705,1.0437610,16.6614990,-0.3012916,0.3832206
50,-12,-3.131578251150470,23.048954647536480,-12.7459974,0.0010744,31.4049587,-0.0330389,0.0173775,4.0000000,-0.0996644,1.0488813,17.5710850,0.1344194,0.0806687
51,-12,-3.124121611150471,23.048954647536480,-12.7473364,0.0024793,38.0165291,-0.0322608,-0.0003249,4.0000000,-0.1057775,1.0487030,17.5382977,0.1051277,0.0781920
52,-12,-3.116664971150471,23.048954647536480,-12.7486801,0.0037190,43.8016510,-0.0324668,-0.0144064,4.0000000,-0.1049351,1.0485358,17.5099220,0.0761223,0.0801976
53,-12,-3.109208331150471,23.048954647536480,-12.7500305,-0.0049587,9.9173555,-0.0343404,-0.0253608,4.0000000,-0.1011575,1.0484029,17.4876347,0.0504359,0.0870511
54,-12,-3.101751691150471,23.048954647536480,-12.7513866,-0.0035537,14.0495872,-0.0373136,-0.0341314,4.0000000,-0.0942385,1.0483065,17.4698181,0.0259756,0.0967605
55,-12,-3.094295051150471,23.048954647536480,-12.7527504,-0.0022314,18.1818180,-0.0421582,-0.0411765,4.0000000,-0.0842683,1.0482519,17.4606762,0.0019154,0.1108643
56,-12,-3.086838411150471,23.048954647536480,-12.7541218,-0.0008264,23.1404953,-0.0485046,-0.0481935,4.0000000,-0.0747016,1.0482631,17.4619236,-0.0216854,0.1289936
57,-12,-3.079381771150471,23.048954647536480,-12.7555037,0.0005785,28.9256191,-0.0546809,-0.0558408,4.0000000,-0.0664514,1.0483221,17.4711895,-0.0452301,0.1474751
58,-12,-3.057011851150471,23.048954647536480,-12.7597113,0.0047107,48.7603302,-0.0705852,-0.0844972,4.0000000,-0.0577560,1.0486946,17.5372448,-0.1112384,0.2043661
59,-12,-3.049555211150471,23.048954647536480,-12.7611370,-0.0038843,13.2231407,-0.0705110,-0.0987103,4.0000000,-0.0626384,1.0488803,17.5677738,-0.1347823,0.2163622
60,-12,-3.042098571150471,23.048954647536480,-12.7625742,-0.0024793,17.3553715,-0.0671974,-0.1142477,4.0000000,-0.0688859,1.0490621,17.5998173,-0.1596095,0.2238059
61,-12,-3.034641931150471,23.048954647536480,-12.7640209,-0.0009917,22.3140488,-0.0625598,-0.1292999,4.0000000,-0.0753812,1.0492382,17.6297607,-0.1832187,0.2296938
62,-12,-3.027185291150471,23.048954647536480,-12.7654762,0.0004959,28.0991745,-0.0560030,-0.1434119,4.0000000,-0.0818150,1.0494208,17.6611061,-0.2050088,0.2317896
63,-12,-3.019728651150471,23.048954647536480,-12.7669401,0.0019008,34.7107430,-0.0473908,-0.1564705,4.0000000,-0.0859420,1.0495969,17.6896095,-0.2269991,0.2290518
64,-12,-3.012272011150471,23.048954647536480,-12.7684116,0.0033884,42.1487617,-0.0396542,-0.1673373,4.0000000,-0.0872030,1.0497547,17.7170315,-0.2474715,0.2264138
65,-12,-3.004815371150471,23.048954647536480,-12.7698870,0.0047934,48.7603302,-0.0327867,-0.1760511,4.0000000,-0.0848442,1.0499188,17.7448959,-0.2672580,0.2231904
66,-12,-2.997358731150471,23.048954647536480,-12.7713680,-0.0037190,14.0495872,-0.0268109,-0.1823933,4.0000000,-0.0786240,1.0500895,17.7736263,-0.2861626,0.2185232
67,-12,-2.989902091150471,23.048954647536480,-12.7728519,-0.0022314,19.0082645,-0.0208362,-0.1887254,4.0000000,-0.0726095,1.0502617,17.8021908,-0.3048413,0.2141644
68,-12,-2.982445451150471,23.048954647536480,-12.7743387,-0.0007438,23.9669418,-0.0186819,-0.1907635,4.0000000,-0.0593618,1.0504460,17.8328800,-0.3221652,0.2113392
69,-12,-2.974988811150471,23.048954647536480,-12.7758274,0.0007438,29.7520657,-0.0180909,-0.1905754,4.0000000,-0.0440386,1.0506500,17.8682232,-0.3371122,0.2083421
70,-12,-2.967532171150471,23.048954647536480,-12.7773170,0.0022314,36.3636360,-0.0183282,-0.1901477,4.0000000,-0.0288519,1.0508878,17.9086323,-0.3514434,0.2069811
71,-12,-2.960075531150471,23.048954647536480,-12.7788086,0.0038017,43.8016510,-0.0173851,-0.1928276,4.0000000,-0.0167349,1.0511451,17.9513245,-0.3689203,0.2082942
72,-12,-2.952618891150470,23.048954647536480,-12.7803001,-0.0047934,11.5702477,-0.0167560,-0.1963664,4.0000000,-0.0060278,1.0514100,17.9977226,-0.3867049,0.2120304
73,-12,-2.945162251150471,23.048954647536480,-12.7817907,-0.0033884,15.7024794,-0.0150358,-0.2036391,4.0000000,0.0003613,1.0516969,18.0458641,-0.4076395,0.2202430
74,-12,-2.937705611150471,23.048954647536480,-12.7832813,-0.0018182,20.6611576,-0.0103899,-0.2158891,4.0000000,-0.0003522,1.0519863,18.0944538,-0.4314260,0.2318257
75,-12,-2.922792331150471,23.048954647536480,-12.7862492,0.0011570,32.2314034,0.0134755,-0.2586070,4.0000000,-0.0352119,1.0524591,18.1762104,-0.4820021,0.2676380
76,-12,-2.915335691150471,23.048954647536480,-12.7877235,0.0026446,38.8429756,0.0338510,-0.2893358,4.0000000,-0.0687298,1.0526147,18.2030640,-0.5099418,0.2975291
77,-12,-2.907879051150471,23.048954647536480,-12.7891865,0.0041322,46.2809906,0.0606758,-0.3255547,4.0000000,-0.1129448,1.0526733,18.2143364,-0.5381647,0.3386099
78,-12,-2.900422411150471,23.048954647536480,-12.7906342,-0.0044628,12.3966942,0.0969417,-0.3696784,4.0000000,-0.1709274,1.0526421,18.2098713,-0.5684295,0.3983826
79,-12,-2.892965771150471,23.048954647536480,-12.7920637,-0.0030579,16.5289249,0.1427462,-0.4194849,4.0000000,-0.2416981,1.0524771,18.1844826,-0.5972717,0.4786277
80,-12,-2.885509131150471,23.048954647536480,-12.7934685,-0.0018182,20.6611576,0.1972047,-0.4725766,4.0000000,-0.3238800,1.0521519,18.1311607,-0.6212732,0.5795962
81,-12,-2.878052491150471,23.048954647536480,-12.7948437,-0.0004959,25.6198349,0.2562900,-0.5254422,4.0000000,-0.4103834,1.0516807,18.0519600,-0.6405010,0.6978647
82,-12,-2.870595851150471,23.048954647536480,-12.7961845,0.0009091,31.4049587,0.3233547,-0.5816450,4.0000000,-0.5056950,1.0510420,17.9471436,-0.6575949,0.8451840
83,-12,-2.863139211150471,23.048954647536480,-12.7974854,0.0022314,37.1900826,0.3954785,-0.6381725,4.0000000,-0.6072773,1.0502445,17.8125038,-0.6690677,1.0154319
84,-12,-2.855682571150471,23.048954647536480,-12.7987423,0.0033884,42.9752083,0.4678797,-0.6919296,4.0000000,-0.7089490,1.0492889,17.6480598,-0.6749102,1.1984996
85,-12,-2.848225931150471,23.048954647536480,-12.7999487,0.0045455,48.7603302,0.5390094,-0.7430268,4.0000000,-0.8090717,1.0481793,17.4575138,-0.6769819,1.3933426
86,-12,-3.295624331150471,23.041498007536479,-12.7216940,-0.0033058,12.3966942,-0.3381441,-0.0271862,4.0000000,0.5225926,1.0399054,15.9331627,-0.5769650,0.7911665
87,-12,-3.288167691150471,23.041498007536479,-12.7227850,-0.0021488,16.5289249,-0.2931841,-0.0354873,4.0000000,0.4755877,1.0410672,16.1551342,-0.5465623,0.6899512
88,-12,-3.280711051150471,23.041498007536479,-12.7238808,-0.0011570,20.6611576,-0.2481650,-0.0395196,4.0000000,0.4314528,1.0421576,16.3620262,-0.5104920,0.5874860
89,-12,-3.273254411150471,23.041498007536479,-12.7249804,0.0000000,25.6198349,-0.2046614,-0.0375304,4.0000000,0.3924609,1.0431681,16.5512905,-0.4675218,0.4865951
90,-12,-3.265797771150471,23.041498007536479,-12.7260838,0.0010744,30.5785122,-0.1633741,-0.0300135,4.0000000,0.3582073,1.0441047,16.7231655,-0.4182343,0.3892401
91,-12,-3.258341131150471,23.041498007536479,-12.7271919,0.0022314,36.3636360,-0.1257415,-0.0181294,4.0000000,0.3275523,1.0449618,16.8806744,-0.3638111,0.2999716
92,-12,-3.250884491150471,23.041498007536479,-12.7283068,0.0033884,41.3223152,-0.0932712,-0.0030158,4.0000000,0.2993850,1.0457391,17.0204563,-0.3054166,0.2236729
93,-12,-3.243427851150471,23.041498007536479,-12.7294292,0.0044628,46.2809906,-0.0668854,0.0141602,4.0000000,0.2731508,1.0464402,17.1459961,-0.2448303,0.1636800
94,-12,-3.146491531150470,23.041498007536479,-12.7453051,0.0003306,28.0991745,-0.0596356,-0.0138380,4.0000000,-0.1296652,1.0487744,17.5529556,0.1019892,0.1461503
95,-12,-3.139034891150470,23.041498007536479,-12.7466192,0.0016529,33.8842964,-0.0590171,-0.0330581,4.0000000,-0.1479458,1.0485615,17.5142441,0.0818296,0.1499014
96,-12,-3.131578251150470,23.041498007536479,-12.7479410,0.0029752,40.4958687,-0.0579121,-0.0513582,4.0000000,-0.1615737,1.0483344,17.4747810,0.0588574,0.1554141
97,-12,-3.124121611150471,23.041498007536479,-12.7492695,0.0042975,47.1074371,-0.0570933,-0.0669723,4.0000000,-0.1683430,1.0481031,17.4351273,0.0343984,0.1627222
98,-12,-3.116664971150471,23.041498007536479,-12.7506037,-0.0044628,10.7438021,-0.0580031,-0.0794054,4.0000000,-0.1685918,1.0478927,17.3979359,0.0097810,0.1736759
99,-12,-3.109208331150471,23.041498007536479,-12.7519436,-0.0031405,14.8760328,-0.0607917,-0.0889966,4.0000000,-0.1647081,1.0477235,17.3664646,-0.0132851,0.1878902
