OID_,ClipsFinal_DEM_Large_S3_RegJ,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-7.791978251150471,21.930458647536476,-12.6217489,-0.0033058,6.6115704,-0.1047399,-0.1702823,4.0000000,-0.3159238,1.0264993,13.0583305,-0.0246408,0.3673517
2,-12,-7.784521611150471,21.930458647536476,-12.6228600,-0.0021488,9.9173555,-0.1223163,-0.2361717,4.0000000,-0.4065827,1.0256863,12.8592358,-0.0657607,0.5270606
3,-12,-7.777064971150471,21.930458647536476,-12.6239328,-0.0011570,13.2231407,-0.1380145,-0.2962526,4.0000000,-0.4952365,1.0247574,12.6272669,-0.0972686,0.7046924
4,-12,-7.769608331150471,21.930458647536476,-12.6249599,-0.0001653,17.3553715,-0.1513428,-0.3467761,4.0000000,-0.5783406,1.0237440,12.3699331,-0.1152116,0.8779068
5,-12,-7.762151691150471,21.930458647536476,-12.6259365,0.0007438,21.4876041,-0.1638565,-0.3911927,4.0000000,-0.6600507,1.0226812,12.0937767,-0.1223346,1.0492800
6,-12,-7.754695051150471,21.930458647536476,-12.6268578,0.0016529,26.4462814,-0.1769619,-0.4266605,4.0000000,-0.7375240,1.0215827,11.8018713,-0.1157970,1.2038813
7,-12,-7.747238411150471,21.930458647536476,-12.6277189,0.0024793,31.4049587,-0.1893955,-0.4554559,4.0000000,-0.8129968,1.0204854,11.5026426,-0.0979149,1.3399945
8,-12,-7.739781771150471,21.930458647536476,-12.6285172,0.0033058,37.1900826,-0.2013052,-0.4763879,4.0000000,-0.8827354,1.0194151,11.2021084,-0.0700403,1.4480046
9,-12,-7.732325131150471,21.930458647536476,-12.6292496,0.0039669,42.1487617,-0.2155831,-0.4928904,4.0000000,-0.9524333,1.0183825,10.9037371,-0.0333476,1.5451499
10,-12,-7.724868491150471,21.930458647536476,-12.6299143,0.0045455,46.2809906,-0.2290960,-0.5002852,4.0000000,-1.0114052,1.0174022,10.6126442,0.0108348,1.6020787
