OID_,ClipsFinal_DEM_Large_S3_RegM,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.564063371150472,21.475603607536478,-12.8299942,0.0050413,49.5867767,-0.0993042,-0.0927213,4.0000000,-0.3789659,1.0620098,19.6837940,0.1935232,0.3144256
2,-12,-3.556606731150472,21.475603607536478,-12.8292770,0.0042975,47.1074371,-0.0978891,-0.0691738,4.0000000,-0.3611853,1.0629802,19.8306179,0.2228376,0.2888218
3,-12,-3.549150091150472,21.475603607536478,-12.8285437,0.0034711,44.6280975,-0.0946720,-0.0421428,4.0000000,-0.3349951,1.0638919,19.9673595,0.2507095,0.2613262
4,-12,-3.541693451150472,21.475603607536478,-12.8277941,0.0028099,42.1487617,-0.0897280,-0.0134897,4.0000000,-0.3039848,1.0647430,20.0922070,0.2770054,0.2358828
5,-12,-3.534236811150472,21.475603607536478,-12.8270292,0.0021488,39.6694221,-0.0819879,0.0164380,4.0000000,-0.2665330,1.0655048,20.2036858,0.2994089,0.2114077
6,-12,-3.526780171150472,21.475603607536478,-12.8262510,0.0013223,37.1900826,-0.0728095,0.0476177,4.0000000,-0.2256924,1.0661621,20.3022213,0.3209278,0.1929146
7,-12,-3.519323531150472,21.475603607536478,-12.8254614,0.0005785,34.7107430,-0.0600130,0.0835307,4.0000000,-0.1752652,1.0667305,20.3832893,0.3423266,0.1786834
8,-12,-3.564063371150472,21.468146967536480,-12.8325663,-0.0023967,23.9669418,-0.1014817,-0.1424855,4.0000000,-0.4177383,1.0618279,19.6576099,0.1327673,0.3870987
9,-12,-3.556606731150472,21.468146967536480,-12.8318691,-0.0030579,21.4876041,-0.0988284,-0.1206784,4.0000000,-0.4026339,1.0629289,19.8219604,0.1612772,0.3498031
10,-12,-3.549150091150472,21.468146967536480,-12.8311529,-0.0038017,19.0082645,-0.0952614,-0.0949608,4.0000000,-0.3786255,1.0639657,19.9772987,0.1887040,0.3093922
11,-12,-3.541693451150472,21.468146967536480,-12.8304195,-0.0044628,17.3553715,-0.0898443,-0.0685284,4.0000000,-0.3501942,1.0649270,20.1207027,0.2131374,0.2695854
12,-12,-3.534236811150472,21.468146967536480,-12.8296690,0.0047934,48.7603302,-0.0827788,-0.0386852,4.0000000,-0.3131920,1.0658174,20.2505188,0.2358217,0.2300521
13,-12,-3.526780171150472,21.468146967536480,-12.8289022,0.0039669,46.2809906,-0.0742577,-0.0083220,4.0000000,-0.2726604,1.0666051,20.3645630,0.2560163,0.1956050
