OID_,ClipsFinal_DEM_Large_S3_RegS2,X,Y,DEM_Large_S7_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.378457611150471,21.796239127536481,-12.7549448,-0.0000826,21.4876041,-0.2864715,-0.0644335,4.0000000,0.2742803,1.0244648,12.5462742,-0.4031473,0.6450466
2,-12,-2.371000971150471,21.796239127536481,-12.7532921,-0.0019008,12.3966942,-0.2608281,-0.0530009,4.0000000,0.2676333,1.0253844,12.7768764,-0.3736352,0.5856332
3,-12,-2.363544331150471,21.796239127536481,-12.7516117,-0.0037190,3.3057852,-0.2337024,-0.0368470,4.0000000,0.2631509,1.0262569,12.9905090,-0.3368450,0.5222312
4,-12,-2.356087691150471,21.796239127536481,-12.7499056,0.0048760,50.4132233,-0.2082165,-0.0197525,4.0000000,0.2589580,1.0270756,13.1870413,-0.2984631,0.4640879
5,-12,-2.348631051150471,21.796239127536481,-12.7481756,0.0033884,41.3223152,-0.1820306,0.0013480,4.0000000,0.2562518,1.0278301,13.3663950,-0.2535557,0.4066431
6,-12,-2.385914251150471,21.788782487536480,-12.7568293,0.0019835,31.4049587,-0.3007841,-0.0953790,4.0000000,0.2484112,1.0231224,12.2031374,-0.4391691,0.6927475
7,-12,-2.378457611150471,21.788782487536480,-12.7552242,0.0001653,22.3140488,-0.2740110,-0.0859665,4.0000000,0.2383927,1.0240906,12.4536304,-0.4103258,0.6297343
8,-12,-2.371000971150471,21.788782487536480,-12.7535887,-0.0016529,13.2231407,-0.2481323,-0.0756368,4.0000000,0.2301912,1.0250403,12.6907549,-0.3814649,0.5683492
9,-12,-2.363544331150471,21.788782487536480,-12.7519236,-0.0034711,4.1322312,-0.2212125,-0.0610452,4.0000000,0.2235428,1.0259396,12.9129848,-0.3456332,0.5029739
10,-12,-2.356087691150471,21.788782487536480,-12.7502317,-0.0048760,0.0000000,-0.1961159,-0.0438716,4.0000000,0.2183659,1.0267791,13.1172733,-0.3061091,0.4420567
11,-12,-2.348631051150471,21.788782487536480,-12.7485151,0.0037190,42.9752083,-0.1711673,-0.0222540,4.0000000,0.2161130,1.0275536,13.3008261,-0.2606209,0.3827788
12,-12,-2.341174411150471,21.788782487536480,-12.7467766,0.0019835,33.8842964,-0.1480334,-0.0017938,4.0000000,0.2122953,1.0282449,13.4627771,-0.2158830,0.3310513
13,-12,-2.930248971150471,21.781325847536483,-12.7918301,-0.0029752,0.0000000,-0.0477530,-0.3761494,4.0000000,-0.8111653,1.0087702,7.5599313,0.0588664,0.6969059
14,-12,-2.922792331150471,21.781325847536483,-12.7924395,-0.0023967,0.0000000,-0.0614770,-0.4016969,4.0000000,-0.8733311,1.0081255,7.2771015,0.0699373,0.8064245
15,-12,-2.915335691150471,21.781325847536483,-12.7930183,-0.0019008,0.0000000,-0.0779884,-0.4245091,4.0000000,-0.9314621,1.0074511,6.9691191,0.0824438,0.9164585
16,-12,-2.393370891150471,21.781325847536483,-12.7586699,0.0038843,42.1487617,-0.3115940,-0.1213179,4.0000000,0.2279116,1.0217377,11.8388844,-0.4705474,0.7356478
17,-12,-2.385914251150471,21.781325847536483,-12.7571144,0.0023140,33.0578499,-0.2840998,-0.1163262,4.0000000,0.2139310,1.0227536,12.1082516,-0.4465834,0.6736324
18,-12,-2.378457611150471,21.781325847536483,-12.7555265,0.0004959,23.9669418,-0.2569375,-0.1089585,4.0000000,0.2015848,1.0237447,12.3645468,-0.4195018,0.6098940
19,-12,-2.371000971150471,21.781325847536483,-12.7539062,-0.0013223,14.8760328,-0.2317885,-0.0990254,4.0000000,0.1923469,1.0247140,12.6099482,-0.3903977,0.5484187
20,-12,-2.363544331150471,21.781325847536483,-12.7522554,-0.0031405,5.7851238,-0.2061246,-0.0857693,4.0000000,0.1841162,1.0256367,12.8383980,-0.3556547,0.4837830
