OID_,Clips_DEM_Small_S5_60_Reg4,X,Y,DEM_Small_S5_60_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,573,15.642545923452584,-23.474945161974873,573.6586914,-0.0062810,45.4545441,-0.0008123,-0.0433743,4.0000000,-0.0638599,1.1258550,27.3547516,-0.0228887,0.0162795
2,573,15.710654623452584,-23.474945161974873,573.6838989,-0.0018182,45.4545441,-0.0003642,-0.0479883,4.0000000,-0.0648685,1.1293085,27.6907978,-0.0311081,0.0177145
3,573,15.778763323452583,-23.474945161974873,573.7097168,-0.0077686,45.4545441,0.0001571,-0.0520509,4.0000000,-0.0646162,1.1329712,28.0415154,-0.0394855,0.0187249
4,573,15.846872023452583,-23.474945161974873,573.7362061,-0.0042975,45.4545441,0.0005575,-0.0552181,4.0000000,-0.0634182,1.1366972,28.3966522,-0.0470180,0.0196333
5,573,15.914980723452583,-23.474945161974873,573.7632446,-0.0014050,47.9338837,0.0008853,-0.0570044,4.0000000,-0.0603777,1.1404966,28.7439766,-0.0536311,0.0197289
6,573,15.983089423452583,-23.474945161974873,573.7910156,0.0009091,49.5867767,0.0011467,-0.0579796,4.0000000,-0.0563176,1.1442137,29.0837135,-0.0596415,0.0193631
7,573,16.051198123452583,-23.474945161974873,573.8193359,-0.0074380,46.2809906,0.0012411,-0.0570307,4.0000000,-0.0512289,1.1477710,29.4093704,-0.0628326,0.0180758
8,573,16.119306823452582,-23.474945161974873,573.8483276,-0.0064463,47.1074371,0.0012883,-0.0563177,4.0000000,-0.0461815,1.1512378,29.7074947,-0.0664538,0.0170782
9,573,16.187415523452586,-23.474945161974873,573.8779297,-0.0057851,47.1074371,0.0011812,-0.0534658,4.0000000,-0.0396165,1.1545235,29.9983406,-0.0673152,0.0150433
10,573,16.255524223452582,-23.474945161974873,573.9080811,-0.0057025,47.1074371,0.0009807,-0.0492114,4.0000000,-0.0323603,1.1575383,30.2546883,-0.0660624,0.0125267
11,573,16.323632923452585,-23.474945161974873,573.9387817,-0.0061983,47.1074371,0.0006818,-0.0436941,4.0000000,-0.0246143,1.1600980,30.4695587,-0.0627739,0.0099111
12,573,15.574437223452584,-23.543053861974872,573.6093140,-0.0068595,45.4545441,0.0000649,-0.0462363,4.0000000,-0.0661927,1.1218133,26.9483547,-0.0262799,0.0149060
13,573,15.642545923452584,-23.543053861974872,573.6337891,-0.0018182,45.4545441,0.0006105,-0.0516283,5.0000000,-0.0679009,1.1250557,27.2687988,-0.0353557,0.0166659
14,573,15.710654623452584,-23.543053861974872,573.6589355,-0.0072727,45.4545441,0.0010931,-0.0562345,4.0000000,-0.0687167,1.1284224,27.6040974,-0.0437524,0.0183935
15,573,15.778763323452583,-23.543053861974872,573.6846313,-0.0031405,45.4545441,0.0016530,-0.0603605,4.0000000,-0.0690656,1.1319265,27.9408474,-0.0516554,0.0197397
16,573,15.846872023452583,-23.543053861974872,573.7109375,0.0004959,49.5867767,0.0020919,-0.0637183,4.0000000,-0.0685569,1.1356454,28.2938538,-0.0588796,0.0210257
17,573,15.914980723452583,-23.543053861974872,573.7379150,-0.0065289,45.4545441,0.0025604,-0.0662820,4.0000000,-0.0665512,1.1394424,28.6453590,-0.0660129,0.0215319
18,573,15.983089423452583,-23.543053861974872,573.7655640,-0.0041322,47.1074371,0.0027292,-0.0667722,4.0000000,-0.0630066,1.1432358,28.9955292,-0.0705378,0.0212311
